Player,Player_ID,Player_Link,class,pos,summary,School,Year
Grant Loy,grant-loy-1,/cfb/players/grant-loy-1.html,JR,QB,"115 Cmp, 203 Att, 1137 Yds, 6 TD",Bowling Green,2019
Darius Wade,darius-wade-1,/cfb/players/darius-wade-1.html,SR,QB,"74 Cmp, 130 Att, 751 Yds, 3 TD",Bowling Green,2019
Labronz Davis,labronz-davis-1,/cfb/players/labronz-davis-1.html,FR,QB,,Bowling Green,2019
Max Denman,max-denman-1,/cfb/players/max-denman-1.html,FR,QB,,Bowling Green,2019
Matt McDonald,matt-mcdonald-1,/cfb/players/matt-mcdonald-1.html,SO,QB,,Bowling Green,2019
Bryce Veasley,bryce-veasley-1,/cfb/players/bryce-veasley-1.html,FR,QB,,Bowling Green,2019
Davon Jones,davon-jones-1,/cfb/players/davon-jones-1.html,SR,RB,"118 Att, 518 Yds, 4.4 Avg",Bowling Green,2019
Bryson Denley,bryson-denley-1,/cfb/players/bryson-denley-1.html,JR,RB,"111 Att, 544 Yds, 4.9 Avg",Bowling Green,2019
Andrew Clair,andrew-clair-1,/cfb/players/andrew-clair-1.html,JR,RB,"68 Att, 244 Yds, 3.6 Avg",Bowling Green,2019
Trevon Raymore,trevon-raymore-1,/cfb/players/trevon-raymore-1.html,FR,RB,"23 Att, 68 Yds, 3.0 Avg",Bowling Green,2019
Nigel Sealey,nigel-sealey-1,/cfb/players/nigel-sealey-1.html,JR,RB,"16 Att, 32 Yds, 2.0 Avg",Bowling Green,2019
Charles Lamar,charles-lamar-1,/cfb/players/charles-lamar-1.html,SR,RB,"4 Att, 2 Yds, 0.5 Avg",Bowling Green,2019
Maurice Adika,maurice-adika-1,/cfb/players/maurice-adika-1.html,JR,RB,,Bowling Green,2019
Tre'ron Fullerton,treron-fullerton-1,/cfb/players/treron-fullerton-1.html,SO,RB,,Bowling Green,2019
RB Marlow III,rb-marlow-iii-1,/cfb/players/rb-marlow-iii-1.html,SR,WR,"22 Rec, 217 Yds, 9.9 Avg",Bowling Green,2019
Jordan Wayne-Prather,jordan-wayne-prather-1,/cfb/players/jordan-wayne-prather-1.html,SR,WR,"9 Rec, 57 Yds, 6.3 Avg",Bowling Green,2019
Jake Rogers,jake-rogers-2,/cfb/players/jake-rogers-2.html,FR,WR,"3 Rec, 11 Yds, 3.7 Avg",Bowling Green,2019
Julian Ortega-Jones,julian-ortega-jones-1,/cfb/players/julian-ortega-jones-1.html,FR,WR,"20 Rec, 298 Yds, 14.9 Avg",Bowling Green,2019
Quintin Morris,quintin-morris-1,/cfb/players/quintin-morris-1.html,JR,WR,"55 Rec, 649 Yds, 11.8 Avg",Bowling Green,2019
Rodell Rahmaan,rodell-rahmaan-1,/cfb/players/rodell-rahmaan-1.html,JR,WR,"2 Rec, 54 Yds, 27.0 Avg",Bowling Green,2019
Noah Massey,noah-massey-1,/cfb/players/noah-massey-1.html,SO,WR,"1 Rec, 14 Yds, 14.0 Avg",Bowling Green,2019
Tyrone Broden,tyrone-broden-1,/cfb/players/tyrone-broden-1.html,FR,WR,,Bowling Green,2019
Cavon Croom,cavon-croom-1,/cfb/players/cavon-croom-1.html,JR,WR,,Bowling Green,2019
Jack Duffer,jack-duffer-1,/cfb/players/jack-duffer-1.html,FR,WR,,Bowling Green,2019
Malik Hayes,malik-hayes-2,/cfb/players/malik-hayes-2.html,JR,WR,,Bowling Green,2019
Nick Niehoff,nick-niehoff-1,/cfb/players/nick-niehoff-1.html,FR,WR,,Bowling Green,2019
Parker Sherry,parker-sherry-1,/cfb/players/parker-sherry-1.html,FR,WR,,Bowling Green,2019
Pasean Wimberly,pasean-wimberly-1,/cfb/players/pasean-wimberly-1.html,FR,WR,,Bowling Green,2019
Presley Motes,presley-motes-1,/cfb/players/presley-motes-1.html,JR,TE,"2 Rec, 4 Yds, 2.0 Avg",Bowling Green,2019
Austin Dorris,austin-dorris-1,/cfb/players/austin-dorris-1.html,SR,TE,"14 Rec, 127 Yds, 9.1 Avg",Bowling Green,2019
Christian Sims,christian-sims-1,/cfb/players/christian-sims-1.html,FR,TE,"8 Rec, 72 Yds, 9.0 Avg",Bowling Green,2019
Declan Burt,declan-burt-1,/cfb/players/declan-burt-1.html,JR,TE,,Bowling Green,2019
Joey Carroll,joey-carroll-2,/cfb/players/joey-carroll-2.html,FR,TE,,Bowling Green,2019
Victor Copeland Jr.,victor-copeland-jr-1,/cfb/players/victor-copeland-jr-1.html,FR,TE,,Bowling Green,2019
Chris Karras,chris-karras-1,/cfb/players/chris-karras-1.html,FR,TE,,Bowling Green,2019
Jake Papez,jake-papez-1,/cfb/players/jake-papez-1.html,FR,TE,,Bowling Green,2019
Jack Kramer,jack-kramer-1,/cfb/players/jack-kramer-1.html,SR,OL,,Bowling Green,2019
Grant Abbott,grant-abbott-1,/cfb/players/grant-abbott-1.html,FR,OL,,Bowling Green,2019
Kellen Adler,kellen-adler-1,/cfb/players/kellen-adler-1.html,FR,OL,,Bowling Green,2019
Tim Blair,tim-blair-1,/cfb/players/tim-blair-1.html,JR,OL,,Bowling Green,2019
Caleb Bright,caleb-bright-1,/cfb/players/caleb-bright-1.html,JR,OL,,Bowling Green,2019
Derek Downs,derek-downs-1,/cfb/players/derek-downs-1.html,SO,OL,,Bowling Green,2019
Zach Dziengelewski,zach-dziengelewski-1,/cfb/players/zach-dziengelewski-1.html,SO,OL,,Bowling Green,2019
Luke Harmon,luke-harmon-1,/cfb/players/luke-harmon-1.html,FR,OL,,Bowling Green,2019
Joe Maxwell,joe-maxwell-2,/cfb/players/joe-maxwell-2.html,FR,OL,,Bowling Green,2019
Sam Neverov,sam-neverov-1,/cfb/players/sam-neverov-1.html,SO,OL,,Bowling Green,2019
John O'Brian,john-obrian-1,/cfb/players/john-obrian-1.html,FR,OL,,Bowling Green,2019
Brad Papez,brad-papez-1,/cfb/players/brad-papez-1.html,FR,OL,,Bowling Green,2019
Cameron Stage,cameron-stage-1,/cfb/players/cameron-stage-1.html,FR,OL,,Bowling Green,2019
Lorenzo Taborn,lorenzo-taborn-1,/cfb/players/lorenzo-taborn-1.html,SR,OL,,Bowling Green,2019
Matt Tanner,matt-tanner-1,/cfb/players/matt-tanner-1.html,SR,OL,,Bowling Green,2019
Tim Tanner-Blair,tim-tanner-blair-1,/cfb/players/tim-tanner-blair-1.html,JR,OL,,Bowling Green,2019
Joe Ware,joe-ware-1,/cfb/players/joe-ware-1.html,JR,OL,,Bowling Green,2019
Nate Needham,nate-needham-2,/cfb/players/nate-needham-2.html,JR,K,,Bowling Green,2019
Andrew Bench,andrew-bench-1,/cfb/players/andrew-bench-1.html,FR,DL,,Bowling Green,2019
Karl Brooks,karl-brooks-1,/cfb/players/karl-brooks-1.html,SO,DL,,Bowling Green,2019
Demontae Haigler,demontae-haigler-1,/cfb/players/demontae-haigler-1.html,JR,DL,,Bowling Green,2019
Walter Haire,walter-haire-1,/cfb/players/walter-haire-1.html,SO,DL,,Bowling Green,2019
Jevon Henderson,jevon-henderson-1,/cfb/players/jevon-henderson-1.html,FR,DL,,Bowling Green,2019
David Koniwalski,david-koniwalski-1,/cfb/players/david-koniwalski-1.html,SR,DL,,Bowling Green,2019
Nico Lautanen,nico-lautanen-1,/cfb/players/nico-lautanen-1.html,SR,DL,,Bowling Green,2019
Chris Oliver,chris-oliver-3,/cfb/players/chris-oliver-3.html,FR,DL,,Bowling Green,2019
Deonta Belser,deonta-belser-1,/cfb/players/deonta-belser-1.html,SR,DL,,Bowling Green,2019
Corey Frank,corey-frank-1,/cfb/players/corey-frank-1.html,SO,DL,,Bowling Green,2019
Tche Leroux,tche-leroux-1,/cfb/players/tche-leroux-1.html,FR,DL,,Bowling Green,2019
Jordan Murphy,jordan-murphy-3,/cfb/players/jordan-murphy-3.html,SO,DL,,Bowling Green,2019
Emmanuel Sadala,emmanuel-sadala-1,/cfb/players/emmanuel-sadala-1.html,FR,DL,,Bowling Green,2019
Blaine Spires,blaine-spires-1,/cfb/players/blaine-spires-1.html,FR,DL,,Bowling Green,2019
Darren Anders,darren-anders-2,/cfb/players/darren-anders-2.html,FR,LB,,Bowling Green,2019
Evan Brown,evan-brown-3,/cfb/players/evan-brown-3.html,SO,LB,,Bowling Green,2019
Kholbe Coleman,kholbe-coleman-1,/cfb/players/kholbe-coleman-1.html,JR,LB,,Bowling Green,2019
Torrian Hampton,torrian-hampton-1,/cfb/players/torrian-hampton-1.html,JR,LB,,Bowling Green,2019
Brandon Perce,brandon-perce-1,/cfb/players/brandon-perce-1.html,SR,LB,,Bowling Green,2019
Jerry Roberts,jerry-roberts-2,/cfb/players/jerry-roberts-2.html,FR,LB,,Bowling Green,2019
Eldridge Salguero,eldridge-salguero-1,/cfb/players/eldridge-salguero-1.html,SR,LB,,Bowling Green,2019
Roland Walder,roland-walder-1,/cfb/players/roland-walder-1.html,JR,LB,,Bowling Green,2019
Jacob Allen,jacob-allen-1,/cfb/players/jacob-allen-1.html,FR,LB,,Bowling Green,2019
Robert Atkinson,robert-atkinson-1,/cfb/players/robert-atkinson-1.html,JR,LB,,Bowling Green,2019
Hassan Belton,hassan-belton-1,/cfb/players/hassan-belton-1.html,SR,LB,,Bowling Green,2019
Brock Horne,brock-horne-1,/cfb/players/brock-horne-1.html,FR,LB,,Bowling Green,2019
James Miller,james-miller-2,/cfb/players/james-miller-2.html,FR,LB,,Bowling Green,2019
