Player,Player_ID,Player_Link,class,pos,summary,School,Year
Brendan Sorsby,brendan-sorsby-1,/cfb/players/brendan-sorsby-1.html,JR,QB,"207 Cmp, 336 Att, 2800 Yds, 27 TD",Cincinnati,2025
Brady Lichtenberg,brady-lichtenberg-1,/cfb/players/brady-lichtenberg-1.html,SR,QB,"14 Cmp, 21 Att, 134 Yds, 2 TD",Cincinnati,2025
Samaj Jones,samaj-jones-1,/cfb/players/samaj-jones-1.html,SO,QB,"4 Cmp, 7 Att, 72 Yds, 1 TD",Cincinnati,2025
Will Kocher,will-kocher-1,/cfb/players/will-kocher-1.html,SO,QB,,Cincinnati,2025
Zebulin Kinsey,zebulin-kinsey-1,/cfb/players/zebulin-kinsey-1.html,FR,QB,,Cincinnati,2025
Tawee Walker,tawee-walker-1,/cfb/players/tawee-walker-1.html,SR,RB,"120 Att, 709 Yds, 5.9 Avg",Cincinnati,2025
Evan Pryor,evan-pryor-1,/cfb/players/evan-pryor-1.html,SR,RB,"76 Att, 522 Yds, 6.9 Avg",Cincinnati,2025
Manny Covey,manny-covey-1,/cfb/players/manny-covey-1.html,SO,RB,"28 Att, 198 Yds, 7.1 Avg",Cincinnati,2025
Zion Johnson,zion-johnson-2,/cfb/players/zion-johnson-2.html,FR,RB,"22 Att, 106 Yds, 4.8 Avg",Cincinnati,2025
Chance Williams,chance-williams-1,/cfb/players/chance-williams-1.html,SR,RB,"14 Att, 35 Yds, 2.5 Avg",Cincinnati,2025
Jakorion Caffey,jakorion-caffey-1,/cfb/players/jakorion-caffey-1.html,FR,RB,"2 Att, 2 Yds, 1.0 Avg",Cincinnati,2025
Cyrus Allen,cyrus-allen-1,/cfb/players/cyrus-allen-1.html,SR,WR,"51 Rec, 674 Yds, 13.2 Avg",Cincinnati,2025
Isaiah Johnson,isaiah-johnson-13,/cfb/players/isaiah-johnson-13.html,SO,WR,"14 Rec, 222 Yds, 15.9 Avg",Cincinnati,2025
Dakarai Anderson,dakarai-anderson-1,/cfb/players/dakarai-anderson-1.html,FR,WR,,Cincinnati,2025
Jeff Caldwell,jeff-caldwell-2,/cfb/players/jeff-caldwell-2.html,SR,WR,"32 Rec, 478 Yds, 14.9 Avg",Cincinnati,2025
Caleb Goodie,caleb-goodie-1,/cfb/players/caleb-goodie-1.html,JR,WR,"29 Rec, 484 Yds, 16.7 Avg",Cincinnati,2025
Noah Jennings,noah-jennings-1,/cfb/players/noah-jennings-1.html,JR,WR,"23 Rec, 323 Yds, 14.0 Avg",Cincinnati,2025
Elijah Jones,elijah-jones-6,/cfb/players/elijah-jones-6.html,FR,WR,"2 Rec, 17 Yds, 8.5 Avg",Cincinnati,2025
Barry Jackson Jr.,barry-jackson-jr-1,/cfb/players/barry-jackson-jr-1.html,SO,WR,,Cincinnati,2025
Giyahni Kontosis,giyahni-kontosis-1,/cfb/players/giyahni-kontosis-1.html,FR,WR,,Cincinnati,2025
Nash Biglin,nash-biglin-1,/cfb/players/nash-biglin-1.html,SO,WR,,Cincinnati,2025
Taizaun Burns,taizaun-burns-1,/cfb/players/taizaun-burns-1.html,FR,WR,,Cincinnati,2025
Zane Kinsey,zane-kinsey-1,/cfb/players/zane-kinsey-1.html,SO,WR,,Cincinnati,2025
Kale Woodburn,kale-woodburn-1,/cfb/players/kale-woodburn-1.html,FR,WR,,Cincinnati,2025
Joe Royer,joe-royer-1,/cfb/players/joe-royer-1.html,SR,TE,"29 Rec, 416 Yds, 14.3 Avg",Cincinnati,2025
Gavin Grover,gavin-grover-1,/cfb/players/gavin-grover-1.html,SO,TE,"4 Rec, 58 Yds, 14.5 Avg",Cincinnati,2025
Patrick Gurd,patrick-gurd-1,/cfb/players/patrick-gurd-1.html,SR,TE,"3 Rec, 46 Yds, 15.3 Avg",Cincinnati,2025
Kellen Davis,kellen-davis-2,/cfb/players/kellen-davis-2.html,SO,TE,,Cincinnati,2025
Ka'Maurri Smith,kamaurri-smith-1,/cfb/players/kamaurri-smith-1.html,FR,TE,,Cincinnati,2025
Lyviel Waters,lyviel-waters-1,/cfb/players/lyviel-waters-1.html,FR,TE,,Cincinnati,2025
DaMari Witherspoon,damari-witherspoon-1,/cfb/players/damari-witherspoon-1.html,FR,TE,,Cincinnati,2025
Devyn Zahursky,devyn-zahursky-1,/cfb/players/devyn-zahursky-1.html,FR,TE,,Cincinnati,2025
Deondre Buford,deondre-buford-1,/cfb/players/deondre-buford-1.html,SR,OL,,Cincinnati,2025
Joe Cotton,joe-cotton-1,/cfb/players/joe-cotton-1.html,JR,OL,,Cincinnati,2025
Grant Edgington,grant-edgington-1,/cfb/players/grant-edgington-1.html,SO,OL,,Cincinnati,2025
Gavin Gerhardt,gavin-gerhardt-1,/cfb/players/gavin-gerhardt-1.html,SR,OL,,Cincinnati,2025
Ethan Green,ethan-green-1,/cfb/players/ethan-green-1.html,JR,OL,,Cincinnati,2025
Nolan Latulippe,nolan-latulippe-1,/cfb/players/nolan-latulippe-1.html,JR,OL,,Cincinnati,2025
Xavier Lozowicki,xavier-lozowicki-1,/cfb/players/xavier-lozowicki-1.html,SO,OL,,Cincinnati,2025
