Player,Player_ID,Player_Link,class,pos,summary,School,Year
Grayson McCall,grayson-mccall-1,/cfb/players/grayson-mccall-1.html,FR,QB,"172 Cmp, 250 Att, 2488 Yds, 26 TD",Coastal Carolina,2020
Fred Payton,fred-payton-1,/cfb/players/fred-payton-1.html,JR,QB,"18 Cmp, 36 Att, 283 Yds, 3 TD",Coastal Carolina,2020
Jarrett Guest,jarrett-guest-1,/cfb/players/jarrett-guest-1.html,FR,QB,"1 Cmp, 1 Att, 7 Yds, 0 TD",Coastal Carolina,2020
Bryce Carpenter,bryce-carpenter-1,/cfb/players/bryce-carpenter-1.html,JR,QB,,Coastal Carolina,2020
Zachary Stevens,zachary-stevens-1,/cfb/players/zachary-stevens-1.html,FR,QB,,Coastal Carolina,2020
C.J. Marable,torrance-marable-1,/cfb/players/torrance-marable-1.html,SR,RB,"169 Att, 887 Yds, 5.2 Avg",Coastal Carolina,2020
Reese White,reese-white-1,/cfb/players/reese-white-1.html,SO,RB,"88 Att, 478 Yds, 5.4 Avg",Coastal Carolina,2020
Shermari Jones,shermari-jones-1,/cfb/players/shermari-jones-1.html,JR,RB,"84 Att, 398 Yds, 4.7 Avg",Coastal Carolina,2020
Baden Pinson,baden-pinson-1,/cfb/players/baden-pinson-1.html,JR,RB,"13 Att, 82 Yds, 6.3 Avg",Coastal Carolina,2020
CJ Beasley,cj-beasley-1,/cfb/players/cj-beasley-1.html,FR,RB,"8 Att, 44 Yds, 5.5 Avg",Coastal Carolina,2020
Braydon Bennett,braydon-bennett-1,/cfb/players/braydon-bennett-1.html,FR,RB,"6 Att, 47 Yds, 7.8 Avg",Coastal Carolina,2020
Isaiah Connelly,isaiah-connelly-1,/cfb/players/isaiah-connelly-1.html,FR,RB,"6 Att, 23 Yds, 3.8 Avg",Coastal Carolina,2020
Randall Brown,randall-brown-1,/cfb/players/randall-brown-1.html,FR,RB,,Coastal Carolina,2020
Nate Hope II,nate-hope-ii-1,/cfb/players/nate-hope-ii-1.html,SO,RB,,Coastal Carolina,2020
