Player,Player_ID,Player_Link,class,pos,summary,School,Year
Sam Noyer,sam-noyer-1,/cfb/players/sam-noyer-1.html,SR,QB,"88 Cmp, 160 Att, 1101 Yds, 6 TD",Colorado,2020
Brendon Lewis,brendon-lewis-1,/cfb/players/brendon-lewis-1.html,FR,QB,"6 Cmp, 10 Att, 95 Yds, 0 TD",Colorado,2020
Tyler Lytle,tyler-lytle-1,/cfb/players/tyler-lytle-1.html,JR,QB,"4 Cmp, 7 Att, 13 Yds, 0 TD",Colorado,2020
Michael Chandler II,michael-chandler-ii-1,/cfb/players/michael-chandler-ii-1.html,FR,QB,,Colorado,2020
Grant Ciccarone,grant-ciccarone-1,/cfb/players/grant-ciccarone-1.html,FR,QB,,Colorado,2020
Dylan Jacob,dylan-jacob-1,/cfb/players/dylan-jacob-1.html,SR,QB,,Colorado,2020
Matthew Ryan,matthew-ryan-2,/cfb/players/matthew-ryan-2.html,SO,QB,,Colorado,2020
Jarek Broussard,jarek-broussard-1,/cfb/players/jarek-broussard-1.html,SO,RB,"156 Att, 895 Yds, 5.7 Avg",Colorado,2020
Jaren Mangham,jaren-mangham-1,/cfb/players/jaren-mangham-1.html,SO,RB,"23 Att, 35 Yds, 1.5 Avg",Colorado,2020
Joe Davis,joe-davis-7,/cfb/players/joe-davis-7.html,SO,RB,"18 Att, 34 Yds, 1.9 Avg",Colorado,2020
Shaadie Clayton-Johnson,shaadie-clayton-1,/cfb/players/shaadie-clayton-1.html,FR,RB,"7 Att, 31 Yds, 4.4 Avg",Colorado,2020
Alex Fontenot,alex-fontenot-1,/cfb/players/alex-fontenot-1.html,JR,RB,,Colorado,2020
Deion Smith,deion-smith-1,/cfb/players/deion-smith-1.html,SO,RB,,Colorado,2020
Jayle Stacks,jayle-stacks-1,/cfb/players/jayle-stacks-1.html,FR,RB,,Colorado,2020
Dimitri Stanley,dimitri-stanley-1,/cfb/players/dimitri-stanley-1.html,SO,WR,"20 Rec, 335 Yds, 16.8 Avg",Colorado,2020
K.D. Nixon,kd-nixon-1,/cfb/players/kd-nixon-1.html,SR,WR,"15 Rec, 132 Yds, 8.8 Avg",Colorado,2020
Vontae Shenault,vontae-shenault-1,/cfb/players/vontae-shenault-1.html,FR,WR,"17 Rec, 193 Yds, 11.4 Avg",Colorado,2020
Maurice Bell,maurice-bell-1,/cfb/players/maurice-bell-1.html,JR,WR,"10 Rec, 115 Yds, 11.5 Avg",Colorado,2020
Daniel Arias,daniel-arias-1,/cfb/players/daniel-arias-1.html,JR,WR,"6 Rec, 105 Yds, 17.5 Avg",Colorado,2020
Brenden Rice,brenden-rice-1,/cfb/players/brenden-rice-1.html,FR,WR,"6 Rec, 120 Yds, 20.0 Avg",Colorado,2020
Jaylon Jackson,jaylon-jackson-1,/cfb/players/jaylon-jackson-1.html,JR,WR,"2 Rec, 17 Yds, 8.5 Avg",Colorado,2020
Montana Lemonious-Craig,montana-lemonious-craig-1,/cfb/players/montana-lemonious-craig-1.html,FR,WR,"1 Rec, 15 Yds, 15.0 Avg",Colorado,2020
Chris Carpenter,chris-carpenter-2,/cfb/players/chris-carpenter-2.html,FR,WR,,Colorado,2020
Clayton Baca,clayton-baca-1,/cfb/players/clayton-baca-1.html,SO,WR,,Colorado,2020
Michael Byrd Jr.,michael-byrd-jr-1,/cfb/players/michael-byrd-jr-1.html,JR,WR,,Colorado,2020
Jake Groth,jake-groth-1,/cfb/players/jake-groth-1.html,SO,WR,,Colorado,2020
Michael Harrison,michael-harrison-2,/cfb/players/michael-harrison-2.html,FR,WR,,Colorado,2020
Keith Miller III,keith-miller-iii-1,/cfb/players/keith-miller-iii-1.html,FR,WR,,Colorado,2020
Alex Smith,alex-smith-10,/cfb/players/alex-smith-10.html,SO,WR,,Colorado,2020
Brady Russell,brady-russell-1,/cfb/players/brady-russell-1.html,JR,TE,"5 Rec, 77 Yds, 15.4 Avg",Colorado,2020
C.J. Schmanski,cj-schmanski-1,/cfb/players/cj-schmanski-1.html,SO,TE,"3 Rec, 14 Yds, 4.7 Avg",Colorado,2020
Matt Lynch,matt-lynch-1,/cfb/players/matt-lynch-1.html,SR,TE,"2 Rec, 7 Yds, 3.5 Avg",Colorado,2020
