Player,Player_ID,Player_Link,class,pos,summary,School,Year
Quentin Harris,quentin-harris-2,/cfb/players/quentin-harris-2.html,SR,QB,"209 Cmp, 357 Att, 2078 Yds, 16 TD",Duke,2019
Chris Katrenick,chris-katrenick-1,/cfb/players/chris-katrenick-1.html,SO,QB,"3 Cmp, 13 Att, 49 Yds, 1 TD",Duke,2019
Jack Colyar,jack-colyar-1,/cfb/players/jack-colyar-1.html,FR,QB,,Duke,2019
Gunnar Holmberg,gunnar-holmberg-1,/cfb/players/gunnar-holmberg-1.html,FR,QB,,Duke,2019
Daniel Karlin,daniel-karlin-1,/cfb/players/daniel-karlin-1.html,JR,QB,,Duke,2019
Robert Nelson,robert-nelson-4,/cfb/players/robert-nelson-4.html,SO,QB,,Duke,2019
Gavin Spurrier,gavin-spurrier-1,/cfb/players/gavin-spurrier-1.html,FR,QB,,Duke,2019
Deon Jackson,deon-jackson-1,/cfb/players/deon-jackson-1.html,JR,RB,"172 Att, 641 Yds, 3.7 Avg",Duke,2019
Mataeo Durant,mataeo-durant-1,/cfb/players/mataeo-durant-1.html,SO,RB,"97 Att, 461 Yds, 4.8 Avg",Duke,2019
Jaylen Coleman,jaylen-coleman-2,/cfb/players/jaylen-coleman-2.html,FR,RB,"15 Att, 42 Yds, 2.8 Avg",Duke,2019
Brittain Brown,brittain-brown-1,/cfb/players/brittain-brown-1.html,JR,RB,"12 Att, 56 Yds, 4.7 Avg",Duke,2019
Elijah Deveaux,elijah-deveaux-1,/cfb/players/elijah-deveaux-1.html,JR,RB,"6 Att, 18 Yds, 3.0 Avg",Duke,2019
Marvin Hubbard III,marvin-hubbard-iii-1,/cfb/players/marvin-hubbard-iii-1.html,SO,RB,,Duke,2019
Mason Russell,mason-russell-2,/cfb/players/mason-russell-2.html,FR,RB,,Duke,2019
Ryan Wolitzer,ryan-wolitzer-1,/cfb/players/ryan-wolitzer-1.html,SR,RB,,Duke,2019
Aaron Young,aaron-young-3,/cfb/players/aaron-young-3.html,SR,WR,"29 Rec, 367 Yds, 12.7 Avg",Duke,2019
Jalon Calhoun,jalon-calhoun-1,/cfb/players/jalon-calhoun-1.html,FR,WR,"46 Rec, 420 Yds, 9.1 Avg",Duke,2019
Jake Bobo,jake-bobo-1,/cfb/players/jake-bobo-1.html,SO,WR,"10 Rec, 122 Yds, 12.2 Avg",Duke,2019
Eli Pancol,eli-pancol-1,/cfb/players/eli-pancol-1.html,FR,WR,"6 Rec, 91 Yds, 15.2 Avg",Duke,2019
Scott Bracey,scott-bracey-1,/cfb/players/scott-bracey-1.html,JR,WR,"21 Rec, 270 Yds, 12.9 Avg",Duke,2019
Darrell Harding Jr.,darrell-harding-jr-1,/cfb/players/darrell-harding-jr-1.html,FR,WR,"8 Rec, 130 Yds, 16.3 Avg",Duke,2019
Damond Philyaw-Johnson,damond-philyaw-johnson-1,/cfb/players/damond-philyaw-johnson-1.html,SO,WR,"2 Rec, 31 Yds, 15.5 Avg",Duke,2019
Troy Duncan,troy-duncan-1,/cfb/players/troy-duncan-1.html,JR,WR,,Duke,2019
DJ Fullard,dj-fullard-1,/cfb/players/dj-fullard-1.html,SO,WR,,Duke,2019
Jarett Garner,jarett-garner-1,/cfb/players/jarett-garner-1.html,FR,WR,,Duke,2019
Joe Hardison,joe-hardison-1,/cfb/players/joe-hardison-1.html,SO,WR,,Duke,2019
Trevor Horton,trevor-horton-1,/cfb/players/trevor-horton-1.html,FR,WR,,Duke,2019
Dennis Smith,dennis-smith-5,/cfb/players/dennis-smith-5.html,FR,WR,,Duke,2019
Noah Gray,noah-gray-1,/cfb/players/noah-gray-1.html,JR,TE,"51 Rec, 392 Yds, 7.7 Avg",Duke,2019
Jake Marwede,jake-marwede-1,/cfb/players/jake-marwede-1.html,SO,TE,"1 Rec, 7 Yds, 7.0 Avg",Duke,2019
Mark Birmingham,mark-birmingham-1,/cfb/players/mark-birmingham-1.html,JR,TE,,Duke,2019
Zamari Ellis,zamari-ellis-1,/cfb/players/zamari-ellis-1.html,FR,TE,,Duke,2019
Matt Smith,matt-smith-8,/cfb/players/matt-smith-8.html,FR,TE,,Duke,2019
Aaron Wright,aaron-wright-3,/cfb/players/aaron-wright-3.html,JR,TE,,Duke,2019
