Player,Player_ID,Player_Link,class,pos,summary,School,Year
Austin Smith,austin-smith-5,/cfb/players/austin-smith-5.html,JR,QB,"171 Cmp, 298 Att, 1775 Yds, 9 TD",Eastern Michigan,2023
Ike Udengwu,ike-udengwu-1,/cfb/players/ike-udengwu-1.html,JR,QB,"13 Cmp, 31 Att, 100 Yds, 0 TD",Eastern Michigan,2023
Cam'Ron McCoy,camron-mccoy-1,/cfb/players/camron-mccoy-1.html,SO,QB,"12 Cmp, 28 Att, 73 Yds, 0 TD",Eastern Michigan,2023
Jermiah Salem,jermiah-salem-1,/cfb/players/jermiah-salem-1.html,SO,QB,,Eastern Michigan,2023
Samson Evans,samson-evans-1,/cfb/players/samson-evans-1.html,SR,RB,"142 Att, 635 Yds, 4.5 Avg",Eastern Michigan,2023
Jaylon Jackson,jaylon-jackson-2,/cfb/players/jaylon-jackson-2.html,SR,RB,"136 Att, 576 Yds, 4.2 Avg",Eastern Michigan,2023
Dontae McMillan,dontae-mcmillan-1,/cfb/players/dontae-mcmillan-1.html,SR,RB,"11 Att, 32 Yds, 2.9 Avg",Eastern Michigan,2023
Bryson Moss,bryson-moss-1,/cfb/players/bryson-moss-1.html,JR,RB,"1 Att, 8 Yds, 8.0 Avg",Eastern Michigan,2023
Elijah Jackson-Anderson,elijah-jackson-anderson-1,/cfb/players/elijah-jackson-anderson-1.html,SO,RB,"1 Rec, 28 Yds, 28.0 Avg",Eastern Michigan,2023
Joey Mattord,joey-mattord-1,/cfb/players/joey-mattord-1.html,FR,RB,,Eastern Michigan,2023
Hamze El-Zayat,hamze-el-zayat-2,/cfb/players/hamze-el-zayat-2.html,SR,WR,"27 Rec, 360 Yds, 13.3 Avg",Eastern Michigan,2023
Tanner Knue,tanner-knue-1,/cfb/players/tanner-knue-1.html,SR,WR,"50 Rec, 479 Yds, 9.6 Avg",Eastern Michigan,2023
JB Mitchell III,jb-mitchell-iii-1,/cfb/players/jb-mitchell-iii-1.html,JR,WR,"35 Rec, 398 Yds, 11.4 Avg",Eastern Michigan,2023
Terry Lockett Jr.,terry-lockett-jr-1,/cfb/players/terry-lockett-jr-1.html,JR,WR,"3 Rec, 34 Yds, 11.3 Avg",Eastern Michigan,2023
Javon Swinton,javon-swinton-1,/cfb/players/javon-swinton-1.html,JR,WR,"4 Rec, 26 Yds, 6.5 Avg",Eastern Michigan,2023
Joseph Walker,joseph-walker-2,/cfb/players/joseph-walker-2.html,FR,WR,"3 Rec, 22 Yds, 7.3 Avg",Eastern Michigan,2023
Isaac Smith,isaac-smith-2,/cfb/players/isaac-smith-2.html,SR,WR,"1 Rec, 3 Yds, 3.0 Avg",Eastern Michigan,2023
Jamarien Wheeler,jamarien-wheeler-1,/cfb/players/jamarien-wheeler-1.html,JR,WR,"1 Rec, 7 Yds, 7.0 Avg",Eastern Michigan,2023
Nick Devereaux,nick-devereaux-1,/cfb/players/nick-devereaux-1.html,JR,WR,,Eastern Michigan,2023
Quinn Fracassi,quinn-fracassi-1,/cfb/players/quinn-fracassi-1.html,SO,WR,,Eastern Michigan,2023
Kaiden Keefe,kaiden-keefe-1,/cfb/players/kaiden-keefe-1.html,SR,WR,,Eastern Michigan,2023
Makhail Wood,makhail-wood-1,/cfb/players/makhail-wood-1.html,FR,WR,,Eastern Michigan,2023
