Player,Player_ID,Player_Link,class,pos,summary,School,Year
Feleipe Franks,feleipe-franks-1,/cfb/players/feleipe-franks-1.html,SO,QB,"188 Cmp, 322 Att, 2457 Yds, 24 TD",Florida,2018
Kyle Trask,kyle-trask-1,/cfb/players/kyle-trask-1.html,SO,QB,"14 Cmp, 22 Att, 162 Yds, 1 TD",Florida,2018
Emory Jones,emory-jones-1,/cfb/players/emory-jones-1.html,FR,QB,"12 Cmp, 16 Att, 125 Yds, 2 TD",Florida,2018
Lamical Perine,lamical-perine-1,/cfb/players/lamical-perine-1.html,JR,RB,"134 Att, 826 Yds, 6.2 Avg",Florida,2018
Jordan Scarlett,jordan-scarlett-1,/cfb/players/jordan-scarlett-1.html,JR,RB,"131 Att, 776 Yds, 5.9 Avg",Florida,2018
Dameon Pierce,dameon-pierce-1,/cfb/players/dameon-pierce-1.html,FR,RB,"69 Att, 424 Yds, 6.1 Avg",Florida,2018
Malik Davis,malik-davis-1,/cfb/players/malik-davis-1.html,SO,RB,"13 Att, 61 Yds, 4.7 Avg",Florida,2018
Iverson Clement,iverson-clement-1,/cfb/players/iverson-clement-1.html,FR,RB,"4 Att, 17 Yds, 4.3 Avg",Florida,2018
Adarius Lemons,adarius-lemons-1,/cfb/players/adarius-lemons-1.html,SO,RB,,Florida,2018
Van Jefferson,van-jefferson-1,/cfb/players/van-jefferson-1.html,JR,WR,"35 Rec, 503 Yds, 14.4 Avg",Florida,2018
Josh Hammond,josh-hammond-1,/cfb/players/josh-hammond-1.html,JR,WR,"28 Rec, 369 Yds, 13.2 Avg",Florida,2018
Trevon Grimes,trevon-grimes-1,/cfb/players/trevon-grimes-1.html,SO,WR,"26 Rec, 364 Yds, 14.0 Avg",Florida,2018
Tyrie Cleveland,tyrie-cleveland-1,/cfb/players/tyrie-cleveland-1.html,JR,WR,"18 Rec, 212 Yds, 11.8 Avg",Florida,2018
Freddie Swain,freddie-swain-1,/cfb/players/freddie-swain-1.html,JR,WR,"14 Rec, 265 Yds, 18.9 Avg",Florida,2018
Jacob Copeland,jacob-copeland-1,/cfb/players/jacob-copeland-1.html,FR,WR,"1 Rec, 16 Yds, 16.0 Avg",Florida,2018
Daquon Green,daquon-green-1,/cfb/players/daquon-green-1.html,SO,WR,"1 Rec, 3 Yds, 3.0 Avg",Florida,2018
Dre Massey,dre-massey-1,/cfb/players/dre-massey-1.html,SR,WR,"1 Rec, 18 Yds, 18.0 Avg",Florida,2018
Rick Wells,rick-wells-2,/cfb/players/rick-wells-2.html,SO,WR,"1 Rec, 6 Yds, 6.0 Avg",Florida,2018
Lucas Krull,lucas-krull-1,/cfb/players/lucas-krull-1.html,SO,TE,"6 Rec, 75 Yds, 12.5 Avg",Florida,2018
C'yontai Lewis,cyontai-lewis-1,/cfb/players/cyontai-lewis-1.html,SR,TE,"9 Rec, 128 Yds, 14.2 Avg",Florida,2018
Moral Stephens,moral-stephens-1,/cfb/players/moral-stephens-1.html,SR,TE,"8 Rec, 106 Yds, 13.3 Avg",Florida,2018
Kemore Gamble,kemore-gamble-1,/cfb/players/kemore-gamble-1.html,FR,TE,"7 Rec, 58 Yds, 8.3 Avg",Florida,2018
Kyle Pitts,kyle-pitts-1,/cfb/players/kyle-pitts-1.html,FR,TE,"3 Rec, 73 Yds, 24.3 Avg",Florida,2018
Dante Lang,dante-lang-1,/cfb/players/dante-lang-1.html,FR,TE,,Florida,2018
Tanner Rowell,tanner-rowell-1,/cfb/players/tanner-rowell-1.html,SO,OL,,Florida,2018
Jawaan Taylor,jawaan-taylor-1,/cfb/players/jawaan-taylor-1.html,JR,OL,,Florida,2018
Noah Banks,noah-banks-1,/cfb/players/noah-banks-1.html,JR,OL,,Florida,2018
Christopher Bleich,christopher-bleich-1,/cfb/players/christopher-bleich-1.html,FR,OL,,Florida,2018
Nick Buchanan,nick-buchanan-1,/cfb/players/nick-buchanan-1.html,JR,OL,,Florida,2018
Jean Delance,jean-delance-1,/cfb/players/jean-delance-1.html,SO,OL,,Florida,2018
Stone Forsythe,stone-forsythe-1,/cfb/players/stone-forsythe-1.html,SO,OL,,Florida,2018
