Player,Player_ID,Player_Link,class,pos,summary,School,Year
N'Kosi Perry,nkosi-perry-1,/cfb/players/nkosi-perry-1.html,SR,QB,"210 Cmp, 346 Att, 2771 Yds, 20 TD",Florida Atlantic,2021
Nick Tronti,nick-tronti-1,/cfb/players/nick-tronti-1.html,JR,QB,"19 Cmp, 36 Att, 200 Yds, 0 TD",Florida Atlantic,2021
Javion Posey,javion-posey-1,/cfb/players/javion-posey-1.html,FR,QB,"1 Cmp, 1 Att, 11 Yds, 0 TD",Florida Atlantic,2021
Michael Johnson Jr.,michael-johnson-jr-1,/cfb/players/michael-johnson-jr-1.html,FR,QB,,Florida Atlantic,2021
Willie Taggart Jr.,willie-taggart-jr-1,/cfb/players/willie-taggart-jr-1.html,FR,QB,,Florida Atlantic,2021
Johnny Ford,johnny-ford-1,/cfb/players/johnny-ford-1.html,SO,RB,"131 Att, 831 Yds, 6.3 Avg",Florida Atlantic,2021
Malcolm Davidson,malcolm-davidson-1,/cfb/players/malcolm-davidson-1.html,JR,RB,"62 Att, 274 Yds, 4.4 Avg",Florida Atlantic,2021
James Charles,james-charles-1,/cfb/players/james-charles-1.html,SR,RB,"47 Att, 168 Yds, 3.6 Avg",Florida Atlantic,2021
Larry McCammon III,larry-mccammon-iii-1,/cfb/players/larry-mccammon-iii-1.html,SO,RB,"32 Att, 141 Yds, 4.4 Avg",Florida Atlantic,2021
Kelvin Dean Jr.,kelvin-dean-jr-1,/cfb/players/kelvin-dean-jr-1.html,FR,RB,"21 Att, 131 Yds, 6.2 Avg",Florida Atlantic,2021
Zuberi Mobley,zuberi-mobley-1,/cfb/players/zuberi-mobley-1.html,FR,RB,"8 Att, 33 Yds, 4.1 Avg",Florida Atlantic,2021
Tyrick Tisdale,tyrick-tisdale-1,/cfb/players/tyrick-tisdale-1.html,SR,RB,,Florida Atlantic,2021
Rayquan Berry,rayquan-berry-1,/cfb/players/rayquan-berry-1.html,FR,RB,,Florida Atlantic,2021
Daniel Leconte,daniel-leconte-1,/cfb/players/daniel-leconte-1.html,JR,RB,,Florida Atlantic,2021
Je'Quan Burton,jequan-burton-1,/cfb/players/jequan-burton-1.html,SO,WR,"27 Rec, 483 Yds, 17.9 Avg",Florida Atlantic,2021
LaJohntay Wester,lajohntay-wester-1,/cfb/players/lajohntay-wester-1.html,FR,WR,"65 Rec, 702 Yds, 10.8 Avg",Florida Atlantic,2021
Willie Wright,willie-wright-4,/cfb/players/willie-wright-4.html,SR,WR,"6 Rec, 104 Yds, 17.3 Avg",Florida Atlantic,2021
Brandon Robinson,brandon-robinson-2,/cfb/players/brandon-robinson-2.html,JR,WR,"37 Rec, 481 Yds, 13.0 Avg",Florida Atlantic,2021
John Mitchell,john-mitchell-1,/cfb/players/john-mitchell-1.html,SR,WR,"19 Rec, 257 Yds, 13.5 Avg",Florida Atlantic,2021
T.J. Chase,tj-chase-1,/cfb/players/tj-chase-1.html,SR,WR,"14 Rec, 200 Yds, 14.3 Avg",Florida Atlantic,2021
Jahmal Edrine,jahmal-edrine-1,/cfb/players/jahmal-edrine-1.html,FR,WR,"1 Rec, 9 Yds, 9.0 Avg",Florida Atlantic,2021
Kobe Stewart,kobe-stewart-1,/cfb/players/kobe-stewart-1.html,FR,WR,,Florida Atlantic,2021
Aaron Young,aaron-young-3,/cfb/players/aaron-young-3.html,SR,WR,,Florida Atlantic,2021
Marvin Alexander,marvin-alexander-1,/cfb/players/marvin-alexander-1.html,SO,WR,,Florida Atlantic,2021
Damian Alloway,damian-alloway-1,/cfb/players/damian-alloway-1.html,SR,WR,,Florida Atlantic,2021
Tony Johnson,tony-johnson-10,/cfb/players/tony-johnson-10.html,FR,WR,,Florida Atlantic,2021
Jefftey Joseph,jefftey-joseph-1,/cfb/players/jefftey-joseph-1.html,JR,WR,,Florida Atlantic,2021
Zaire Mitchell-Paden,zaire-mitchell-paden-1,/cfb/players/zaire-mitchell-paden-1.html,SR,TE,"9 Rec, 90 Yds, 10.0 Avg",Florida Atlantic,2021
Austin Evans,austin-evans-1,/cfb/players/austin-evans-1.html,JR,TE,"1 Rec, 8 Yds, 8.0 Avg",Florida Atlantic,2021
Adam Boselli,adam-boselli-1,/cfb/players/adam-boselli-1.html,SR,TE,,Florida Atlantic,2021
William Ford,william-ford-1,/cfb/players/william-ford-1.html,FR,TE,,Florida Atlantic,2021
Lucas Luft,lucas-luft-1,/cfb/players/lucas-luft-1.html,JR,TE,,Florida Atlantic,2021
