Player,Player_ID,Player_Link,class,pos,summary,School,Year
Keyone Jenkins,keyone-jenkins-1,/cfb/players/keyone-jenkins-1.html,JR,QB,"164 Cmp, 263 Att, 1742 Yds, 9 TD",Florida International,2025
Joe Pesansky,joe-pesansky-1,/cfb/players/joe-pesansky-1.html,SR,QB,"89 Cmp, 159 Att, 1021 Yds, 11 TD",Florida International,2025
Clayton Dees,clayton-dees-1,/cfb/players/clayton-dees-1.html,SO,QB,"3 Cmp, 4 Att, 25 Yds, 0 TD",Florida International,2025
Christian Langford,christian-langford-1,/cfb/players/christian-langford-1.html,FR,QB,,Florida International,2025
Zachary Waters,zachary-waters-1,/cfb/players/zachary-waters-1.html,SO,QB,,Florida International,2025
Jake Helfrich,jake-helfrich-1,/cfb/players/jake-helfrich-1.html,SO,QB,,Florida International,2025
Kejon Owens,kejon-owens-1,/cfb/players/kejon-owens-1.html,SR,RB,"213 Att, 1334 Yds, 6.3 Avg",Florida International,2025
Anthony Carrie,anthony-carrie-1,/cfb/players/anthony-carrie-1.html,SO,RB,"103 Att, 469 Yds, 4.6 Avg",Florida International,2025
Devonte Lyons,devonte-lyons-1,/cfb/players/devonte-lyons-1.html,SO,RB,"37 Att, 142 Yds, 3.8 Avg",Florida International,2025
Sterling Joseph,sterling-joseph-1,/cfb/players/sterling-joseph-1.html,FR,RB,"7 Att, 123 Yds, 17.6 Avg",Florida International,2025
Jordan Clemons,jordan-clemons-1,/cfb/players/jordan-clemons-1.html,SO,RB,"3 Att, 14 Yds, 4.7 Avg",Florida International,2025
Jose Corbo,jose-corbo-1,/cfb/players/jose-corbo-1.html,SO,RB,"1 Att, 0 Yds, 0.0 Avg",Florida International,2025
Nate Henry,nate-henry-1,/cfb/players/nate-henry-1.html,SO,RB,,Florida International,2025
JoJo Stone,jojo-stone-1,/cfb/players/jojo-stone-1.html,FR,WR,"23 Rec, 272 Yds, 11.8 Avg",Florida International,2025
C'Quan Jnopierre,cquan-jnopierre-1,/cfb/players/cquan-jnopierre-1.html,SR,WR,"5 Rec, 126 Yds, 25.2 Avg",Florida International,2025
Kyle McNeal,kyle-mcneal-1,/cfb/players/kyle-mcneal-1.html,SO,WR,"31 Rec, 310 Yds, 10.0 Avg",Florida International,2025
Maguire Anderson,maguire-anderson-2,/cfb/players/maguire-anderson-2.html,SO,WR,"25 Rec, 280 Yds, 11.2 Avg",Florida International,2025
Ross Fournet,ross-fournet-1,/cfb/players/ross-fournet-1.html,SR,WR,"10 Rec, 86 Yds, 8.6 Avg",Florida International,2025
Kenny Williams,kenny-williams-4,/cfb/players/kenny-williams-4.html,FR,WR,,Florida International,2025
Alex Perry,alex-perry-3,/cfb/players/alex-perry-3.html,JR,WR,"56 Rec, 840 Yds, 15.0 Avg",Florida International,2025
Eric Nelson,eric-nelson-4,/cfb/players/eric-nelson-4.html,SO,WR,"8 Rec, 125 Yds, 15.6 Avg",Florida International,2025
Shaborne Demps,shaborne-demps-1,/cfb/players/shaborne-demps-1.html,SO,WR,"6 Rec, 53 Yds, 8.8 Avg",Florida International,2025
Tyson Carter,tyson-carter-1,/cfb/players/tyson-carter-1.html,FR,WR,"3 Rec, 32 Yds, 10.7 Avg",Florida International,2025
Andre Brown,andre-brown-4,/cfb/players/andre-brown-4.html,SO,WR,"1 Rec, 6 Yds, 6.0 Avg",Florida International,2025
Tar'Varish Dawson Jr.,tarvarish-dawson-jr-1,/cfb/players/tarvarish-dawson-jr-1.html,SR,WR,,Florida International,2025
Amari Isaac,amari-isaac-1,/cfb/players/amari-isaac-1.html,FR,WR,,Florida International,2025
Donovan Giles,donovan-giles-2,/cfb/players/donovan-giles-2.html,SO,WR,,Florida International,2025
Dylan Herman,dylan-herman-1,/cfb/players/dylan-herman-1.html,SO,WR,,Florida International,2025
JuJu Lewis,juju-lewis-1,/cfb/players/juju-lewis-1.html,JR,WR,,Florida International,2025
Dallas Payne,dallas-payne-1,/cfb/players/dallas-payne-1.html,SR,TE,"27 Rec, 293 Yds, 10.9 Avg",Florida International,2025
Jackson Verdugo,jackson-verdugo-1,/cfb/players/jackson-verdugo-1.html,FR,TE,"10 Rec, 101 Yds, 10.1 Avg",Florida International,2025
Justin Cayenne,justin-cayenne-1,/cfb/players/justin-cayenne-1.html,SR,TE,"7 Rec, 61 Yds, 8.7 Avg",Florida International,2025
Braiden Staten,braiden-staten-1,/cfb/players/braiden-staten-1.html,SO,TE,"3 Rec, 26 Yds, 8.7 Avg",Florida International,2025
Sean Burke,sean-burke-2,/cfb/players/sean-burke-2.html,FR,TE,,Florida International,2025
Chad Staley,chad-staley-1,/cfb/players/chad-staley-1.html,JR,OL,,Florida International,2025
Jaheim Buchanon,jaheim-buchanon-1,/cfb/players/jaheim-buchanon-1.html,SO,OL,,Florida International,2025
Miguel Cedeno,miguel-cedeno-1,/cfb/players/miguel-cedeno-1.html,SO,OL,,Florida International,2025
Jaleel Davis,jaleel-davis-1,/cfb/players/jaleel-davis-1.html,JR,OL,,Florida International,2025
Noah Fernandez,noah-fernandez-1,/cfb/players/noah-fernandez-1.html,SO,OL,,Florida International,2025
Zaire Flournoy,zaire-flournoy-1,/cfb/players/zaire-flournoy-1.html,SR,OL,,Florida International,2025
Viliami Makahununiu,viliami-makahununiu-1,/cfb/players/viliami-makahununiu-1.html,SO,OL,,Florida International,2025
Daniel Michel,daniel-michel-1,/cfb/players/daniel-michel-1.html,JR,OL,,Florida International,2025
Akeem Neal,akeem-neal-1,/cfb/players/akeem-neal-1.html,SO,OL,,Florida International,2025
Julius Pierce,julius-pierce-1,/cfb/players/julius-pierce-1.html,SR,OL,,Florida International,2025
Mykeal Rabess,mykeal-rabess-1,/cfb/players/mykeal-rabess-1.html,SO,OL,,Florida International,2025
Jon Rodriguez,jon-rodriguez-1,/cfb/players/jon-rodriguez-1.html,SO,OL,,Florida International,2025
Knajee Saffold,knajee-saffold-1,/cfb/players/knajee-saffold-1.html,SO,OL,,Florida International,2025
Jackson Schultz,jackson-schultz-1,/cfb/players/jackson-schultz-1.html,SR,OL,,Florida International,2025
Jeremy Smith,jeremy-smith-9,/cfb/players/jeremy-smith-9.html,FR,OL,,Florida International,2025
Antonio Tripp Jr.,antonio-tripp-jr-1,/cfb/players/antonio-tripp-jr-1.html,SO,OL,,Florida International,2025
Nathan Tveit,nathan-tveit-1,/cfb/players/nathan-tveit-1.html,FR,OL,,Florida International,2025
Samson Chazulle,samson-chazulle-1,/cfb/players/samson-chazulle-1.html,FR,OL,,Florida International,2025
Matias Garcia,matias-garcia-1,/cfb/players/matias-garcia-1.html,FR,OL,,Florida International,2025
Marc Michel Jr,marc-michel-jr-1,/cfb/players/marc-michel-jr-1.html,FR,OL,,Florida International,2025
Takaylen Muex,takaylen-muex-1,/cfb/players/takaylen-muex-1.html,FR,OL,,Florida International,2025
Robert Czeremcha,robert-czeremcha-1,/cfb/players/robert-czeremcha-1.html,SO,K,,Florida International,2025
Noah Grant,noah-grant-1,/cfb/players/noah-grant-1.html,SR,K,,Florida International,2025
Dante Anderson,dante-anderson-1,/cfb/players/dante-anderson-1.html,JR,DL,,Florida International,2025
Germaine Carter,germaine-carter-1,/cfb/players/germaine-carter-1.html,SO,DL,,Florida International,2025
Xion Chapman,xion-chapman-1,/cfb/players/xion-chapman-1.html,SO,DL,,Florida International,2025
Lamont Green Jr.,lamont-green-jr-1,/cfb/players/lamont-green-jr-1.html,SO,DL,,Florida International,2025
Quaylen Hill,quaylen-hill-1,/cfb/players/quaylen-hill-1.html,SR,DL,,Florida International,2025
King Massey,king-massey-1,/cfb/players/king-massey-1.html,FR,DL,,Florida International,2025
Caleb Patterson,caleb-patterson-1,/cfb/players/caleb-patterson-1.html,SR,DL,,Florida International,2025
Kyrie Samuel,kyrie-samuel-1,/cfb/players/kyrie-samuel-1.html,JR,DL,,Florida International,2025
Steven Shannon,steven-shannon-1,/cfb/players/steven-shannon-1.html,JR,DL,,Florida International,2025
Kenton Simmons,kenton-simmons-1,/cfb/players/kenton-simmons-1.html,JR,DL,,Florida International,2025
Anthony Smith,anthony-smith-16,/cfb/players/anthony-smith-16.html,FR,DL,,Florida International,2025
Kani Smith,kani-smith-1,/cfb/players/kani-smith-1.html,FR,DL,,Florida International,2025
Nick Watson,nick-watson-1,/cfb/players/nick-watson-1.html,JR,DL,,Florida International,2025
Robert Williams,robert-williams-12,/cfb/players/robert-williams-12.html,SO,DL,,Florida International,2025
Aaron Armitage,aaron-armitage-1,/cfb/players/aaron-armitage-1.html,SR,DL,,Florida International,2025
Aydan Clinton,aydan-clinton-1,/cfb/players/aydan-clinton-1.html,FR,DL,,Florida International,2025
Matthew Pointer,matthew-pointer-1,/cfb/players/matthew-pointer-1.html,FR,DL,,Florida International,2025
Toddrick Brewton,toddrick-brewton-1,/cfb/players/toddrick-brewton-1.html,JR,LB,,Florida International,2025
Johnny Chaney Jr.,johnny-chaney-jr-1,/cfb/players/johnny-chaney-jr-1.html,SR,LB,,Florida International,2025
Percy Courtney Jr.,percy-courtney-jr-1,/cfb/players/percy-courtney-jr-1.html,JR,LB,,Florida International,2025
Cam Davis,cam-davis-2,/cfb/players/cam-davis-2.html,FR,LB,,Florida International,2025
Keegan Davis,keegan-davis-1,/cfb/players/keegan-davis-1.html,SR,LB,,Florida International,2025
Dwight Nunoo,dwight-nunoo-1,/cfb/players/dwight-nunoo-1.html,SR,LB,,Florida International,2025
Orlando Syph-Timmons,orlando-syph-timmons-1,/cfb/players/orlando-syph-timmons-1.html,JR,LB,,Florida International,2025
Josiah Taylor,josiah-taylor-1,/cfb/players/josiah-taylor-1.html,SO,LB,,Florida International,2025
