Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jordan Travis,jordan-travis-1,/cfb/players/jordan-travis-1.html,SR,QB,"207 Cmp, 324 Att, 2756 Yds, 20 TD",Florida State,2023
Tate Rodemaker,tate-rodemaker-1,/cfb/players/tate-rodemaker-1.html,JR,QB,"32 Cmp, 56 Att, 510 Yds, 5 TD",Florida State,2023
Brock Glenn,brock-glenn-1,/cfb/players/brock-glenn-1.html,FR,QB,"19 Cmp, 51 Att, 229 Yds, 0 TD",Florida State,2023
AJ Duffy,aj-duffy-1,/cfb/players/aj-duffy-1.html,FR,QB,,Florida State,2023
Michael Grant,michael-grant-3,/cfb/players/michael-grant-3.html,FR,QB,,Florida State,2023
Dylan McNamara,dylan-mcnamara-1,/cfb/players/dylan-mcnamara-1.html,FR,QB,,Florida State,2023
Trey Benson,trey-benson-2,/cfb/players/trey-benson-2.html,JR,RB,"156 Att, 906 Yds, 5.8 Avg",Florida State,2023
Lawrance Toafili,lawrance-toafili-1,/cfb/players/lawrance-toafili-1.html,JR,RB,"69 Att, 463 Yds, 6.7 Avg",Florida State,2023
Rodney Hill,rodney-hill-1,/cfb/players/rodney-hill-1.html,FR,RB,"50 Att, 190 Yds, 3.8 Avg",Florida State,2023
Caziah Holmes,caziah-holmes-1,/cfb/players/caziah-holmes-1.html,JR,RB,"29 Att, 185 Yds, 6.4 Avg",Florida State,2023
Samuel Singleton Jr.,samuel-singleton-jr-1,/cfb/players/samuel-singleton-jr-1.html,FR,RB,"8 Att, 56 Yds, 7.0 Avg",Florida State,2023
CJ Campbell,cj-campbell-1,/cfb/players/cj-campbell-1.html,SO,RB,"7 Att, 117 Yds, 16.7 Avg",Florida State,2023
Demetric Stephens,demetric-stephens-1,/cfb/players/demetric-stephens-1.html,FR,RB,,Florida State,2023
Deuce Spann,deuce-spann-1,/cfb/players/deuce-spann-1.html,JR,WR,"1 Rec, 23 Yds, 23.0 Avg",Florida State,2023
Ja'khi Douglas,jakhi-douglas-1,/cfb/players/jakhi-douglas-1.html,JR,WR,"14 Rec, 243 Yds, 17.4 Avg",Florida State,2023
Darion Williamson,darion-williamson-1,/cfb/players/darion-williamson-1.html,JR,WR,"9 Rec, 127 Yds, 14.1 Avg",Florida State,2023
Keon Coleman,keon-coleman-1,/cfb/players/keon-coleman-1.html,JR,WR,"50 Rec, 658 Yds, 13.2 Avg",Florida State,2023
Johnny Wilson,johnny-wilson-3,/cfb/players/johnny-wilson-3.html,JR,WR,"41 Rec, 617 Yds, 15.0 Avg",Florida State,2023
Destyn Hill,destyn-hill-1,/cfb/players/destyn-hill-1.html,FR,WR,"6 Rec, 87 Yds, 14.5 Avg",Florida State,2023
Kentron Poitier,kentron-poitier-1,/cfb/players/kentron-poitier-1.html,JR,WR,"6 Rec, 136 Yds, 22.7 Avg",Florida State,2023
Hykeem Williams,hykeem-williams-1,/cfb/players/hykeem-williams-1.html,FR,WR,"5 Rec, 80 Yds, 16.0 Avg",Florida State,2023
Winston Wright,winston-wright-1,/cfb/players/winston-wright-1.html,SR,WR,"4 Rec, 36 Yds, 9.0 Avg",Florida State,2023
Vandrevius Jacobs,vandrevius-jacobs-1,/cfb/players/vandrevius-jacobs-1.html,FR,WR,"3 Rec, 60 Yds, 20.0 Avg",Florida State,2023
Joshua Burrell,joshua-burrell-1,/cfb/players/joshua-burrell-1.html,SO,WR,,Florida State,2023
Jeremiah Giedrys,jeremiah-giedrys-1,/cfb/players/jeremiah-giedrys-1.html,JR,WR,,Florida State,2023
Goldie Lawrence,goldie-lawrence-1,/cfb/players/goldie-lawrence-1.html,FR,WR,,Florida State,2023
Solomon Lowery Jr.,solomon-lowery-jr-1,/cfb/players/solomon-lowery-jr-1.html,FR,WR,,Florida State,2023
Carson Pielock,carson-pielock-1,/cfb/players/carson-pielock-1.html,FR,WR,,Florida State,2023
Xavier Johnson,xavier-johnson-6,/cfb/players/xavier-johnson-6.html,JR,WR,,Florida State,2023
Zamari McKenley,zamari-mckenley-1,/cfb/players/zamari-mckenley-1.html,FR,WR,,Florida State,2023
Jaheim Bell,jaheim-bell-1,/cfb/players/jaheim-bell-1.html,JR,TE,"39 Rec, 503 Yds, 12.9 Avg",Florida State,2023
Kyle Morlock,kyle-morlock-1,/cfb/players/kyle-morlock-1.html,JR,TE,"19 Rec, 255 Yds, 13.4 Avg",Florida State,2023
Markeston Douglas,markeston-douglas-1,/cfb/players/markeston-douglas-1.html,JR,TE,"11 Rec, 136 Yds, 12.4 Avg",Florida State,2023
Preston Daniel,preston-daniel-1,/cfb/players/preston-daniel-1.html,JR,TE,"1 Rec, 4 Yds, 4.0 Avg",Florida State,2023
Jimmy Casey,jimmy-casey-1,/cfb/players/jimmy-casey-1.html,FR,TE,,Florida State,2023
Brian Courtney,brian-courtney-1,/cfb/players/brian-courtney-1.html,SO,TE,,Florida State,2023
Jerrale Powers,jerrale-powers-1,/cfb/players/jerrale-powers-1.html,FR,TE,,Florida State,2023
Jackson West,jackson-west-2,/cfb/players/jackson-west-2.html,SO,TE,,Florida State,2023
Vance Nicklaus,vance-nicklaus-1,/cfb/players/vance-nicklaus-1.html,SO,TE,,Florida State,2023
Julian Armella,julian-armella-1,/cfb/players/julian-armella-1.html,FR,OL,,Florida State,2023
Jeremiah Byers,jeremiah-byers-1,/cfb/players/jeremiah-byers-1.html,JR,OL,,Florida State,2023
Kanaya Charlton,kanaya-charlton-1,/cfb/players/kanaya-charlton-1.html,FR,OL,,Florida State,2023
Jaylen Early,jaylen-early-1,/cfb/players/jaylen-early-1.html,FR,OL,,Florida State,2023
D'Mitri Emmanuel,dmitri-emmanuel-1,/cfb/players/dmitri-emmanuel-1.html,SR,OL,,Florida State,2023
Bryson Estes,bryson-estes-1,/cfb/players/bryson-estes-1.html,SO,OL,,Florida State,2023
Bless Harris,bless-harris-1,/cfb/players/bless-harris-1.html,SR,OL,,Florida State,2023
Keiondre Jones,keiondre-jones-1,/cfb/players/keiondre-jones-1.html,JR,OL,,Florida State,2023
Ben Ostaszewski,ben-ostaszewski-1,/cfb/players/ben-ostaszewski-1.html,JR,OL,,Florida State,2023
Andre' Otto,andre-otto-1,/cfb/players/andre-otto-1.html,FR,OL,,Florida State,2023
Daughtry Richardson,daughtry-richardson-1,/cfb/players/daughtry-richardson-1.html,FR,OL,,Florida State,2023
Casey Roddick,casey-roddick-1,/cfb/players/casey-roddick-1.html,SR,OL,,Florida State,2023
Qae'shon Sapp,qaeshon-sapp-1,/cfb/players/qaeshon-sapp-1.html,FR,OL,,Florida State,2023
Robert Scott Jr.,robert-scott-jr-1,/cfb/players/robert-scott-jr-1.html,JR,OL,,Florida State,2023
Thomas Shrader,thomas-shrader-1,/cfb/players/thomas-shrader-1.html,JR,OL,,Florida State,2023
Maurice Smith,maurice-smith-7,/cfb/players/maurice-smith-7.html,JR,OL,,Florida State,2023
David Stickle,david-stickle-1,/cfb/players/david-stickle-1.html,JR,OL,,Florida State,2023
LaNard Toney,lanard-toney-1,/cfb/players/lanard-toney-1.html,FR,OL,,Florida State,2023
Darius Washington,darius-washington-1,/cfb/players/darius-washington-1.html,JR,OL,,Florida State,2023
Lucas Simmons,lucas-simmons-1,/cfb/players/lucas-simmons-1.html,FR,OL,,Florida State,2023
Ryan Fitzgerald,ryan-fitzgerald-1,/cfb/players/ryan-fitzgerald-1.html,JR,K,,Florida State,2023
