Player,Player_ID,Player_Link,class,pos,summary,School,Year
Chevan Cordeiro,chevan-cordeiro-1,/cfb/players/chevan-cordeiro-1.html,SO,QB,"195 Cmp, 313 Att, 2083 Yds, 14 TD",Hawaii,2020
Boone Abbott,boone-abbott-1,/cfb/players/boone-abbott-1.html,FR,QB,,Hawaii,2020
Kamali'I Akina,kamalii-akina-1,/cfb/players/kamalii-akina-1.html,SR,QB,,Hawaii,2020
Armani Edden,armani-edden-1,/cfb/players/armani-edden-1.html,JR,QB,,Hawaii,2020
Jake Farrell,jake-farrell-1,/cfb/players/jake-farrell-1.html,FR,QB,,Hawaii,2020
Justin Uahinui,justin-uahinui-1,/cfb/players/justin-uahinui-1.html,JR,QB,,Hawaii,2020
Calvin Turner,calvin-turner-2,/cfb/players/calvin-turner-2.html,SR,RB,"60 Att, 331 Yds, 5.5 Avg",Hawaii,2020
Miles Reed,miles-reed-1,/cfb/players/miles-reed-1.html,JR,RB,"82 Att, 346 Yds, 4.2 Avg",Hawaii,2020
Dae Dae Hunter,dae-dae-hunter-1,/cfb/players/dae-dae-hunter-1.html,FR,RB,"46 Att, 183 Yds, 4.0 Avg",Hawaii,2020
Koali Nishigaya,koali-nishigaya-1,/cfb/players/koali-nishigaya-1.html,FR,RB,"2 Rec, 36 Yds, 18.0 Avg",Hawaii,2020
Keliam Brunn,keliam-brunn-1,/cfb/players/keliam-brunn-1.html,SO,RB,,Hawaii,2020
Kenneth Fitzgerald,kenneth-fitzgerald-1,/cfb/players/kenneth-fitzgerald-1.html,JR,RB,,Hawaii,2020
Hekili Keliljiki,hekili-keliljiki-1,/cfb/players/hekili-keliljiki-1.html,JR,RB,,Hawaii,2020
Melquise Stovall,melquise-stovall-1,/cfb/players/melquise-stovall-1.html,SR,WR,"31 Rec, 232 Yds, 7.5 Avg",Hawaii,2020
Jared Smart,jared-smart-1,/cfb/players/jared-smart-1.html,SR,WR,"36 Rec, 320 Yds, 8.9 Avg",Hawaii,2020
Jonah Panoke,jonah-panoke-1,/cfb/players/jonah-panoke-1.html,FR,WR,"11 Rec, 95 Yds, 8.6 Avg",Hawaii,2020
Rico Bussey Jr.,rico-bussey-jr-1,/cfb/players/rico-bussey-jr-1.html,SR,WR,"31 Rec, 274 Yds, 8.8 Avg",Hawaii,2020
Nick Mardner,nick-mardner-1,/cfb/players/nick-mardner-1.html,SO,WR,"11 Rec, 188 Yds, 17.1 Avg",Hawaii,2020
Zion Bowens,zion-bowens-1,/cfb/players/zion-bowens-1.html,JR,WR,"5 Rec, 145 Yds, 29.0 Avg",Hawaii,2020
