Player,Player_ID,Player_Link,class,pos,summary,School,Year
Matt Linehan,matt-linehan-1,/cfb/players/matt-linehan-1.html,SR,QB,"173 Cmp, 281 Att, 2056 Yds, 16 TD",Idaho,2017
Colton Richardson,colton-richardson-1,/cfb/players/colton-richardson-1.html,FR,QB,"34 Cmp, 63 Att, 395 Yds, 2 TD",Idaho,2017
Dylan Lemle,dylan-lemle-1,/cfb/players/dylan-lemle-1.html,FR,QB,,Idaho,2017
A.J. Woodin,aj-woodin-1,/cfb/players/aj-woodin-1.html,JR,QB,,Idaho,2017
Aaron Duckworth,aaron-duckworth-1,/cfb/players/aaron-duckworth-1.html,SR,RB,"193 Att, 1025 Yds, 5.3 Avg",Idaho,2017
Isaiah Saunders,isaiah-saunders-1,/cfb/players/isaiah-saunders-1.html,JR,RB,"126 Att, 506 Yds, 4.0 Avg",Idaho,2017
Dylan Thigpen,dylan-thigpen-1,/cfb/players/dylan-thigpen-1.html,FR,RB,"15 Att, 21 Yds, 1.4 Avg",Idaho,2017
Zach Bafus,zach-bafus-1,/cfb/players/zach-bafus-1.html,SO,RB,,Idaho,2017
Roshaun Johnson,roshaun-johnson-1,/cfb/players/roshaun-johnson-1.html,FR,RB,,Idaho,2017
JT Mahon,jt-mahon-1,/cfb/players/jt-mahon-1.html,FR,RB,,Idaho,2017
Andrew Sibley,andrew-sibley-1,/cfb/players/andrew-sibley-1.html,FR,RB,,Idaho,2017
Mason Petrino,mason-petrino-1,/cfb/players/mason-petrino-1.html,SO,WR,"3 Rec, 14 Yds, 4.7 Avg",Idaho,2017
Rueben Mwehla,rueben-mwehla-1,/cfb/players/rueben-mwehla-1.html,SR,WR,"21 Rec, 251 Yds, 12.0 Avg",Idaho,2017
Alfonso Onunwor,alfonso-onunwor-1,/cfb/players/alfonso-onunwor-1.html,SR,WR,"64 Rec, 856 Yds, 13.4 Avg",Idaho,2017
Jacob Sannon,jacob-sannon-1,/cfb/players/jacob-sannon-1.html,SR,WR,"59 Rec, 608 Yds, 10.3 Avg",Idaho,2017
David Ungerer,david-ungerer-1,/cfb/players/david-ungerer-1.html,JR,WR,"39 Rec, 432 Yds, 11.1 Avg",Idaho,2017
Jante Boston,jante-boston-1,/cfb/players/jante-boston-1.html,SO,WR,"4 Rec, 16 Yds, 4.0 Avg",Idaho,2017
J.J. Wills,jj-wills-1,/cfb/players/jj-wills-1.html,FR,WR,"3 Rec, 23 Yds, 7.7 Avg",Idaho,2017
Michael Garner,michael-garner-2,/cfb/players/michael-garner-2.html,SO,WR,"2 Rec, 14 Yds, 7.0 Avg",Idaho,2017
Josh Ellingson,josh-ellingson-1,/cfb/players/josh-ellingson-1.html,SO,WR,,Idaho,2017
Micah Hamilton,micah-hamilton-1,/cfb/players/micah-hamilton-1.html,SO,WR,,Idaho,2017
Cutrell Haywood,cutrell-haywood-1,/cfb/players/cutrell-haywood-1.html,FR,WR,,Idaho,2017
DJ Lee,dj-lee-1,/cfb/players/dj-lee-1.html,FR,WR,,Idaho,2017
Brandon Luckett,brandon-luckett-1,/cfb/players/brandon-luckett-1.html,FR,WR,,Idaho,2017
Peyton Richardson,peyton-richardson-1,/cfb/players/peyton-richardson-1.html,FR,WR,,Idaho,2017
Kempton Sharp,kempton-sharp-1,/cfb/players/kempton-sharp-1.html,FR,WR,,Idaho,2017
Joseph Wysocki,joseph-wysocki-1,/cfb/players/joseph-wysocki-1.html,SO,TE,"4 Rec, 69 Yds, 17.3 Avg",Idaho,2017
Sam Veltman,sam-veltman-1,/cfb/players/sam-veltman-1.html,FR,TE,,Idaho,2017
Luke Hyde,luke-hyde-1,/cfb/players/luke-hyde-1.html,SO,TE,,Idaho,2017
