Player,Player_ID,Player_Link,class,pos,summary,School,Year
AJ Bush,aj-bush-1,/cfb/players/aj-bush-1.html,SR,QB,"117 Cmp, 217 Att, 1413 Yds, 6 TD",Illinois,2018
M.J. Rivers II,mj-rivers-ii-1,/cfb/players/mj-rivers-ii-1.html,FR,QB,"56 Cmp, 101 Att, 547 Yds, 3 TD",Illinois,2018
Matt Robinson,matt-robinson-6,/cfb/players/matt-robinson-6.html,FR,QB,"3 Cmp, 6 Att, 11 Yds, 0 TD",Illinois,2018
Cam Miller,cam-miller-2,/cfb/players/cam-miller-2.html,SO,QB,,Illinois,2018
Drake Davis,drake-davis-2,/cfb/players/drake-davis-2.html,FR,QB,,Illinois,2018
Coran Taylor,coran-taylor-1,/cfb/players/coran-taylor-1.html,FR,QB,,Illinois,2018
Cam Thomas,cam-thomas-4,/cfb/players/cam-thomas-4.html,SO,QB,,Illinois,2018
Reggie Corbin,reggie-corbin-1,/cfb/players/reggie-corbin-1.html,JR,RB,"128 Att, 1085 Yds, 8.5 Avg",Illinois,2018
Ra'Von Bonner,ravon-bonner-1,/cfb/players/ravon-bonner-1.html,SO,RB,"72 Att, 395 Yds, 5.5 Avg",Illinois,2018
Mike Epstein,mike-epstein-2,/cfb/players/mike-epstein-2.html,SO,RB,"60 Att, 411 Yds, 6.9 Avg",Illinois,2018
Dre Brown,dre-brown-1,/cfb/players/dre-brown-1.html,JR,RB,"18 Att, 180 Yds, 10.0 Avg",Illinois,2018
Jakari Norwood,jakari-norwood-1,/cfb/players/jakari-norwood-1.html,FR,RB,"5 Att, 29 Yds, 5.8 Avg",Illinois,2018
Kenyon Sims,kenyon-sims-1,/cfb/players/kenyon-sims-1.html,FR,RB,"2 Att, 4 Yds, 2.0 Avg",Illinois,2018
Christian Bobak,christian-bobak-1,/cfb/players/christian-bobak-1.html,SO,RB,,Illinois,2018
Trenard Davis,trenard-davis-1,/cfb/players/trenard-davis-1.html,JR,WR,"30 Rec, 278 Yds, 9.3 Avg",Illinois,2018
Dominic Stampley,dominic-stampley-1,/cfb/players/dominic-stampley-1.html,SO,WR,"19 Rec, 311 Yds, 16.4 Avg",Illinois,2018
Carmoni Green,carmoni-green-1,/cfb/players/carmoni-green-1.html,SO,WR,"10 Rec, 93 Yds, 9.3 Avg",Illinois,2018
Mike Dudek,mike-dudek-1,/cfb/players/mike-dudek-1.html,SR,WR,"4 Rec, 65 Yds, 16.3 Avg",Illinois,2018
Ricky Smalling,ricky-smalling-1,/cfb/players/ricky-smalling-1.html,SO,WR,"33 Rec, 406 Yds, 12.3 Avg",Illinois,2018
Sam Mays,sam-mays-1,/cfb/players/sam-mays-1.html,SR,WR,"29 Rec, 331 Yds, 11.4 Avg",Illinois,2018
Caleb Reams,caleb-reams-1,/cfb/players/caleb-reams-1.html,JR,WR,"5 Rec, 58 Yds, 11.6 Avg",Illinois,2018
Edwin Carter,edwin-carter-1,/cfb/players/edwin-carter-1.html,FR,WR,"2 Rec, 34 Yds, 17.0 Avg",Illinois,2018
Jordan Holmes,jordan-holmes-2,/cfb/players/jordan-holmes-2.html,FR,WR,"2 Rec, 23 Yds, 11.5 Avg",Illinois,2018
Carlos Sandy,carlos-sandy-1,/cfb/players/carlos-sandy-1.html,FR,WR,"1 Rec, 3 Yds, 3.0 Avg",Illinois,2018
Justice Williams,justice-williams-1,/cfb/players/justice-williams-1.html,JR,WR,"1 Rec, 4 Yds, 4.0 Avg",Illinois,2018
Zac Holman,zac-holman-1,/cfb/players/zac-holman-1.html,SR,WR,,Illinois,2018
Shaedon Meadors,shaedon-meadors-1,/cfb/players/shaedon-meadors-1.html,SR,WR,,Illinois,2018
Donny Navarro,donny-navarro-1,/cfb/players/donny-navarro-1.html,SO,WR,,Illinois,2018
Cam Stacy,cam-stacy-1,/cfb/players/cam-stacy-1.html,FR,WR,,Illinois,2018
Daniel Barker,daniel-barker-1,/cfb/players/daniel-barker-1.html,FR,TE,"9 Rec, 84 Yds, 9.3 Avg",Illinois,2018
Austin Roberts,austin-roberts-1,/cfb/players/austin-roberts-1.html,SR,TE,"2 Rec, 14 Yds, 7.0 Avg",Illinois,2018
Bobby Walker,bobby-walker-4,/cfb/players/bobby-walker-4.html,JR,TE,,Illinois,2018
Louis Dorsey,louis-dorsey-1,/cfb/players/louis-dorsey-1.html,SO,TE,,Illinois,2018
Brandon Jones,brandon-jones-14,/cfb/players/brandon-jones-14.html,SO,TE,,Illinois,2018
Griffin Palmer,griffin-palmer-1,/cfb/players/griffin-palmer-1.html,SO,TE,,Illinois,2018
Alex Pihlstrom,alex-pihlstrom-1,/cfb/players/alex-pihlstrom-1.html,FR,TE,,Illinois,2018
Nick Allegretti,nick-allegretti-1,/cfb/players/nick-allegretti-1.html,SR,OL,,Illinois,2018
Kendrick Green,kendrick-green-1,/cfb/players/kendrick-green-1.html,FR,OL,,Illinois,2018
Alex Palczewski,alex-palczewski-1,/cfb/players/alex-palczewski-1.html,SO,OL,,Illinois,2018
Larry Boyd,larry-boyd-2,/cfb/players/larry-boyd-2.html,SO,OL,,Illinois,2018
Jake Cerny,jake-cerny-1,/cfb/players/jake-cerny-1.html,SO,OL,,Illinois,2018
Preston Engel,preston-engel-1,/cfb/players/preston-engel-1.html,FR,OL,,Illinois,2018
Kurt Gavin,kurt-gavin-1,/cfb/players/kurt-gavin-1.html,SO,OL,,Illinois,2018
Doug Kramer,doug-kramer-1,/cfb/players/doug-kramer-1.html,SO,OL,,Illinois,2018
Vederian Lowe,vederian-lowe-1,/cfb/players/vederian-lowe-1.html,SO,OL,,Illinois,2018
Zeke Martin,zeke-martin-1,/cfb/players/zeke-martin-1.html,JR,OL,,Illinois,2018
Kievan Myers,kievan-myers-1,/cfb/players/kievan-myers-1.html,FR,OL,,Illinois,2018
Jordyn Slaughter,jordyn-slaughter-1,/cfb/players/jordyn-slaughter-1.html,FR,OL,,Illinois,2018
Adam Solomon,adam-solomon-1,/cfb/players/adam-solomon-1.html,JR,OL,,Illinois,2018
Jake Stover,jake-stover-1,/cfb/players/jake-stover-1.html,FR,OL,,Illinois,2018
Andrew Trainer,andrew-trainer-1,/cfb/players/andrew-trainer-1.html,SO,OL,,Illinois,2018
Reuben Unije,reuben-unije-1,/cfb/players/reuben-unije-1.html,FR,OL,,Illinois,2018
Calvin Avery,calvin-avery-1,/cfb/players/calvin-avery-1.html,FR,DL,,Illinois,2018
Owen Carney Jr.,owen-carney-jr-1,/cfb/players/owen-carney-jr-1.html,SO,DL,,Illinois,2018
Isaiah Gay,isaiah-gay-1,/cfb/players/isaiah-gay-1.html,SO,DL,,Illinois,2018
Kenyon Jackson,kenyon-jackson-1,/cfb/players/kenyon-jackson-1.html,JR,DL,,Illinois,2018
Jamal Milan,jamal-milan-1,/cfb/players/jamal-milan-1.html,JR,DL,,Illinois,2018
Marc Mondesir,marc-mondesir-1,/cfb/players/marc-mondesir-1.html,SO,DL,,Illinois,2018
Lere Oladipo,lere-oladipo-1,/cfb/players/lere-oladipo-1.html,FR,DL,,Illinois,2018
Tymir Oliver,tymir-oliver-1,/cfb/players/tymir-oliver-1.html,JR,DL,,Illinois,2018
Deon Pate,deon-pate-1,/cfb/players/deon-pate-1.html,FR,DL,,Illinois,2018
Julian Pearl,julian-pearl-1,/cfb/players/julian-pearl-1.html,FR,DL,,Illinois,2018
Bobby Roundtree,bobby-roundtree-1,/cfb/players/bobby-roundtree-1.html,SO,DL,,Illinois,2018
Ayo Shogbonyo,ayo-shogbonyo-1,/cfb/players/ayo-shogbonyo-1.html,SO,DL,,Illinois,2018
Jamal Woods,jamal-woods-1,/cfb/players/jamal-woods-1.html,SO,DL,,Illinois,2018
Verdis Brown,verdis-brown-1,/cfb/players/verdis-brown-1.html,FR,DL,,Illinois,2018
Ezekiel Holmes,ezekiel-holmes-1,/cfb/players/ezekiel-holmes-1.html,FR,DL,,Illinois,2018
Jake Hansen,jake-hansen-1,/cfb/players/jake-hansen-1.html,SO,LB,,Illinois,2018
Dele Harding,dele-harding-1,/cfb/players/dele-harding-1.html,JR,LB,,Illinois,2018
