Player,Player_ID,Player_Link,class,pos,summary,School,Year
Michael Penix Jr.,michael-penix-jr-1,/cfb/players/michael-penix-jr-1.html,SO,QB,"124 Cmp, 220 Att, 1645 Yds, 14 TD",Indiana,2020
Jack Tuttle,jack-tuttle-1,/cfb/players/jack-tuttle-1.html,SO,QB,"44 Cmp, 72 Att, 362 Yds, 2 TD",Indiana,2020
Grant Gremel,grant-gremel-1,/cfb/players/grant-gremel-1.html,FR,QB,,Indiana,2020
Will Jontz,will-jontz-1,/cfb/players/will-jontz-1.html,FR,QB,,Indiana,2020
Zach Merrill,zach-merrill-1,/cfb/players/zach-merrill-1.html,FR,QB,,Indiana,2020
Dexter Williams II,dexter-williams-ii-1,/cfb/players/dexter-williams-ii-1.html,FR,QB,,Indiana,2020
Stevie Scott,stevie-scott-1,/cfb/players/stevie-scott-1.html,JR,RB,"156 Att, 561 Yds, 3.6 Avg",Indiana,2020
Sampson James,sampson-james-1,/cfb/players/sampson-james-1.html,SO,RB,"32 Att, 96 Yds, 3.0 Avg",Indiana,2020
Tim Baldwin Jr.,tim-baldwin-jr-1,/cfb/players/tim-baldwin-jr-1.html,FR,RB,"22 Att, 141 Yds, 6.4 Avg",Indiana,2020
David Ellis,david-ellis-2,/cfb/players/david-ellis-2.html,SO,RB,"16 Att, 61 Yds, 3.8 Avg",Indiana,2020
Chris Childers,chris-childers-2,/cfb/players/chris-childers-2.html,JR,RB,,Indiana,2020
Davion Ervin-Poindexter,davion-ervin-poindexter-1,/cfb/players/davion-ervin-poindexter-1.html,SO,RB,,Indiana,2020
Ahrod Lloyd,ahrod-lloyd-1,/cfb/players/ahrod-lloyd-1.html,JR,RB,,Indiana,2020
Charlie Spegal,charlie-spegal-1,/cfb/players/charlie-spegal-1.html,FR,RB,,Indiana,2020
Whop Philyor,whop-philyor-1,/cfb/players/whop-philyor-1.html,SR,WR,"54 Rec, 495 Yds, 9.2 Avg",Indiana,2020
Ty Fryfogle,ty-fryfogle-1,/cfb/players/ty-fryfogle-1.html,SR,WR,"37 Rec, 721 Yds, 19.5 Avg",Indiana,2020
Miles Marshall,miles-marshall-1,/cfb/players/miles-marshall-1.html,SO,WR,"19 Rec, 290 Yds, 15.3 Avg",Indiana,2020
Jacolby Hewitt,jacolby-hewitt-1,/cfb/players/jacolby-hewitt-1.html,SO,WR,"5 Rec, 68 Yds, 13.6 Avg",Indiana,2020
Javon Swinton,javon-swinton-1,/cfb/players/javon-swinton-1.html,FR,WR,"4 Rec, 52 Yds, 13.0 Avg",Indiana,2020
David Baker,david-baker-2,/cfb/players/david-baker-2.html,FR,WR,,Indiana,2020
Da'Shaun Brown,dashaun-brown-1,/cfb/players/dashaun-brown-1.html,FR,WR,,Indiana,2020
Christian Harris,christian-harris-4,/cfb/players/christian-harris-4.html,JR,WR,,Indiana,2020
Jordan Jakes,jordan-jakes-1,/cfb/players/jordan-jakes-1.html,FR,WR,,Indiana,2020
D.J. Matthews,dj-matthews-1,/cfb/players/dj-matthews-1.html,,WR,,Indiana,2020
Bryan Parker,bryan-parker-1,/cfb/players/bryan-parker-1.html,JR,WR,,Indiana,2020
McCall Ray,mccall-ray-1,/cfb/players/mccall-ray-1.html,FR,WR,,Indiana,2020
Luke Shayotovich,luke-shayotovich-1,/cfb/players/luke-shayotovich-1.html,SO,WR,,Indiana,2020
Rashawn Williams,rashawn-williams-1,/cfb/players/rashawn-williams-1.html,FR,WR,,Indiana,2020
Cam Wilson,cam-wilson-1,/cfb/players/cam-wilson-1.html,JR,WR,,Indiana,2020
Peyton Hendershot,peyton-hendershot-1,/cfb/players/peyton-hendershot-1.html,JR,TE,"23 Rec, 151 Yds, 6.6 Avg",Indiana,2020
Matt Bjorson,matt-bjorson-1,/cfb/players/matt-bjorson-1.html,JR,TE,"1 Rec, 11 Yds, 11.0 Avg",Indiana,2020
AJ Barner,aj-barner-1,/cfb/players/aj-barner-1.html,FR,TE,,Indiana,2020
Ryan Barnes,ryan-barnes-1,/cfb/players/ryan-barnes-1.html,SO,TE,,Indiana,2020
Gary Cooper,gary-cooper-2,/cfb/players/gary-cooper-2.html,FR,TE,,Indiana,2020
Sam Daugstrup,sam-daugstrup-1,/cfb/players/sam-daugstrup-1.html,FR,TE,,Indiana,2020
TJ Ivy,tj-ivy-1,/cfb/players/tj-ivy-1.html,SO,TE,,Indiana,2020
Caleb Murphy,caleb-murphy-2,/cfb/players/caleb-murphy-2.html,FR,TE,,Indiana,2020
Khameron Taylor,khameron-taylor-1,/cfb/players/khameron-taylor-1.html,SR,TE,,Indiana,2020
Trey Walker,trey-walker-1,/cfb/players/trey-walker-1.html,FR,TE,,Indiana,2020
Dominic Altimari,dominic-altimari-1,/cfb/players/dominic-altimari-1.html,JR,OL,,Indiana,2020
Matthew Bedford,matthew-bedford-1,/cfb/players/matthew-bedford-1.html,SO,OL,,Indiana,2020
Britt Beery,britt-beery-1,/cfb/players/britt-beery-1.html,JR,OL,,Indiana,2020
Kahlil Benson,kahlil-benson-1,/cfb/players/kahlil-benson-1.html,FR,OL,,Indiana,2020
Chris Bradberry,chris-bradberry-1,/cfb/players/chris-bradberry-1.html,JR,OL,,Indiana,2020
