Player,Player_ID,Player_Link,class,pos,summary,School,Year
C.J. Beathard,cj-beathard-1,/cfb/players/cj-beathard-1.html,SR,QB,"170 Cmp, 301 Att, 1929 Yds, 17 TD",Iowa,2016
Nathan Stanley,nathan-stanley-2,/cfb/players/nathan-stanley-2.html,FR,QB,"5 Cmp, 9 Att, 62 Yds, 0 TD",Iowa,2016
Leshun Daniels Jr.,leshun-daniels-jr-1,/cfb/players/leshun-daniels-jr-1.html,SR,RB,"213 Att, 1058 Yds, 5.0 Avg",Iowa,2016
Akrum Wadley,akrum-wadley-1,/cfb/players/akrum-wadley-1.html,JR,RB,"168 Att, 1081 Yds, 6.4 Avg",Iowa,2016
Toks Akinribade,toks-akinribade-1,/cfb/players/toks-akinribade-1.html,FR,RB,"16 Att, 33 Yds, 2.1 Avg",Iowa,2016
Derrick Mitchell Jr.,derrick-mitchell-jr-1,/cfb/players/derrick-mitchell-jr-1.html,JR,RB,"6 Rec, 24 Yds, 4.0 Avg",Iowa,2016
Toren Young,toren-young-1,/cfb/players/toren-young-1.html,FR,RB,,Iowa,2016
Jerminic Smith,jerminic-smith-1,/cfb/players/jerminic-smith-1.html,SO,WR,"23 Rec, 314 Yds, 13.7 Avg",Iowa,2016
Riley McCarron,riley-mccarron-1,/cfb/players/riley-mccarron-1.html,SR,WR,"42 Rec, 517 Yds, 12.3 Avg",Iowa,2016
Matt Vandeberg,matt-vandeberg-1,/cfb/players/matt-vandeberg-1.html,SR,WR,"19 Rec, 284 Yds, 14.9 Avg",Iowa,2016
Jay Scheel,jay-scheel-1,/cfb/players/jay-scheel-1.html,SO,WR,"5 Rec, 56 Yds, 11.2 Avg",Iowa,2016
Ronald Nash,ronald-nash-1,/cfb/players/ronald-nash-1.html,SO,WR,"2 Rec, 14 Yds, 7.0 Avg",Iowa,2016
Adrian Falconer,adrian-falconer-1,/cfb/players/adrian-falconer-1.html,SO,WR,,Iowa,2016
Devonte Young,devonte-young-1,/cfb/players/devonte-young-1.html,FR,WR,,Iowa,2016
George Kittle,george-kittle-1,/cfb/players/george-kittle-1.html,SR,TE,"22 Rec, 314 Yds, 14.3 Avg",Iowa,2016
Noah Fant,noah-fant-1,/cfb/players/noah-fant-1.html,FR,TE,"9 Rec, 70 Yds, 7.8 Avg",Iowa,2016
Peter Pekar,peter-pekar-1,/cfb/players/peter-pekar-1.html,JR,TE,"1 Rec, 5 Yds, 5.0 Avg",Iowa,2016
Ike Boettger,ike-boettger-1,/cfb/players/ike-boettger-1.html,JR,OL,,Iowa,2016
Keith Duncan,keith-duncan-1,/cfb/players/keith-duncan-1.html,FR,K,,Iowa,2016
