Player,Player_ID,Player_Link,class,pos,summary,School,Year
Alonza Barnett III,alonza-barnett-iii-1,/cfb/players/alonza-barnett-iii-1.html,SO,QB,"213 Cmp, 355 Att, 2598 Yds, 26 TD",James Madison,2024
Billy Atkins,billy-atkins-2,/cfb/players/billy-atkins-2.html,JR,QB,"16 Cmp, 24 Att, 181 Yds, 1 TD",James Madison,2024
JC Evans,jc-evans-1,/cfb/players/jc-evans-1.html,FR,QB,"1 Cmp, 1 Att, 1 Yds, 1 TD",James Madison,2024
Dylan Morris,dylan-morris-1,/cfb/players/dylan-morris-1.html,SR,QB,"1 Cmp, 1 Att, 6 Yds, 0 TD",James Madison,2024
Blake Kendall,blake-kendall-1,/cfb/players/blake-kendall-1.html,SO,QB,,James Madison,2024
Brett Griffis,brett-griffis-1,/cfb/players/brett-griffis-1.html,FR,QB,,James Madison,2024
George Pettaway,george-pettaway-1,/cfb/players/george-pettaway-1.html,SO,RB,"162 Att, 980 Yds, 6.0 Avg",James Madison,2024
Wayne Knight,wayne-knight-1,/cfb/players/wayne-knight-1.html,SO,RB,"77 Att, 449 Yds, 5.8 Avg",James Madison,2024
Jobi Malary,jobi-malary-1,/cfb/players/jobi-malary-1.html,SR,RB,"45 Att, 269 Yds, 6.0 Avg",James Madison,2024
Tyler Purdy,tyler-purdy-1,/cfb/players/tyler-purdy-1.html,SR,RB,"36 Att, 161 Yds, 4.5 Avg",James Madison,2024
Ayo Adeyi,ayo-adeyi-1,/cfb/players/ayo-adeyi-1.html,SR,RB,"20 Att, 40 Yds, 2.0 Avg",James Madison,2024
Ke'Marion Baldwin,kemarion-baldwin-1,/cfb/players/kemarion-baldwin-1.html,SO,RB,"6 Att, 17 Yds, 2.8 Avg",James Madison,2024
Taji Hudson,taji-hudson-1,/cfb/players/taji-hudson-1.html,JR,WR,"3 Rec, 30 Yds, 10.0 Avg",James Madison,2024
Cameron Ross,cameron-ross-1,/cfb/players/cameron-ross-1.html,SR,WR,"37 Rec, 443 Yds, 12.0 Avg",James Madison,2024
