Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jalon Daniels,jalon-daniels-1,/cfb/players/jalon-daniels-1.html,JR,QB,"171 Cmp, 300 Att, 2454 Yds, 14 TD",Kansas,2024
Cole Ballard,cole-ballard-1,/cfb/players/cole-ballard-1.html,FR,QB,"5 Cmp, 6 Att, 51 Yds, 1 TD",Kansas,2024
Mikey Pauley,mikey-pauley-1,/cfb/players/mikey-pauley-1.html,SO,QB,,Kansas,2024
TJ Crews IV,tj-crews-iv-1,/cfb/players/tj-crews-iv-1.html,FR,QB,,Kansas,2024
Ben Easters,ben-easters-1,/cfb/players/ben-easters-1.html,JR,QB,,Kansas,2024
Isaiah Marshall,isaiah-marshall-1,/cfb/players/isaiah-marshall-1.html,FR,QB,,Kansas,2024
Devin Neal,devin-neal-3,/cfb/players/devin-neal-3.html,SR,RB,"219 Att, 1266 Yds, 5.8 Avg",Kansas,2024
Daniel Hishaw Jr.,daniel-hishaw-jr-1,/cfb/players/daniel-hishaw-jr-1.html,JR,RB,"65 Att, 376 Yds, 5.8 Avg",Kansas,2024
Sevion Morrison,sevion-morrison-1,/cfb/players/sevion-morrison-1.html,JR,RB,"27 Att, 164 Yds, 6.1 Avg",Kansas,2024
Harry Stewart III,harry-stewart-iii-1,/cfb/players/harry-stewart-iii-1.html,FR,RB,"7 Att, 24 Yds, 3.4 Avg",Kansas,2024
Johnny Thompson Jr.,johnny-thompson-jr-1,/cfb/players/johnny-thompson-jr-1.html,FR,RB,"5 Att, 32 Yds, 6.4 Avg",Kansas,2024
Carson Morgan,carson-morgan-1,/cfb/players/carson-morgan-1.html,FR,RB,,Kansas,2024
Micah Johnson,micah-johnson-3,/cfb/players/micah-johnson-3.html,FR,RB,,Kansas,2024
Jack Schneider,jack-schneider-1,/cfb/players/jack-schneider-1.html,FR,RB,,Kansas,2024
Luke Grimm,luke-grimm-1,/cfb/players/luke-grimm-1.html,SR,WR,"51 Rec, 690 Yds, 13.5 Avg",Kansas,2024
Quentin Skinner,quentin-skinner-2,/cfb/players/quentin-skinner-2.html,SR,WR,"25 Rec, 557 Yds, 22.3 Avg",Kansas,2024
Trevor Wilson,trevor-wilson-1,/cfb/players/trevor-wilson-1.html,SR,WR,"9 Rec, 139 Yds, 15.4 Avg",Kansas,2024
Lawrence Arnold,lawrence-arnold-2,/cfb/players/lawrence-arnold-2.html,SR,WR,"26 Rec, 360 Yds, 13.8 Avg",Kansas,2024
Torry Locklin,torry-locklin-1,/cfb/players/torry-locklin-1.html,SR,WR,"2 Rec, 36 Yds, 18.0 Avg",Kansas,2024
Douglas Emilien,douglas-emilien-1,/cfb/players/douglas-emilien-1.html,JR,WR,"3 Rec, 20 Yds, 6.7 Avg",Kansas,2024
Mack Moeller,mack-moeller-1,/cfb/players/mack-moeller-1.html,JR,WR,"1 Rec, 7 Yds, 7.0 Avg",Kansas,2024
Bryce Cohoon,bryce-cohoon-1,/cfb/players/bryce-cohoon-1.html,FR,WR,,Kansas,2024
Quinton Conley,quinton-conley-1,/cfb/players/quinton-conley-1.html,SO,WR,,Kansas,2024
Donald Collier,donald-collier-1,/cfb/players/donald-collier-1.html,FR,WR,,Kansas,2024
Griffin Koch,griffin-koch-1,/cfb/players/griffin-koch-1.html,FR,WR,,Kansas,2024
Keaton Kubecka,keaton-kubecka-1,/cfb/players/keaton-kubecka-1.html,FR,WR,,Kansas,2024
Hunter Luke,hunter-luke-1,/cfb/players/hunter-luke-1.html,FR,WR,,Kansas,2024
Isreal Moses,isreal-moses-1,/cfb/players/isreal-moses-1.html,FR,WR,,Kansas,2024
Grant Muffenbier,grant-muffenbier-1,/cfb/players/grant-muffenbier-1.html,FR,WR,,Kansas,2024
Jarred Sample,jarred-sample-1,/cfb/players/jarred-sample-1.html,FR,WR,,Kansas,2024
Jared Casey,jared-casey-2,/cfb/players/jared-casey-2.html,SR,TE,"18 Rec, 203 Yds, 11.3 Avg",Kansas,2024
Trevor Kardell,trevor-kardell-1,/cfb/players/trevor-kardell-1.html,SR,TE,"12 Rec, 148 Yds, 12.3 Avg",Kansas,2024
Tevita Noa,tevita-noa-1,/cfb/players/tevita-noa-1.html,SR,TE,"1 Rec, 40 Yds, 40.0 Avg",Kansas,2024
Leyton Cure,leyton-cure-1,/cfb/players/leyton-cure-1.html,JR,TE,,Kansas,2024
