Player,Player_ID,Player_Link,class,pos,summary,School,Year
Avery Johnson,avery-johnson-2,/cfb/players/avery-johnson-2.html,JR,QB,"204 Cmp, 341 Att, 2385 Yds, 18 TD",Kansas State,2025
Blake Barnett,blake-barnett-3,/cfb/players/blake-barnett-3.html,FR,QB,,Kansas State,2025
Jacob Knuth,jacob-knuth-1,/cfb/players/jacob-knuth-1.html,JR,QB,,Kansas State,2025
Dillon Duff,dillon-duff-1,/cfb/players/dillon-duff-1.html,FR,QB,,Kansas State,2025
Hudson Hutcheson,hudson-hutcheson-1,/cfb/players/hudson-hutcheson-1.html,FR,QB,,Kansas State,2025
Joe Jackson,joe-jackson-4,/cfb/players/joe-jackson-4.html,SO,RB,"169 Att, 911 Yds, 5.4 Avg",Kansas State,2025
Dylan Edwards,dylan-edwards-1,/cfb/players/dylan-edwards-1.html,JR,RB,"34 Att, 205 Yds, 6.0 Avg",Kansas State,2025
DeVon Rice,devon-rice-1,/cfb/players/devon-rice-1.html,FR,RB,"26 Att, 94 Yds, 3.6 Avg",Kansas State,2025
Antonio Martin Jr.,antonio-martin-jr-1,/cfb/players/antonio-martin-jr-1.html,JR,RB,"19 Att, 129 Yds, 6.8 Avg",Kansas State,2025
JB Price,jb-price-1,/cfb/players/jb-price-1.html,FR,RB,"9 Att, 18 Yds, 2.0 Avg",Kansas State,2025
Monterrio Elston Jr.,monterrio-elston-jr-1,/cfb/players/monterrio-elston-jr-1.html,FR,RB,"2 Att, 2 Yds, 1.0 Avg",Kansas State,2025
Jayce Brown,jayce-brown-1,/cfb/players/jayce-brown-1.html,JR,WR,"41 Rec, 712 Yds, 17.4 Avg",Kansas State,2025
Adonis Moise,adonis-moise-1,/cfb/players/adonis-moise-1.html,FR,WR,"6 Rec, 56 Yds, 9.3 Avg",Kansas State,2025
Jaron Tibbs,jaron-tibbs-1,/cfb/players/jaron-tibbs-1.html,JR,WR,"47 Rec, 595 Yds, 12.7 Avg",Kansas State,2025
Jerand Bradley,jerand-bradley-1,/cfb/players/jerand-bradley-1.html,SR,WR,"13 Rec, 184 Yds, 14.2 Avg",Kansas State,2025
Sterling Lockett,sterling-lockett-1,/cfb/players/sterling-lockett-1.html,JR,WR,"3 Rec, 39 Yds, 13.0 Avg",Kansas State,2025
Jemyri Davis,jemyri-davis-1,/cfb/players/jemyri-davis-1.html,JR,WR,"2 Rec, 8 Yds, 4.0 Avg",Kansas State,2025
Isaac Koch,isaac-koch-1,/cfb/players/isaac-koch-1.html,JR,WR,"2 Rec, 17 Yds, 8.5 Avg",Kansas State,2025
Garrett Harstad,garrett-harstad-1,/cfb/players/garrett-harstad-1.html,SO,WR,,Kansas State,2025
Caleb Medford,caleb-medford-1,/cfb/players/caleb-medford-1.html,SR,WR,,Kansas State,2025
Bryce Noernberg,bryce-noernberg-1,/cfb/players/bryce-noernberg-1.html,FR,WR,,Kansas State,2025
Jacques Spradley-Demps,jacques-spradley-demps-1,/cfb/players/jacques-spradley-demps-1.html,FR,WR,,Kansas State,2025
Callen Barta,callen-barta-1,/cfb/players/callen-barta-1.html,FR,WR,,Kansas State,2025
Larry Porter IV,larry-porter-iv-1,/cfb/players/larry-porter-iv-1.html,FR,WR,,Kansas State,2025
Justin Stephens,justin-stephens-2,/cfb/players/justin-stephens-2.html,JR,WR,,Kansas State,2025
Linkon Cure,linkon-cure-1,/cfb/players/linkon-cure-1.html,FR,TE,"6 Rec, 37 Yds, 6.2 Avg",Kansas State,2025
Garrett Oakley,garrett-oakley-1,/cfb/players/garrett-oakley-1.html,JR,TE,"38 Rec, 389 Yds, 10.2 Avg",Kansas State,2025
