Player,Player_ID,Player_Link,class,pos,summary,School,Year
Patrick Towles,patrick-towles-1,/cfb/players/patrick-towles-1.html,JR,QB,"183 Cmp, 326 Att, 2148 Yds, 9 TD",Kentucky,2015
Drew Barker,drew-barker-1,/cfb/players/drew-barker-1.html,FR,QB,"35 Cmp, 70 Att, 364 Yds, 1 TD",Kentucky,2015
Reese Phillips,reese-phillips-1,/cfb/players/reese-phillips-1.html,SO,QB,,Kentucky,2015
Boom Williams,boom-williams-1,/cfb/players/boom-williams-1.html,SO,RB,"121 Att, 855 Yds, 7.1 Avg",Kentucky,2015
Jojo Kemp,jojo-kemp-1,/cfb/players/jojo-kemp-1.html,JR,RB,"98 Att, 555 Yds, 5.7 Avg",Kentucky,2015
Mikel Horton,mikel-horton-1,/cfb/players/mikel-horton-1.html,SO,RB,"82 Att, 318 Yds, 3.9 Avg",Kentucky,2015
Sihiem King,sihiem-king-1,/cfb/players/sihiem-king-1.html,FR,RB,"11 Att, 127 Yds, 11.5 Avg",Kentucky,2015
William Mahone,william-mahone-1,/cfb/players/william-mahone-1.html,SO,RB,,Kentucky,2015
Ryan Timmons,ryan-timmons-1,/cfb/players/ryan-timmons-1.html,JR,WR,"12 Rec, 114 Yds, 9.5 Avg",Kentucky,2015
Garrett Johnson,garrett-johnson-3,/cfb/players/garrett-johnson-3.html,SO,WR,"47 Rec, 700 Yds, 14.9 Avg",Kentucky,2015
Dorian Baker,dorian-baker-1,/cfb/players/dorian-baker-1.html,SO,WR,"56 Rec, 612 Yds, 10.9 Avg",Kentucky,2015
Jeff Badet,jeff-badet-1,/cfb/players/jeff-badet-1.html,SO,WR,"29 Rec, 430 Yds, 14.8 Avg",Kentucky,2015
Blake Bone,blake-bone-1,/cfb/players/blake-bone-1.html,SO,WR,"18 Rec, 200 Yds, 11.1 Avg",Kentucky,2015
Charles Walker,charles-walker-4,/cfb/players/charles-walker-4.html,SO,WR,"5 Rec, 61 Yds, 12.2 Avg",Kentucky,2015
Alexander Montgomery,alexander-montgomery-1,/cfb/players/alexander-montgomery-1.html,SO,WR,"3 Rec, 18 Yds, 6.0 Avg",Kentucky,2015
