Player,Player_ID,Player_Link,class,pos,summary,School,Year
Joe Burrow,joe-burrow-1,/cfb/players/joe-burrow-1.html,SR,QB,"402 Cmp, 527 Att, 5671 Yds, 60 TD",LSU,2019
Myles Brennan,myles-brennan-1,/cfb/players/myles-brennan-1.html,SO,QB,"24 Cmp, 40 Att, 353 Yds, 1 TD",LSU,2019
AJ Aycock,aj-aycock-1,/cfb/players/aj-aycock-1.html,FR,QB,,LSU,2019
Walker Kinney,walker-kinney-1,/cfb/players/walker-kinney-1.html,FR,QB,,LSU,2019
John Gordon McKernan,john-gordon-mckernan-1,/cfb/players/john-gordon-mckernan-1.html,FR,QB,,LSU,2019
Peter Parrish,peter-parrish-1,/cfb/players/peter-parrish-1.html,FR,QB,,LSU,2019
Clyde Edwards-Helaire,clyde-edwards-helaire-1,/cfb/players/clyde-edwards-helaire-1.html,JR,RB,"215 Att, 1414 Yds, 6.6 Avg",LSU,2019
Tyrion Davis-Price,tyrion-davis-price-1,/cfb/players/tyrion-davis-price-1.html,FR,RB,"64 Att, 295 Yds, 4.6 Avg",LSU,2019
John Emery Jr.,john-emery-jr-1,/cfb/players/john-emery-jr-1.html,FR,RB,"39 Att, 188 Yds, 4.8 Avg",LSU,2019
Chris Curry,chris-curry-2,/cfb/players/chris-curry-2.html,FR,RB,"38 Att, 189 Yds, 5.0 Avg",LSU,2019
Lanard Fournette,lanard-fournette-1,/cfb/players/lanard-fournette-1.html,SR,RB,"13 Att, 36 Yds, 2.8 Avg",LSU,2019
Keenen Dunn,keenen-dunn-1,/cfb/players/keenen-dunn-1.html,SO,RB,,LSU,2019
Corren Norman,corren-norman-1,/cfb/players/corren-norman-1.html,FR,RB,,LSU,2019
Josh Williams,josh-williams-10,/cfb/players/josh-williams-10.html,FR,RB,,LSU,2019
Ja'Marr Chase,jamarr-chase-1,/cfb/players/jamarr-chase-1.html,SO,WR,"84 Rec, 1780 Yds, 21.2 Avg",LSU,2019
