Player,Player_ID,Player_Link,class,pos,summary,School,Year
Levi Lewis,levi-lewis-1,/cfb/players/levi-lewis-1.html,SR,QB,"236 Cmp, 391 Att, 2917 Yds, 20 TD",Louisiana,2021
Chandler Fields,chandler-fields-1,/cfb/players/chandler-fields-1.html,FR,QB,"9 Cmp, 13 Att, 106 Yds, 1 TD",Louisiana,2021
Hunter Herring,hunter-herring-1,/cfb/players/hunter-herring-1.html,FR,QB,,Louisiana,2021
Lance Legendre,lance-legendre-1,/cfb/players/lance-legendre-1.html,FR,QB,,Louisiana,2021
Dale Martin,dale-martin-2,/cfb/players/dale-martin-2.html,FR,QB,,Louisiana,2021
Zy McDonald,zy-mcdonald-1,/cfb/players/zy-mcdonald-1.html,FR,QB,,Louisiana,2021
Parker Seilhan,parker-seilhan-1,/cfb/players/parker-seilhan-1.html,FR,QB,,Louisiana,2021
Ben Wooldridge,ben-wooldridge-1,/cfb/players/ben-wooldridge-1.html,SO,QB,,Louisiana,2021
Chris Smith,chris-smith-22,/cfb/players/chris-smith-22.html,SO,RB,"153 Att, 855 Yds, 5.6 Avg",Louisiana,2021
Montrell Johnson,montrell-johnson-1,/cfb/players/montrell-johnson-1.html,FR,RB,"162 Att, 838 Yds, 5.2 Avg",Louisiana,2021
Emani Bailey,emani-bailey-1,/cfb/players/emani-bailey-1.html,FR,RB,"102 Att, 642 Yds, 6.3 Avg",Louisiana,2021
TJ Wisham Jr.,tj-wisham-jr-2,/cfb/players/tj-wisham-jr-2.html,JR,RB,"12 Att, 33 Yds, 2.8 Avg",Louisiana,2021
Dre'lyn Washington,drelyn-washington-1,/cfb/players/drelyn-washington-1.html,FR,RB,,Louisiana,2021
Tito Byce,tito-byce-1,/cfb/players/tito-byce-1.html,FR,RB,,Louisiana,2021
Jacob Kibodi,jacob-kibodi-1,/cfb/players/jacob-kibodi-1.html,JR,RB,,Louisiana,2021
Michael Orphey Jr.,michael-orphey-jr-1,/cfb/players/michael-orphey-jr-1.html,SO,RB,,Louisiana,2021
Kendrell Williams,kendrell-williams-1,/cfb/players/kendrell-williams-1.html,FR,RB,,Louisiana,2021
Peter LeBlanc,peter-leblanc-1,/cfb/players/peter-leblanc-1.html,SO,WR,"37 Rec, 417 Yds, 11.3 Avg",Louisiana,2021
Dontae Fleming,dontae-fleming-1,/cfb/players/dontae-fleming-1.html,FR,WR,"27 Rec, 322 Yds, 11.9 Avg",Louisiana,2021
Errol Rogers Jr.,errol-rogers-jr-1,/cfb/players/errol-rogers-jr-1.html,FR,WR,"26 Rec, 215 Yds, 8.3 Avg",Louisiana,2021
Kyren Lacy,kyren-lacy-1,/cfb/players/kyren-lacy-1.html,FR,WR,"22 Rec, 304 Yds, 13.8 Avg",Louisiana,2021
Michael Jefferson,michael-jefferson-1,/cfb/players/michael-jefferson-1.html,JR,WR,"18 Rec, 481 Yds, 26.7 Avg",Louisiana,2021
John Stephens Jr.,john-stephens-jr-1,/cfb/players/john-stephens-jr-1.html,JR,WR,"13 Rec, 167 Yds, 12.8 Avg",Louisiana,2021
Jalen Williams,jalen-williams-7,/cfb/players/jalen-williams-7.html,SR,WR,"13 Rec, 191 Yds, 14.7 Avg",Louisiana,2021
Jacob Bernard,jacob-bernard-1,/cfb/players/jacob-bernard-1.html,FR,WR,"5 Rec, 84 Yds, 16.8 Avg",Louisiana,2021
Kaleb Carter,kaleb-carter-1,/cfb/players/kaleb-carter-1.html,SO,WR,"5 Rec, 61 Yds, 12.2 Avg",Louisiana,2021
