Player,Player_ID,Player_Link,class,pos,summary,School,Year
Cam Fancher,cam-fancher-1,/cfb/players/cam-fancher-1.html,JR,QB,"131 Cmp, 236 Att, 1558 Yds, 10 TD",Marshall,2022
Henry Colombi,henry-colombi-1,/cfb/players/henry-colombi-1.html,SR,QB,"94 Cmp, 128 Att, 938 Yds, 6 TD",Marshall,2022
Peter Zamora,peter-zamora-1,/cfb/players/peter-zamora-1.html,SO,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",Marshall,2022
Cade Cunningham,cade-cunningham-1,/cfb/players/cade-cunningham-1.html,JR,QB,,Marshall,2022
Chase Harrison,chase-harrison-1,/cfb/players/chase-harrison-1.html,SO,QB,,Marshall,2022
Cole Pennington,cole-pennington-1,/cfb/players/cole-pennington-1.html,SO,QB,,Marshall,2022
Khalan Laborn,khalan-laborn-2,/cfb/players/khalan-laborn-2.html,SR,RB,"302 Att, 1513 Yds, 5.0 Avg",Marshall,2022
Ethan Payne,ethan-payne-1,/cfb/players/ethan-payne-1.html,JR,RB,"48 Att, 256 Yds, 5.3 Avg",Marshall,2022
Rasheen Ali,rasheen-ali-1,/cfb/players/rasheen-ali-1.html,JR,RB,"47 Att, 273 Yds, 5.8 Avg",Marshall,2022
A.J. Turner,aj-turner-3,/cfb/players/aj-turner-3.html,SO,RB,"17 Att, 100 Yds, 5.9 Avg",Marshall,2022
Maurice Jones,maurice-jones-5,/cfb/players/maurice-jones-5.html,SO,RB,"8 Att, 51 Yds, 6.4 Avg",Marshall,2022
Isaiah Gordon,isaiah-gordon-1,/cfb/players/isaiah-gordon-1.html,SO,RB,"3 Att, 9 Yds, 3.0 Avg",Marshall,2022
DeMarcus McElroy,demarcus-mcelroy-1,/cfb/players/demarcus-mcelroy-1.html,SO,RB,,Marshall,2022
Charles Montgomery,charles-montgomery-1,/cfb/players/charles-montgomery-1.html,JR,WR,"36 Rec, 402 Yds, 11.2 Avg",Marshall,2022
Talik Keaton,talik-keaton-1,/cfb/players/talik-keaton-1.html,SR,WR,"24 Rec, 226 Yds, 9.4 Avg",Marshall,2022
EJ Horton,ej-horton-1,/cfb/players/ej-horton-1.html,JR,WR,"12 Rec, 186 Yds, 15.5 Avg",Marshall,2022
Caleb McMillan,caleb-mcmillan-1,/cfb/players/caleb-mcmillan-1.html,SR,WR,"13 Rec, 198 Yds, 15.2 Avg",Marshall,2022
Jayden Harrison,jayden-harrison-1,/cfb/players/jayden-harrison-1.html,SR,WR,"12 Rec, 95 Yds, 7.9 Avg",Marshall,2022
Caleb Coombs,caleb-coombs-1,/cfb/players/caleb-coombs-1.html,JR,WR,"3 Rec, 20 Yds, 6.7 Avg",Marshall,2022
Corey Gammage,corey-gammage-1,/cfb/players/corey-gammage-1.html,SR,WR,"52 Rec, 774 Yds, 14.9 Avg",Marshall,2022
Shadeed Ahmed,shadeed-ahmed-1,/cfb/players/shadeed-ahmed-1.html,SR,WR,"16 Rec, 150 Yds, 9.4 Avg",Marshall,2022
Bryan Robinson,bryan-robinson-1,/cfb/players/bryan-robinson-1.html,JR,WR,"1 Rec, 15 Yds, 15.0 Avg",Marshall,2022
Timothy Allen,timothy-allen-1,/cfb/players/timothy-allen-1.html,SR,WR,,Marshall,2022
Caden Burti,caden-burti-1,/cfb/players/caden-burti-1.html,SO,WR,,Marshall,2022
Stone Scarcelle,stone-scarcelle-1,/cfb/players/stone-scarcelle-1.html,SR,WR,,Marshall,2022
Jack Stakem,jack-stakem-1,/cfb/players/jack-stakem-1.html,SR,WR,,Marshall,2022
Zion Odoms,zion-odoms-1,/cfb/players/zion-odoms-1.html,SO,WR,,Marshall,2022
Cam Pedro,cam-pedro-1,/cfb/players/cam-pedro-1.html,SO,WR,,Marshall,2022
Sean Reese,sean-reese-1,/cfb/players/sean-reese-1.html,SO,WR,,Marshall,2022
Antonio Robinson,antonio-robinson-2,/cfb/players/antonio-robinson-2.html,SO,WR,,Marshall,2022
Devin Miller,devin-miller-1,/cfb/players/devin-miller-1.html,SR,TE,"21 Rec, 168 Yds, 8.0 Avg",Marshall,2022
Toby Payne,toby-payne-1,/cfb/players/toby-payne-1.html,SO,TE,"2 Rec, 27 Yds, 13.5 Avg",Marshall,2022
