Player,Player_ID,Player_Link,class,pos,summary,School,Year
Billy Edwards Jr.,billy-edwards-jr-1,/cfb/players/billy-edwards-jr-1.html,JR,QB,"273 Cmp, 420 Att, 2881 Yds, 15 TD",Maryland,2024
MJ Morris,mj-morris-1,/cfb/players/mj-morris-1.html,SO,QB,"36 Cmp, 61 Att, 350 Yds, 5 TD",Maryland,2024
Cameron Edge,cameron-edge-1,/cfb/players/cameron-edge-1.html,JR,QB,"5 Cmp, 8 Att, 67 Yds, 1 TD",Maryland,2024
Champ Long,champ-long-1,/cfb/players/champ-long-1.html,SO,QB,"1 Cmp, 2 Att, 10 Yds, 0 TD",Maryland,2024
Roman Jensen,roman-jensen-1,/cfb/players/roman-jensen-1.html,FR,QB,,Maryland,2024
Khristian Martin,khristian-martin-1,/cfb/players/khristian-martin-1.html,FR,QB,,Maryland,2024
Jayden Sauray,jayden-sauray-1,/cfb/players/jayden-sauray-1.html,JR,QB,,Maryland,2024
Roman Hemby,roman-hemby-1,/cfb/players/roman-hemby-1.html,SR,RB,"134 Att, 607 Yds, 4.5 Avg",Maryland,2024
Nolan Ray,nolan-ray-1,/cfb/players/nolan-ray-1.html,SO,RB,"75 Att, 374 Yds, 5.0 Avg",Maryland,2024
Colby McDonald,colby-mcdonald-1,/cfb/players/colby-mcdonald-1.html,SR,RB,"29 Att, 150 Yds, 5.2 Avg",Maryland,2024
DeJuan Williams,dejuan-williams-1,/cfb/players/dejuan-williams-1.html,FR,RB,"8 Att, 46 Yds, 5.8 Avg",Maryland,2024
Josiah McLaurin,josiah-mclaurin-1,/cfb/players/josiah-mclaurin-1.html,FR,RB,,Maryland,2024
Eli Mason,eli-mason-1,/cfb/players/eli-mason-1.html,JR,RB,,Maryland,2024
Ryne Acheson,ryne-acheson-1,/cfb/players/ryne-acheson-1.html,JR,RB,,Maryland,2024
Colin Reynolds,colin-reynolds-1,/cfb/players/colin-reynolds-1.html,FR,RB,,Maryland,2024
Tai Felton,tai-felton-1,/cfb/players/tai-felton-1.html,SR,WR,"96 Rec, 1124 Yds, 11.7 Avg",Maryland,2024
Kaden Prather,kaden-prather-1,/cfb/players/kaden-prather-1.html,JR,WR,"56 Rec, 624 Yds, 11.1 Avg",Maryland,2024
Octavian Smith Jr.,octavian-smith-jr-1,/cfb/players/octavian-smith-jr-1.html,JR,WR,"30 Rec, 315 Yds, 10.5 Avg",Maryland,2024
Shaleak Knotts,shaleak-knotts-1,/cfb/players/shaleak-knotts-1.html,JR,WR,"11 Rec, 161 Yds, 14.6 Avg",Maryland,2024
Braedan Wisloski,braedan-wisloski-1,/cfb/players/braedan-wisloski-1.html,SO,WR,"5 Rec, 75 Yds, 15.0 Avg",Maryland,2024
Ryan Manning,ryan-manning-1,/cfb/players/ryan-manning-1.html,SO,WR,"3 Rec, 28 Yds, 9.3 Avg",Maryland,2024
Ezekial Avit,ezekial-avit-1,/cfb/players/ezekial-avit-1.html,SO,WR,"1 Rec, 13 Yds, 13.0 Avg",Maryland,2024
Robert Smith Jr.,robert-smith-jr-1,/cfb/players/robert-smith-jr-1.html,SR,WR,"1 Rec, 8 Yds, 8.0 Avg",Maryland,2024
Ricardo Cooper Jr.,ricardo-cooper-jr-1,/cfb/players/ricardo-cooper-jr-1.html,SO,WR,,Maryland,2024
Jaiden Fair,jaiden-fair-1,/cfb/players/jaiden-fair-1.html,SO,WR,,Maryland,2024
Alec Hughes,alec-hughes-1,/cfb/players/alec-hughes-1.html,SO,WR,,Maryland,2024
Jahmari Powell-Wonson,jahmari-powell-wonson-1,/cfb/players/jahmari-powell-wonson-1.html,FR,WR,,Maryland,2024
Mekhai White,mekhai-white-1,/cfb/players/mekhai-white-1.html,FR,WR,,Maryland,2024
Khalid Jones,khalid-jones-2,/cfb/players/khalid-jones-2.html,JR,WR,,Maryland,2024
Parker Jones,parker-jones-2,/cfb/players/parker-jones-2.html,SO,WR,,Maryland,2024
Josh Richards,josh-richards-1,/cfb/players/josh-richards-1.html,SO,WR,,Maryland,2024
Emerson Smith,emerson-smith-1,/cfb/players/emerson-smith-1.html,FR,WR,,Maryland,2024
Sean Williams,sean-williams-3,/cfb/players/sean-williams-3.html,SO,WR,,Maryland,2024
Dylan Wade,dylan-wade-1,/cfb/players/dylan-wade-1.html,SO,TE,"29 Rec, 374 Yds, 12.9 Avg",Maryland,2024
Preston Howard,preston-howard-1,/cfb/players/preston-howard-1.html,JR,TE,"24 Rec, 189 Yds, 7.9 Avg",Maryland,2024
Leon Haughton Jr.,leon-haughton-jr-1,/cfb/players/leon-haughton-jr-1.html,JR,TE,"2 Rec, 11 Yds, 5.5 Avg",Maryland,2024
Leron Husbands,leron-husbands-1,/cfb/players/leron-husbands-1.html,SR,TE,,Maryland,2024
AJ Szymanski,aj-szymanski-1,/cfb/players/aj-szymanski-1.html,SO,TE,,Maryland,2024
Maxwell Brown,maxwell-brown-1,/cfb/players/maxwell-brown-1.html,SR,TE,,Maryland,2024
Thomas McCluskey,thomas-mccluskey-1,/cfb/players/thomas-mccluskey-1.html,SO,TE,,Maryland,2024
Aliou Bah,aliou-bah-1,/cfb/players/aliou-bah-1.html,SO,OL,,Maryland,2024
Logan Bennett,logan-bennett-1,/cfb/players/logan-bennett-1.html,FR,OL,,Maryland,2024
Isaac Bunyun,isaac-bunyun-1,/cfb/players/isaac-bunyun-1.html,SR,OL,,Maryland,2024
Terez Davis,terez-davis-1,/cfb/players/terez-davis-1.html,FR,OL,,Maryland,2024
Deandre Duffus,deandre-duffus-1,/cfb/players/deandre-duffus-1.html,SO,OL,,Maryland,2024
Marcus Dumervil,marcus-dumervil-1,/cfb/players/marcus-dumervil-1.html,JR,OL,,Maryland,2024
Alan Herron,alan-herron-1,/cfb/players/alan-herron-1.html,JR,OL,,Maryland,2024
Michael Hershey,michael-hershey-1,/cfb/players/michael-hershey-1.html,FR,OL,,Maryland,2024
Ryan Howerton,ryan-howerton-1,/cfb/players/ryan-howerton-1.html,FR,OL,,Maryland,2024
Kevin Kalonji,kevin-kalonji-1,/cfb/players/kevin-kalonji-1.html,SR,OL,,Maryland,2024
Josh Kaltenberger,josh-kaltenberger-1,/cfb/players/josh-kaltenberger-1.html,JR,OL,,Maryland,2024
Kyle Long,kyle-long-1,/cfb/players/kyle-long-1.html,SR,OL,,Maryland,2024
Anthony Robsock,anthony-robsock-1,/cfb/players/anthony-robsock-1.html,FR,OL,,Maryland,2024
Andre Roye Jr.,andre-roye-jr-1,/cfb/players/andre-roye-jr-1.html,JR,OL,,Maryland,2024
Trevor Szymanski,trevor-szymanski-1,/cfb/players/trevor-szymanski-1.html,FR,OL,,Maryland,2024
Tamarus Walker,tamarus-walker-1,/cfb/players/tamarus-walker-1.html,SO,OL,,Maryland,2024
Billy Molloy,billy-molloy-1,/cfb/players/billy-molloy-1.html,SO,OL,,Maryland,2024
Davon Watkins,davon-watkins-1,/cfb/players/davon-watkins-1.html,FR,OL,,Maryland,2024
Isaiah Wright,isaiah-wright-3,/cfb/players/isaiah-wright-3.html,JR,OL,,Maryland,2024
Jack Howes,jack-howes-1,/cfb/players/jack-howes-1.html,SR,K,,Maryland,2024
Gavin Marshall,gavin-marshall-1,/cfb/players/gavin-marshall-1.html,SO,K,,Maryland,2024
Ryan Capriotti,ryan-capriotti-1,/cfb/players/ryan-capriotti-1.html,SO,K,,Maryland,2024
Tommy Akingbesote,tommy-akingbesote-1,/cfb/players/tommy-akingbesote-1.html,SR,DL,,Maryland,2024
Aaron Folivi,aaron-folivi-1,/cfb/players/aaron-folivi-1.html,SO,DL,,Maryland,2024
Dillan Fontus,dillan-fontus-1,/cfb/players/dillan-fontus-1.html,SO,DL,,Maryland,2024
Quashon Fuller,quashon-fuller-1,/cfb/players/quashon-fuller-1.html,SR,DL,,Maryland,2024
Lavon Johnson,lavon-johnson-1,/cfb/players/lavon-johnson-1.html,SO,DL,,Maryland,2024
Taizse Johnson,taizse-johnson-1,/cfb/players/taizse-johnson-1.html,SR,DL,,Maryland,2024
Dimitry Nicolas,dimitry-nicolas-1,/cfb/players/dimitry-nicolas-1.html,FR,DL,,Maryland,2024
Daniel Owens,daniel-owens-1,/cfb/players/daniel-owens-1.html,JR,DL,,Maryland,2024
Jordan Phillips,jordan-phillips-2,/cfb/players/jordan-phillips-2.html,SO,DL,,Maryland,2024
Joshua Simmons,joshua-simmons-1,/cfb/players/joshua-simmons-1.html,FR,DL,,Maryland,2024
Samuel Adu,samuel-adu-1,/cfb/players/samuel-adu-1.html,JR,DL,,Maryland,2024
Akindele Dare,akindele-dare-1,/cfb/players/akindele-dare-1.html,SO,DL,,Maryland,2024
Kellan Wyatt,kellan-wyatt-1,/cfb/players/kellan-wyatt-1.html,JR,LB,,Maryland,2024
DJ Samuels,dj-samuels-1,/cfb/players/dj-samuels-1.html,SO,LB,,Maryland,2024
Neeo Avery,neeo-avery-1,/cfb/players/neeo-avery-1.html,SO,LB,,Maryland,2024
Donnell Brown,donnell-brown-1,/cfb/players/donnell-brown-1.html,JR,LB,,Maryland,2024
Keion Flowers,keion-flowers-1,/cfb/players/keion-flowers-1.html,FR,LB,,Maryland,2024
Keyshawn Flowers,keyshawn-flowers-1,/cfb/players/keyshawn-flowers-1.html,FR,LB,,Maryland,2024
Dylan Gooden,dylan-gooden-1,/cfb/players/dylan-gooden-1.html,FR,LB,,Maryland,2024
Darius Grimes,darius-grimes-1,/cfb/players/darius-grimes-1.html,SO,LB,,Maryland,2024
Michael Harris,michael-harris-4,/cfb/players/michael-harris-4.html,SO,LB,,Maryland,2024
Ruban Hyppolite II,ruban-hyppolite-ii-1,/cfb/players/ruban-hyppolite-ii-1.html,SR,LB,,Maryland,2024
Keyari James,keyari-james-1,/cfb/players/keyari-james-1.html,FR,LB,,Maryland,2024
Trey Reddick,trey-reddick-1,/cfb/players/trey-reddick-1.html,FR,LB,,Maryland,2024
Caleb Wheatland,caleb-wheatland-1,/cfb/players/caleb-wheatland-1.html,JR,LB,,Maryland,2024
Dylan Wingate,dylan-wingate-1,/cfb/players/dylan-wingate-1.html,SO,LB,,Maryland,2024
Jonathan Akins,jonathan-akins-1,/cfb/players/jonathan-akins-1.html,SO,DB,,Maryland,2024
Perry Fisher,perry-fisher-1,/cfb/players/perry-fisher-1.html,JR,DB,,Maryland,2024
Rex Fleming,rex-fleming-1,/cfb/players/rex-fleming-1.html,SR,DB,,Maryland,2024
Chantz Harley,chantz-harley-1,/cfb/players/chantz-harley-1.html,JR,DB,,Maryland,2024
Kevyn Humes,kevyn-humes-1,/cfb/players/kevyn-humes-1.html,FR,DB,,Maryland,2024
Lloyd Irvin III,lloyd-irvin-iii-1,/cfb/players/lloyd-irvin-iii-1.html,FR,DB,,Maryland,2024
Brandon Jacob,brandon-jacob-1,/cfb/players/brandon-jacob-1.html,FR,DB,,Maryland,2024
Judah Jenkins,judah-jenkins-1,/cfb/players/judah-jenkins-1.html,FR,DB,,Maryland,2024
Braydon Lee,braydon-lee-1,/cfb/players/braydon-lee-1.html,FR,DB,,Maryland,2024
Shamar McIntosh,shamar-mcintosh-1,/cfb/players/shamar-mcintosh-1.html,FR,DB,,Maryland,2024
Glendon Miller,glendon-miller-1,/cfb/players/glendon-miller-1.html,SR,DB,,Maryland,2024
Alex Moore,alex-moore-6,/cfb/players/alex-moore-6.html,SO,DB,,Maryland,2024
La'khi Roland,lakhi-roland-1,/cfb/players/lakhi-roland-1.html,FR,DB,,Maryland,2024
Lavain Scruggs,lavain-scruggs-1,/cfb/players/lavain-scruggs-1.html,JR,DB,,Maryland,2024
Kevis Thomas,kevis-thomas-1,/cfb/players/kevis-thomas-1.html,SO,DB,,Maryland,2024
Dante Trader,dante-trader-1,/cfb/players/dante-trader-1.html,SR,DB,,Maryland,2024
Lionell Whitaker,lionell-whitaker-1,/cfb/players/lionell-whitaker-1.html,JR,DB,,Maryland,2024
Sebastian Antoine-Pompey,sebastian-antoine-pompey-1,/cfb/players/sebastian-antoine-pompey-1.html,SO,DB,,Maryland,2024
Karon Ball,karon-ball-1,/cfb/players/karon-ball-1.html,SR,DB,,Maryland,2024
Taylor Best,taylor-best-1,/cfb/players/taylor-best-1.html,SO,DB,,Maryland,2024
J'Mar Branion,jmar-branion-1,/cfb/players/jmar-branion-1.html,SO,DB,,Maryland,2024
Mykel Morman,mykel-morman-1,/cfb/players/mykel-morman-1.html,SO,DB,,Maryland,2024
Tayvon Nelson,tayvon-nelson-1,/cfb/players/tayvon-nelson-1.html,SO,DB,,Maryland,2024
Carson Petitbon,carson-petitbon-1,/cfb/players/carson-petitbon-1.html,SO,DB,,Maryland,2024
Chris Wells,chris-wells-3,/cfb/players/chris-wells-3.html,SO,DB,,Maryland,2024
Bryce McFerson,bryce-mcferson-1,/cfb/players/bryce-mcferson-1.html,SO,P,,Maryland,2024
Philip Noyes,philip-noyes-1,/cfb/players/philip-noyes-1.html,FR,P,,Maryland,2024
Brenden Segovia,brenden-segovia-1,/cfb/players/brenden-segovia-1.html,JR,P,,Maryland,2024
Ethan Gough,ethan-gough-1,/cfb/players/ethan-gough-1.html,SR,LS,,Maryland,2024
Jalen Huskey,jalen-huskey-1,/cfb/players/jalen-huskey-1.html,SO,CB,,Maryland,2024
Kellen McConnell,kellen-mcconnell-1,/cfb/players/kellen-mcconnell-1.html,FR,LS,,Maryland,2024
