Player,Player_ID,Player_Link,class,pos,summary,School,Year
Katin Houser,katin-houser-1,/cfb/players/katin-houser-1.html,FR,QB,"112 Cmp, 191 Att, 1130 Yds, 6 TD",Michigan State,2023
Noah Kim,noah-kim-1,/cfb/players/noah-kim-1.html,JR,QB,"91 Cmp, 160 Att, 1090 Yds, 6 TD",Michigan State,2023
Sam Leavitt,sam-leavitt-1,/cfb/players/sam-leavitt-1.html,FR,QB,"15 Cmp, 23 Att, 139 Yds, 2 TD",Michigan State,2023
Andrew Schorfhaar,andrew-schorfhaar-2,/cfb/players/andrew-schorfhaar-2.html,JR,QB,"2 Cmp, 2 Att, -3 Yds, 0 TD",Michigan State,2023
Nate Carter,nate-carter-4,/cfb/players/nate-carter-4.html,SO,RB,"185 Att, 798 Yds, 4.3 Avg",Michigan State,2023
Jaren Mangham,jaren-mangham-1,/cfb/players/jaren-mangham-1.html,SR,RB,"30 Att, 81 Yds, 2.7 Avg",Michigan State,2023
Jalen Berger,jalen-berger-1,/cfb/players/jalen-berger-1.html,JR,RB,"25 Att, 93 Yds, 3.7 Avg",Michigan State,2023
Davion Primm,davion-primm-1,/cfb/players/davion-primm-1.html,SO,RB,"7 Att, 18 Yds, 2.6 Avg",Michigan State,2023
Jordon Simmons,jordon-simmons-1,/cfb/players/jordon-simmons-1.html,SR,RB,"7 Att, 14 Yds, 2.0 Avg",Michigan State,2023
Harold Joiner,harold-joiner-1,/cfb/players/harold-joiner-1.html,SR,RB,"6 Att, 4 Yds, 0.7 Avg",Michigan State,2023
Joseph Martinez,joseph-martinez-1,/cfb/players/joseph-martinez-1.html,JR,RB,"5 Att, 6 Yds, 1.2 Avg",Michigan State,2023
Jaelon Barbarin,jaelon-barbarin-1,/cfb/players/jaelon-barbarin-1.html,FR,RB,"1 Att, 1 Yds, 1.0 Avg",Michigan State,2023
Alante Brown,alante-brown-1,/cfb/players/alante-brown-1.html,SR,WR,"3 Rec, 27 Yds, 9.0 Avg",Michigan State,2023
Montorie Foster,montorie-foster-1,/cfb/players/montorie-foster-1.html,SR,WR,"43 Rec, 576 Yds, 13.4 Avg",Michigan State,2023
Tre Mosley,tre-mosley-1,/cfb/players/tre-mosley-1.html,SR,WR,"28 Rec, 288 Yds, 10.3 Avg",Michigan State,2023
