Player,Player_ID,Player_Link,class,pos,summary,School,Year
Nick Fitzgerald,nick-fitzgerald-2,/cfb/players/nick-fitzgerald-2.html,SR,QB,"145 Cmp, 281 Att, 1767 Yds, 16 TD",Mississippi State,2018
Keytaon Thompson,keytaon-thompson-1,/cfb/players/keytaon-thompson-1.html,SO,QB,"18 Cmp, 39 Att, 458 Yds, 6 TD",Mississippi State,2018
Jalen Mayden,jalen-mayden-1,/cfb/players/jalen-mayden-1.html,FR,QB,"1 Cmp, 2 Att, 9 Yds, 0 TD",Mississippi State,2018
Logan Burnett,logan-burnett-1,/cfb/players/logan-burnett-1.html,SO,QB,"1 Cmp, 1 Att, 25 Yds, 0 TD",Mississippi State,2018
Rip Kirk,rip-kirk-1,/cfb/players/rip-kirk-1.html,JR,QB,,Mississippi State,2018
TJ Mcmahon,tj-mcmahon-1,/cfb/players/tj-mcmahon-1.html,FR,QB,,Mississippi State,2018
Kylin Hill,kylin-hill-1,/cfb/players/kylin-hill-1.html,SO,RB,"117 Att, 734 Yds, 6.3 Avg",Mississippi State,2018
Aeris Williams,aeris-williams-1,/cfb/players/aeris-williams-1.html,SR,RB,"85 Att, 524 Yds, 6.2 Avg",Mississippi State,2018
Nick Gibson,nick-gibson-1,/cfb/players/nick-gibson-1.html,JR,RB,"27 Att, 205 Yds, 7.6 Avg",Mississippi State,2018
Dontavian Lee,dontavian-lee-1,/cfb/players/dontavian-lee-1.html,SR,RB,"19 Att, 82 Yds, 4.3 Avg",Mississippi State,2018
Robert Rivers,robert-rivers-2,/cfb/players/robert-rivers-2.html,FR,RB,"5 Att, 31 Yds, 6.2 Avg",Mississippi State,2018
Osirus Mitchell,osirus-mitchell-1,/cfb/players/osirus-mitchell-1.html,SO,WR,"26 Rec, 427 Yds, 16.4 Avg",Mississippi State,2018
Stephen Guidry,stephen-guidry-1,/cfb/players/stephen-guidry-1.html,JR,WR,"19 Rec, 440 Yds, 23.2 Avg",Mississippi State,2018
Deddrick Thomas,deddrick-thomas-1,/cfb/players/deddrick-thomas-1.html,JR,WR,"19 Rec, 256 Yds, 13.5 Avg",Mississippi State,2018
Keith Mixon,keith-mixon-1,/cfb/players/keith-mixon-1.html,JR,WR,"10 Rec, 137 Yds, 13.7 Avg",Mississippi State,2018
Austin Williams,austin-williams-3,/cfb/players/austin-williams-3.html,FR,WR,"10 Rec, 137 Yds, 13.7 Avg",Mississippi State,2018
Jesse Jackson,jesse-jackson-1,/cfb/players/jesse-jackson-1.html,SR,WR,"9 Rec, 90 Yds, 10.0 Avg",Mississippi State,2018
Devonta Jason,devonta-jason-1,/cfb/players/devonta-jason-1.html,FR,WR,"2 Rec, 42 Yds, 21.0 Avg",Mississippi State,2018
