Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tai Lavatai,tai-lavatai-1,/cfb/players/tai-lavatai-1.html,SR,QB,"42 Cmp, 91 Att, 785 Yds, 5 TD",Navy,2022
Maasai Maynor,maasai-maynor-1,/cfb/players/maasai-maynor-1.html,SR,QB,"7 Cmp, 14 Att, 132 Yds, 1 TD",Navy,2022
Xavier Arline,xavier-arline-1,/cfb/players/xavier-arline-1.html,SR,QB,"4 Cmp, 11 Att, 85 Yds, 2 TD",Navy,2022
King Benford,king-benford-1,/cfb/players/king-benford-1.html,SO,QB,,Navy,2022
Zachary Branam,zachary-branam-2,/cfb/players/zachary-branam-2.html,JR,QB,,Navy,2022
Tedros Gleaton,tedros-gleaton-1,/cfb/players/tedros-gleaton-1.html,SO,QB,,Navy,2022
Blake Horvath,blake-horvath-1,/cfb/players/blake-horvath-1.html,SO,QB,,Navy,2022
Drevonn Ponder,drevonn-ponder-1,/cfb/players/drevonn-ponder-1.html,SO,QB,,Navy,2022
Kai Puailoa-Rojas,kai-puailoa-rojas-2,/cfb/players/kai-puailoa-rojas-2.html,SR,RB,"4 Rec, 31 Yds, 7.8 Avg",Navy,2022
Maquel Haywood,maquel-haywood-1,/cfb/players/maquel-haywood-1.html,JR,RB,"73 Att, 473 Yds, 6.5 Avg",Navy,2022
Vincent Terrell II,vincent-terrell-ii-1,/cfb/players/vincent-terrell-ii-1.html,SR,RB,"72 Att, 238 Yds, 3.3 Avg",Navy,2022
Daniel Jones,daniel-jones-5,/cfb/players/daniel-jones-5.html,SR,RB,"18 Att, 67 Yds, 3.7 Avg",Navy,2022
Amir Hassan,amir-hassan-1,/cfb/players/amir-hassan-1.html,JR,RB,"1 Att, 3 Yds, 3.0 Avg",Navy,2022
Cameren Dalrymple,cameren-dalrymple-2,/cfb/players/cameren-dalrymple-2.html,JR,RB,,Navy,2022
Maurice Moore,maurice-moore-2,/cfb/players/maurice-moore-2.html,SO,RB,,Navy,2022
Campbell Speights,campbell-speights-2,/cfb/players/campbell-speights-2.html,JR,RB,,Navy,2022
Brandon Chatman,brandon-chatman-1,/cfb/players/brandon-chatman-1.html,SO,RB,,Navy,2022
Danny Enovitch,danny-enovitch-1,/cfb/players/danny-enovitch-1.html,SO,RB,,Navy,2022
Fabian France,fabian-france-1,/cfb/players/fabian-france-1.html,SO,RB,,Navy,2022
Eli Heidenreich,eli-heidenreich-1,/cfb/players/eli-heidenreich-1.html,SO,RB,,Navy,2022
Cameron Smith,cameron-smith-9,/cfb/players/cameron-smith-9.html,JR,RB,,Navy,2022
Jayden Umbarger,jayden-umbarger-1,/cfb/players/jayden-umbarger-1.html,SR,WR,"16 Rec, 265 Yds, 16.6 Avg",Navy,2022
Nathan Kent,nathan-kent-1,/cfb/players/nathan-kent-1.html,SO,WR,"1 Rec, 32 Yds, 32.0 Avg",Navy,2022
Mark Walker,mark-walker-5,/cfb/players/mark-walker-5.html,SR,WR,"13 Rec, 242 Yds, 18.6 Avg",Navy,2022
Kroy Myers,kroy-myers-1,/cfb/players/kroy-myers-1.html,JR,WR,"1 Rec, 12 Yds, 12.0 Avg",Navy,2022
John Amell,john-amell-1,/cfb/players/john-amell-1.html,SR,WR,,Navy,2022
Jaxson Campbell,jaxson-campbell-1,/cfb/players/jaxson-campbell-1.html,SO,WR,,Navy,2022
Akalea Kapono,akalea-kapono-2,/cfb/players/akalea-kapono-2.html,SR,WR,,Navy,2022
Zachary Kuhlman,zachary-kuhlman-1,/cfb/players/zachary-kuhlman-1.html,SR,WR,,Navy,2022
Michael Naze,michael-naze-1,/cfb/players/michael-naze-1.html,SR,WR,,Navy,2022
Nazir Rogers,nazir-rogers-1,/cfb/players/nazir-rogers-1.html,JR,WR,,Navy,2022
Regis Velez,regis-velez-1,/cfb/players/regis-velez-1.html,JR,WR,,Navy,2022
Camari Williams,camari-williams-1,/cfb/players/camari-williams-1.html,SR,WR,,Navy,2022
Gracen Bell,gracen-bell-1,/cfb/players/gracen-bell-1.html,SO,WR,,Navy,2022
Jackson Boyer,jackson-boyer-3,/cfb/players/jackson-boyer-3.html,SR,WR,,Navy,2022
Donovan Draper,donovan-draper-1,/cfb/players/donovan-draper-1.html,SO,WR,,Navy,2022
Cody Howard,cody-howard-1,/cfb/players/cody-howard-1.html,SO,WR,,Navy,2022
Christian Hutchinson,christian-hutchinson-1,/cfb/players/christian-hutchinson-1.html,SR,WR,,Navy,2022
