Player,Player_ID,Player_Link,class,pos,summary,School,Year
Casey Thompson,casey-thompson-1,/cfb/players/casey-thompson-1.html,SR,QB,"173 Cmp, 274 Att, 2407 Yds, 17 TD",Nebraska,2022
Chubba Purdy,chubba-purdy-1,/cfb/players/chubba-purdy-1.html,SO,QB,"22 Cmp, 48 Att, 147 Yds, 0 TD",Nebraska,2022
Logan Smothers,logan-smothers-1,/cfb/players/logan-smothers-1.html,JR,QB,"10 Cmp, 18 Att, 96 Yds, 0 TD",Nebraska,2022
Jarrett Synek,jarrett-synek-1,/cfb/players/jarrett-synek-1.html,SO,QB,,Nebraska,2022
Heinrich Haarberg,heinrich-haarberg-1,/cfb/players/heinrich-haarberg-1.html,SO,QB,,Nebraska,2022
Cooper Hausmann,cooper-hausmann-1,/cfb/players/cooper-hausmann-1.html,SO,QB,,Nebraska,2022
Matt Masker,matt-masker-1,/cfb/players/matt-masker-1.html,SR,QB,,Nebraska,2022
Mikey Pauley,mikey-pauley-1,/cfb/players/mikey-pauley-1.html,SO,QB,,Nebraska,2022
Richard Torres,richard-torres-2,/cfb/players/richard-torres-2.html,SO,QB,,Nebraska,2022
Anthony Grant,anthony-grant-1,/cfb/players/anthony-grant-1.html,SR,RB,"218 Att, 915 Yds, 4.2 Avg",Nebraska,2022
Ajay Allen,ajay-allen-1,/cfb/players/ajay-allen-1.html,SO,RB,"33 Att, 190 Yds, 5.8 Avg",Nebraska,2022
Gabe Ervin Jr.,gabe-ervin-jr-1,/cfb/players/gabe-ervin-jr-1.html,SO,RB,"20 Att, 94 Yds, 4.7 Avg",Nebraska,2022
Jaquez Yant,jaquez-yant-1,/cfb/players/jaquez-yant-1.html,JR,RB,"20 Att, 56 Yds, 2.8 Avg",Nebraska,2022
Rahmir Johnson,rahmir-johnson-1,/cfb/players/rahmir-johnson-1.html,JR,RB,"19 Att, 85 Yds, 4.5 Avg",Nebraska,2022
Cooper Jewett,cooper-jewett-1,/cfb/players/cooper-jewett-1.html,JR,RB,"2 Att, 6 Yds, 3.0 Avg",Nebraska,2022
Emmett Johnson,emmett-johnson-2,/cfb/players/emmett-johnson-2.html,SO,RB,,Nebraska,2022
Zach Weinmaster,zach-weinmaster-1,/cfb/players/zach-weinmaster-1.html,JR,RB,,Nebraska,2022
Isaiah Harris,isaiah-harris-4,/cfb/players/isaiah-harris-4.html,SO,RB,,Nebraska,2022
Trevin Luben,trevin-luben-1,/cfb/players/trevin-luben-1.html,SO,RB,,Nebraska,2022
Beau Psencik,beau-psencik-1,/cfb/players/beau-psencik-1.html,SO,RB,,Nebraska,2022
Matthew Schuster,matthew-schuster-1,/cfb/players/matthew-schuster-1.html,SO,RB,,Nebraska,2022
Aiden Young,aiden-young-1,/cfb/players/aiden-young-1.html,SO,RB,,Nebraska,2022
Trey Palmer,trey-palmer-1,/cfb/players/trey-palmer-1.html,SR,WR,"71 Rec, 1043 Yds, 14.7 Avg",Nebraska,2022
