Player,Player_ID,Player_Link,class,pos,summary,School,Year
Trae Hall,trae-hall-1,/cfb/players/trae-hall-1.html,SO,QB,"53 Cmp, 101 Att, 518 Yds, 0 TD",New Mexico,2020
Tevaka Tuioti,tevaka-tuioti-1,/cfb/players/tevaka-tuioti-1.html,JR,QB,"37 Cmp, 66 Att, 475 Yds, 4 TD",New Mexico,2020
Isaiah Chavez,isaiah-chavez-1,/cfb/players/isaiah-chavez-1.html,FR,QB,"19 Cmp, 28 Att, 251 Yds, 2 TD",New Mexico,2020
Connor Genal,connor-genal-1,/cfb/players/connor-genal-1.html,FR,QB,"11 Cmp, 18 Att, 98 Yds, 0 TD",New Mexico,2020
Brandt Hughes,brandt-hughes-1,/cfb/players/brandt-hughes-1.html,JR,QB,,New Mexico,2020
Bryson Carroll,bryson-carroll-1,/cfb/players/bryson-carroll-1.html,JR,RB,"25 Att, 107 Yds, 4.3 Avg",New Mexico,2020
Bobby Cole,bobby-cole-3,/cfb/players/bobby-cole-3.html,JR,RB,"97 Att, 548 Yds, 5.6 Avg",New Mexico,2020
Nathaniel Jones,nathaniel-jones-1,/cfb/players/nathaniel-jones-1.html,FR,RB,"49 Att, 232 Yds, 4.7 Avg",New Mexico,2020
Daevon Vigilant,daevon-vigilant-1,/cfb/players/daevon-vigilant-1.html,JR,RB,"15 Att, 65 Yds, 4.3 Avg",New Mexico,2020
Chad Alexander,chad-alexander-4,/cfb/players/chad-alexander-4.html,FR,RB,"5 Rec, 10 Yds, 2.0 Avg",New Mexico,2020
Josh Foley,josh-foley-1,/cfb/players/josh-foley-1.html,SO,RB,,New Mexico,2020
Isaac Chavez,isaac-chavez-1,/cfb/players/isaac-chavez-1.html,FR,RB,,New Mexico,2020
Kentrail Moran,kentrail-moran-1,/cfb/players/kentrail-moran-1.html,JR,RB,,New Mexico,2020
Kendal Taylor,kendal-taylor-1,/cfb/players/kendal-taylor-1.html,FR,RB,,New Mexico,2020
Emmanuel Logan-Greene,emmanuel-logan-greene-1,/cfb/players/emmanuel-logan-greene-1.html,SR,WR,"30 Rec, 277 Yds, 9.2 Avg",New Mexico,2020
