Player,Player_ID,Player_Link,class,pos,summary,School,Year
Parker Awad,parker-awad-1,/cfb/players/parker-awad-1.html,SO,QB,"74 Cmp, 160 Att, 1079 Yds, 7 TD",New Mexico State,2024
Santino Marucci,santino-marucci-1,/cfb/players/santino-marucci-1.html,JR,QB,"49 Cmp, 112 Att, 519 Yds, 3 TD",New Mexico State,2024
Brandon Nunez,brandon-nunez-1,/cfb/players/brandon-nunez-1.html,SR,QB,"12 Cmp, 30 Att, 89 Yds, 2 TD",New Mexico State,2024
Deuce Hogan,deuce-hogan-1,/cfb/players/deuce-hogan-1.html,SR,QB,"6 Cmp, 18 Att, 31 Yds, 0 TD",New Mexico State,2024
Paul Cieremans,paul-cieremans-1,/cfb/players/paul-cieremans-1.html,FR,QB,,New Mexico State,2024
Jeff Davison,jeff-davison-1,/cfb/players/jeff-davison-1.html,JR,QB,,New Mexico State,2024
Jake McNamara,jake-mcnamara-1,/cfb/players/jake-mcnamara-1.html,SO,QB,,New Mexico State,2024
Mike Washington,mike-washington-5,/cfb/players/mike-washington-5.html,JR,RB,"157 Att, 725 Yds, 4.6 Avg",New Mexico State,2024
Seth McGowan,seth-mcgowan-1,/cfb/players/seth-mcgowan-1.html,JR,RB,"152 Att, 823 Yds, 5.4 Avg",New Mexico State,2024
Timothy Gans,timothy-gans-1,/cfb/players/timothy-gans-1.html,JR,RB,"16 Att, 62 Yds, 3.9 Avg",New Mexico State,2024
Ahmonte Watkins,ahmonte-watkins-1,/cfb/players/ahmonte-watkins-1.html,JR,RB,"16 Att, 66 Yds, 4.1 Avg",New Mexico State,2024
Larenzo McMillan,larenzo-mcmillan-1,/cfb/players/larenzo-mcmillan-1.html,JR,RB,"7 Att, 111 Yds, 15.9 Avg",New Mexico State,2024
Isaiah Rudison,isaiah-rudison-1,/cfb/players/isaiah-rudison-1.html,SO,RB,"2 Rec, 26 Yds, 13.0 Avg",New Mexico State,2024
Dailan Goodman,dailan-goodman-1,/cfb/players/dailan-goodman-1.html,FR,RB,,New Mexico State,2024
David Barela,david-barela-2,/cfb/players/david-barela-2.html,FR,RB,,New Mexico State,2024
Roscoe Burton,roscoe-burton-1,/cfb/players/roscoe-burton-1.html,FR,RB,,New Mexico State,2024
Noah Tripplett,noah-tripplett-1,/cfb/players/noah-tripplett-1.html,FR,RB,,New Mexico State,2024
PJ Johnson III,pj-johnson-iii-1,/cfb/players/pj-johnson-iii-1.html,JR,WR,"19 Rec, 346 Yds, 18.2 Avg",New Mexico State,2024
TJ Pride,tj-pride-1,/cfb/players/tj-pride-1.html,FR,WR,"34 Rec, 374 Yds, 11.0 Avg",New Mexico State,2024
Jordan Smith,jordan-smith-11,/cfb/players/jordan-smith-11.html,SR,WR,"8 Rec, 110 Yds, 13.8 Avg",New Mexico State,2024
Donovan Faupel,donovan-faupel-1,/cfb/players/donovan-faupel-1.html,SO,WR,"3 Rec, 48 Yds, 16.0 Avg",New Mexico State,2024
Kordell David,kordell-david-1,/cfb/players/kordell-david-1.html,SR,WR,"18 Rec, 191 Yds, 10.6 Avg",New Mexico State,2024
Latrell Neville,latrell-neville-1,/cfb/players/latrell-neville-1.html,JR,WR,"4 Rec, 20 Yds, 5.0 Avg",New Mexico State,2024
Jahrique Lowe,jahrique-lowe-1,/cfb/players/jahrique-lowe-1.html,JR,WR,"1 Rec, 13 Yds, 13.0 Avg",New Mexico State,2024
Allen Ortiz,allen-ortiz-1,/cfb/players/allen-ortiz-1.html,JR,WR,"1 Rec, 12 Yds, 12.0 Avg",New Mexico State,2024
Ethan Singleton,ethan-singleton-1,/cfb/players/ethan-singleton-1.html,JR,WR,,New Mexico State,2024
