Player,Player_ID,Player_Link,class,pos,summary,School,Year
Sam Howell,sam-howell-1,/cfb/players/sam-howell-1.html,SO,QB,"237 Cmp, 348 Att, 3586 Yds, 30 TD",North Carolina,2020
Jacolby Criswell,jacolby-criswell-1,/cfb/players/jacolby-criswell-1.html,FR,QB,"3 Cmp, 4 Att, 16 Yds, 0 TD",North Carolina,2020
Jace Ruder,jace-ruder-1,/cfb/players/jace-ruder-1.html,SO,QB,"2 Cmp, 3 Att, 11 Yds, 0 TD",North Carolina,2020
Jefferson Boaz,jefferson-boaz-1,/cfb/players/jefferson-boaz-1.html,FR,QB,"1 Cmp, 1 Att, 3 Yds, 0 TD",North Carolina,2020
Vincent Amendola,vincent-amendola-1,/cfb/players/vincent-amendola-1.html,FR,QB,,North Carolina,2020
Javonte Williams,javonte-williams-1,/cfb/players/javonte-williams-1.html,JR,RB,"157 Att, 1140 Yds, 7.3 Avg",North Carolina,2020
Michael Carter,michael-carter-5,/cfb/players/michael-carter-5.html,SR,RB,"156 Att, 1245 Yds, 8.0 Avg",North Carolina,2020
British Brooks,british-brooks-1,/cfb/players/british-brooks-1.html,JR,RB,"24 Att, 99 Yds, 4.1 Avg",North Carolina,2020
Josh Henderson,josh-henderson-2,/cfb/players/josh-henderson-2.html,SO,RB,"18 Att, 61 Yds, 3.4 Avg",North Carolina,2020
D.J. Jones,dj-jones-6,/cfb/players/dj-jones-6.html,FR,RB,"11 Att, 65 Yds, 5.9 Avg",North Carolina,2020
Elijah Green,elijah-green-1,/cfb/players/elijah-green-1.html,FR,RB,"10 Att, 55 Yds, 5.5 Avg",North Carolina,2020
Rontavius Groves,rontavius-groves-1,/cfb/players/rontavius-groves-1.html,JR,WR,"4 Rec, 41 Yds, 10.3 Avg",North Carolina,2020
Dazz Newsome,dazz-newsome-1,/cfb/players/dazz-newsome-1.html,SR,WR,"54 Rec, 684 Yds, 12.7 Avg",North Carolina,2020
Josh Downs,josh-downs-2,/cfb/players/josh-downs-2.html,FR,WR,"7 Rec, 119 Yds, 17.0 Avg",North Carolina,2020
Dyami Brown,dyami-brown-1,/cfb/players/dyami-brown-1.html,JR,WR,"55 Rec, 1099 Yds, 20.0 Avg",North Carolina,2020
Khafre Brown,khafre-brown-1,/cfb/players/khafre-brown-1.html,FR,WR,"15 Rec, 337 Yds, 22.5 Avg",North Carolina,2020
Emery Simmons,emery-simmons-1,/cfb/players/emery-simmons-1.html,SO,WR,"15 Rec, 201 Yds, 13.4 Avg",North Carolina,2020
Beau Corrales,beau-corrales-1,/cfb/players/beau-corrales-1.html,SR,WR,"13 Rec, 238 Yds, 18.3 Avg",North Carolina,2020
Antoine Green,antoine-green-1,/cfb/players/antoine-green-1.html,JR,WR,"4 Rec, 38 Yds, 9.5 Avg",North Carolina,2020
Austyn Chestnut,austyn-chestnut-1,/cfb/players/austyn-chestnut-1.html,JR,WR,"1 Rec, 3 Yds, 3.0 Avg",North Carolina,2020
Carson Burgess,carson-burgess-1,/cfb/players/carson-burgess-1.html,SO,WR,,North Carolina,2020
Austin Chrismon,austin-chrismon-1,/cfb/players/austin-chrismon-1.html,JR,WR,,North Carolina,2020
Tylee Craft,tylee-craft-1,/cfb/players/tylee-craft-1.html,FR,WR,,North Carolina,2020
