Player,Player_ID,Player_Link,class,pos,summary,School,Year
Mason Fine,mason-fine-1,/cfb/players/mason-fine-1.html,SR,QB,"257 Cmp, 414 Att, 3088 Yds, 29 TD",North Texas,2019
Jason Bean,jason-bean-1,/cfb/players/jason-bean-1.html,FR,QB,"22 Cmp, 35 Att, 176 Yds, 3 TD",North Texas,2019
Austin Aune,austin-aune-1,/cfb/players/austin-aune-1.html,FR,QB,"4 Cmp, 5 Att, 136 Yds, 1 TD",North Texas,2019
Cole Johnson,cole-johnson-4,/cfb/players/cole-johnson-4.html,FR,QB,,North Texas,2019
Will Kuehne,will-kuehne-1,/cfb/players/will-kuehne-1.html,FR,QB,,North Texas,2019
Kason Martin,kason-martin-1,/cfb/players/kason-martin-1.html,FR,QB,,North Texas,2019
Tre Siggers,tre-siggers-1,/cfb/players/tre-siggers-1.html,SO,RB,"152 Att, 853 Yds, 5.6 Avg",North Texas,2019
Deandre Torrey,deandre-torrey-1,/cfb/players/deandre-torrey-1.html,JR,RB,"73 Att, 380 Yds, 5.2 Avg",North Texas,2019
Loren Easly,loren-easly-1,/cfb/players/loren-easly-1.html,SR,RB,"55 Att, 243 Yds, 4.4 Avg",North Texas,2019
Nic Smith,nic-smith-1,/cfb/players/nic-smith-1.html,JR,RB,"33 Att, 107 Yds, 3.2 Avg",North Texas,2019
Evan Johnson,evan-johnson-1,/cfb/players/evan-johnson-1.html,JR,RB,"5 Att, 20 Yds, 4.0 Avg",North Texas,2019
Oscar Adaway III,oscar-adaway-iii-1,/cfb/players/oscar-adaway-iii-1.html,FR,RB,"4 Att, 42 Yds, 10.5 Avg",North Texas,2019
KJ Williams,kj-williams-1,/cfb/players/kj-williams-1.html,FR,RB,,North Texas,2019
Jaelon Darden,jaelon-darden-1,/cfb/players/jaelon-darden-1.html,JR,WR,"76 Rec, 736 Yds, 9.7 Avg",North Texas,2019
Michael Lawrence,michael-lawrence-1,/cfb/players/michael-lawrence-1.html,SR,WR,"48 Rec, 661 Yds, 13.8 Avg",North Texas,2019
Jyaire Shorter,jyaire-shorter-1,/cfb/players/jyaire-shorter-1.html,FR,WR,"24 Rec, 473 Yds, 19.7 Avg",North Texas,2019
