Player,Player_ID,Player_Link,class,pos,summary,School,Year
Rocky Lombardi,rocky-lombardi-1,/cfb/players/rocky-lombardi-1.html,JR,QB,"200 Cmp, 343 Att, 2597 Yds, 15 TD",Northern Illinois,2021
Ethan Hampton,ethan-hampton-1,/cfb/players/ethan-hampton-1.html,FR,QB,"4 Cmp, 10 Att, 23 Yds, 0 TD",Northern Illinois,2021
Dustin Fletcher,dustin-fletcher-1,/cfb/players/dustin-fletcher-1.html,FR,QB,,Northern Illinois,2021
Jeffrey Lomax,jeffrey-lomax-1,/cfb/players/jeffrey-lomax-1.html,FR,QB,,Northern Illinois,2021
Ryan Yost,ryan-yost-1,/cfb/players/ryan-yost-1.html,SO,QB,,Northern Illinois,2021
Clint Ratkovich,clint-ratkovich-1,/cfb/players/clint-ratkovich-1.html,SR,RB,"105 Att, 461 Yds, 4.4 Avg",Northern Illinois,2021
Jevyon Ducker,jevyon-ducker-1,/cfb/players/jevyon-ducker-1.html,FR,RB,"218 Att, 1184 Yds, 5.4 Avg",Northern Illinois,2021
Harrison Waylee,harrison-waylee-1,/cfb/players/harrison-waylee-1.html,FR,RB,"101 Att, 574 Yds, 5.7 Avg",Northern Illinois,2021
Antario Brown,antario-brown-1,/cfb/players/antario-brown-1.html,FR,RB,"81 Att, 538 Yds, 6.6 Avg",Northern Illinois,2021
Mason Blakemore,mason-blakemore-1,/cfb/players/mason-blakemore-1.html,FR,RB,"17 Att, 67 Yds, 3.9 Avg",Northern Illinois,2021
Erin Collins,erin-collins-2,/cfb/players/erin-collins-2.html,JR,RB,"6 Att, 10 Yds, 1.7 Avg",Northern Illinois,2021
Braxton Chapman,braxton-chapman-1,/cfb/players/braxton-chapman-1.html,JR,RB,,Northern Illinois,2021
Julius Bolden,julius-bolden-1,/cfb/players/julius-bolden-1.html,FR,RB,,Northern Illinois,2021
Tajheem Lawson,tajheem-lawson-1,/cfb/players/tajheem-lawson-1.html,FR,RB,,Northern Illinois,2021
Trayvon Rudolph,trayvon-rudolph-1,/cfb/players/trayvon-rudolph-1.html,FR,WR,"51 Rec, 892 Yds, 17.5 Avg",Northern Illinois,2021
Tyrice Richie,tyrice-richie-1,/cfb/players/tyrice-richie-1.html,SR,WR,"44 Rec, 540 Yds, 12.3 Avg",Northern Illinois,2021
Cole Tucker,cole-tucker-1,/cfb/players/cole-tucker-1.html,JR,WR,"41 Rec, 575 Yds, 14.0 Avg",Northern Illinois,2021
Messiah Travis,messiah-travis-1,/cfb/players/messiah-travis-1.html,FR,WR,"13 Rec, 165 Yds, 12.7 Avg",Northern Illinois,2021
Mohamed Toure,mohamed-toure-2,/cfb/players/mohamed-toure-2.html,FR,WR,"4 Rec, 34 Yds, 8.5 Avg",Northern Illinois,2021
Billy Dozier,billy-dozier-1,/cfb/players/billy-dozier-1.html,FR,WR,"2 Rec, 4 Yds, 2.0 Avg",Northern Illinois,2021
Fabian McCray,fabian-mccray-1,/cfb/players/fabian-mccray-1.html,FR,WR,"2 Rec, 14 Yds, 7.0 Avg",Northern Illinois,2021
Tyler Brueckner,tyler-brueckner-1,/cfb/players/tyler-brueckner-1.html,FR,WR,,Northern Illinois,2021
Muhammad Jammeh,muhammad-jammeh-1,/cfb/players/muhammad-jammeh-1.html,FR,WR,,Northern Illinois,2021
Trey Urwiler,trey-urwiler-1,/cfb/players/trey-urwiler-1.html,FR,WR,,Northern Illinois,2021
Isaiah Bragg,isaiah-bragg-1,/cfb/players/isaiah-bragg-1.html,FR,WR,,Northern Illinois,2021
Alex Crawford,alex-crawford-2,/cfb/players/alex-crawford-2.html,FR,WR,,Northern Illinois,2021
Jeremiah Howard,jeremiah-howard-2,/cfb/players/jeremiah-howard-2.html,FR,WR,,Northern Illinois,2021
Mason Pierre-Antione,mason-pierre-antione-1,/cfb/players/mason-pierre-antione-1.html,FR,WR,,Northern Illinois,2021
Drew Cassens,drew-cassens-1,/cfb/players/drew-cassens-1.html,FR,TE,,Northern Illinois,2021
Miles Joiner,miles-joiner-1,/cfb/players/miles-joiner-1.html,JR,TE,"16 Rec, 133 Yds, 8.3 Avg",Northern Illinois,2021
Tristen Tewes,tristen-tewes-1,/cfb/players/tristen-tewes-1.html,FR,TE,"10 Rec, 101 Yds, 10.1 Avg",Northern Illinois,2021
Liam Soraghan,liam-soraghan-1,/cfb/players/liam-soraghan-1.html,JR,TE,"4 Rec, 24 Yds, 6.0 Avg",Northern Illinois,2021
Brett Bostad,brett-bostad-1,/cfb/players/brett-bostad-1.html,SO,TE,,Northern Illinois,2021
George Gumbs,george-gumbs-1,/cfb/players/george-gumbs-1.html,FR,TE,,Northern Illinois,2021
Blake Kosin,blake-kosin-1,/cfb/players/blake-kosin-1.html,FR,TE,,Northern Illinois,2021
Luke Mallette,luke-mallette-1,/cfb/players/luke-mallette-1.html,SR,TE,,Northern Illinois,2021
Jake Novotny,jake-novotny-1,/cfb/players/jake-novotny-1.html,FR,TE,,Northern Illinois,2021
Izuchkwu Ozoh,izuchkwu-ozoh-1,/cfb/players/izuchkwu-ozoh-1.html,FR,TE,,Northern Illinois,2021
Nolan Potter,nolan-potter-1,/cfb/players/nolan-potter-1.html,SO,OL,,Northern Illinois,2021
Logan Zschernitz,logan-zschernitz-1,/cfb/players/logan-zschernitz-1.html,FR,OL,,Northern Illinois,2021
Evan Buss,evan-buss-1,/cfb/players/evan-buss-1.html,FR,OL,,Northern Illinois,2021
Brendan Carr,brendan-carr-2,/cfb/players/brendan-carr-2.html,FR,OL,,Northern Illinois,2021
John Champe,john-champe-1,/cfb/players/john-champe-1.html,FR,OL,,Northern Illinois,2021
Marques Cox,marques-cox-1,/cfb/players/marques-cox-1.html,SO,OL,,Northern Illinois,2021
Leif Engstrand,leif-engstrand-1,/cfb/players/leif-engstrand-1.html,FR,OL,,Northern Illinois,2021
Marko Gbedo,marko-gbedo-1,/cfb/players/marko-gbedo-1.html,FR,OL,,Northern Illinois,2021
J.J. Lippe,jj-lippe-1,/cfb/players/jj-lippe-1.html,FR,OL,,Northern Illinois,2021
Brandon MacKinnon,brandon-mackinnon-1,/cfb/players/brandon-mackinnon-1.html,FR,OL,,Northern Illinois,2021
Pete Nygra,pete-nygra-1,/cfb/players/pete-nygra-1.html,FR,OL,,Northern Illinois,2021
Brayden Patton,brayden-patton-1,/cfb/players/brayden-patton-1.html,SR,OL,,Northern Illinois,2021
Luke Pinnick,luke-pinnick-1,/cfb/players/luke-pinnick-1.html,FR,OL,,Northern Illinois,2021
Tyler Pitcel,tyler-pitcel-1,/cfb/players/tyler-pitcel-1.html,FR,OL,,Northern Illinois,2021
Matt Schooley,matt-schooley-1,/cfb/players/matt-schooley-1.html,FR,OL,,Northern Illinois,2021
Seth Thompson,seth-thompson-2,/cfb/players/seth-thompson-2.html,FR,OL,,Northern Illinois,2021
Anthony Vacula,anthony-vacula-1,/cfb/players/anthony-vacula-1.html,FR,OL,,Northern Illinois,2021
