Player,Player_ID,Player_Link,class,pos,summary,School,Year
Clayton Thorson,clayton-thorson-1,/cfb/players/clayton-thorson-1.html,SO,QB,"280 Cmp, 478 Att, 3182 Yds, 22 TD",Northwestern,2016
Matt Alviti,matt-alviti-1,/cfb/players/matt-alviti-1.html,JR,QB,"1 Cmp, 1 Att, 2 Yds, 0 TD",Northwestern,2016
Ifeadi Odenigbo,ifeadi-odenigbo-1,/cfb/players/ifeadi-odenigbo-1.html,JR,QB,,Northwestern,2016
Dan Kubiuk,dan-kubiuk-1,/cfb/players/dan-kubiuk-1.html,SO,QB,,Northwestern,2016
Justin Jackson,justin-jackson-5,/cfb/players/justin-jackson-5.html,JR,RB,"298 Att, 1524 Yds, 5.1 Avg",Northwestern,2016
John Moten IV,john-moten-iv-1,/cfb/players/john-moten-iv-1.html,FR,RB,"57 Att, 340 Yds, 6.0 Avg",Northwestern,2016
Auston Anderson,auston-anderson-1,/cfb/players/auston-anderson-1.html,SO,RB,"7 Att, 22 Yds, 3.1 Avg",Northwestern,2016
Corey Acker,corey-acker-1,/cfb/players/corey-acker-1.html,JR,RB,"4 Att, -2 Yds, -0.5 Avg",Northwestern,2016
Warren Long,warren-long-1,/cfb/players/warren-long-1.html,SR,RB,"1 Att, 9 Yds, 9.0 Avg",Northwestern,2016
Andrew Scanlan,andrew-scanlan-1,/cfb/players/andrew-scanlan-1.html,SR,WR,"29 Rec, 331 Yds, 11.4 Avg",Northwestern,2016
Solomon Vault,solomon-vault-1,/cfb/players/solomon-vault-1.html,JR,WR,"15 Rec, 164 Yds, 10.9 Avg",Northwestern,2016
Jalani Roberts,jalani-roberts-1,/cfb/players/jalani-roberts-1.html,SO,WR,,Northwestern,2016
Austin Carr,austin-carr-1,/cfb/players/austin-carr-1.html,SR,WR,"90 Rec, 1247 Yds, 13.9 Avg",Northwestern,2016
Flynn Nagel,flynn-nagel-1,/cfb/players/flynn-nagel-1.html,SO,WR,"40 Rec, 447 Yds, 11.2 Avg",Northwestern,2016
Macan Wilson,macan-wilson-1,/cfb/players/macan-wilson-1.html,JR,WR,"22 Rec, 306 Yds, 13.9 Avg",Northwestern,2016
Ben Skowronek,ben-skowronek-1,/cfb/players/ben-skowronek-1.html,FR,WR,"8 Rec, 70 Yds, 8.8 Avg",Northwestern,2016
Cameron Green,cameron-green-1,/cfb/players/cameron-green-1.html,FR,WR,"4 Rec, 31 Yds, 7.8 Avg",Northwestern,2016
Charlie Fessler,charlie-fessler-1,/cfb/players/charlie-fessler-1.html,FR,WR,"1 Rec, 7 Yds, 7.0 Avg",Northwestern,2016
Marcus McShepard,marcus-mcsheppard-1,/cfb/players/marcus-mcsheppard-1.html,JR,WR,,Northwestern,2016
Steven Reese,steven-reese-1,/cfb/players/steven-reese-1.html,FR,WR,,Northwestern,2016
J.B. Butler,jb-butler-1,/cfb/players/jb-butler-1.html,SO,OL,,Northwestern,2016
Tommy Doles,tommy-doles-1,/cfb/players/tommy-doles-1.html,SO,OL,,Northwestern,2016
Jack Mitchell,jack-mitchell-2,/cfb/players/jack-mitchell-2.html,SR,K,,Northwestern,2016
Joe Gaziano,joe-gaziano-1,/cfb/players/joe-gaziano-1.html,FR,DL,,Northwestern,2016
Trent Goens,trent-goens-1,/cfb/players/trent-goens-1.html,FR,DL,,Northwestern,2016
Greg Kuhar,greg-kuhar-1,/cfb/players/greg-kuhar-1.html,SR,DL,,Northwestern,2016
Tyler Lancaster,tyler-lancaster-1,/cfb/players/tyler-lancaster-1.html,JR,DL,,Northwestern,2016
Alex Miller,alex-miller-1,/cfb/players/alex-miller-1.html,FR,DL,,Northwestern,2016
C.J. Robbins,cj-robbins-1,/cfb/players/cj-robbins-1.html,SR,DL,,Northwestern,2016
Jordan Thompson,jordan-thompson-4,/cfb/players/jordan-thompson-4.html,SO,DL,,Northwestern,2016
Fred Wyatt,fred-wyatt-1,/cfb/players/fred-wyatt-1.html,SO,DL,,Northwestern,2016
Tom Hruby,tom-hruby-2,/cfb/players/tom-hruby-2.html,SR,LB,,Northwestern,2016
Tommy Vitale,tommy-vitale-1,/cfb/players/tommy-vitale-1.html,SO,LB,,Northwestern,2016
Nathan Fox,nathan-fox-1,/cfb/players/nathan-fox-1.html,FR,LB,,Northwestern,2016
Nate Hall,nate-hall-2,/cfb/players/nate-hall-2.html,SO,LB,,Northwestern,2016
Joseph Jones,joseph-jones-1,/cfb/players/joseph-jones-1.html,SR,LB,,Northwestern,2016
Jaylen Prater,jaylen-prater-1,/cfb/players/jaylen-prater-1.html,SR,LB,,Northwestern,2016
Cameron Queiro,cameron-queiro-1,/cfb/players/cameron-queiro-1.html,SO,LB,,Northwestern,2016
Josh Roberts,josh-roberts-1,/cfb/players/josh-roberts-1.html,JR,LB,,Northwestern,2016
Anthony Walker,anthony-walker-1,/cfb/players/anthony-walker-1.html,JR,LB,,Northwestern,2016
Brett Walsh,brett-walsh-1,/cfb/players/brett-walsh-1.html,JR,LB,,Northwestern,2016
Joe Bergin,joe-bergin-2,/cfb/players/joe-bergin-2.html,FR,DB,,Northwestern,2016
Roderick Campbell,roderick-campbell-1,/cfb/players/roderick-campbell-1.html,FR,DB,,Northwestern,2016
