Player,Player_ID,Player_Link,class,pos,summary,School,Year
Drew Pyne,drew-pyne-1,/cfb/players/drew-pyne-1.html,JR,QB,"164 Cmp, 254 Att, 2021 Yds, 22 TD",Notre Dame,2022
Tyler Buchner,tyler-buchner-1,/cfb/players/tyler-buchner-1.html,JR,QB,"46 Cmp, 83 Att, 651 Yds, 3 TD",Notre Dame,2022
Steve Angeli,steve-angeli-1,/cfb/players/steve-angeli-1.html,SO,QB,,Notre Dame,2022
Ron Powlus III,ron-powlus-iii-1,/cfb/players/ron-powlus-iii-1.html,SO,QB,,Notre Dame,2022
Logan Diggs,logan-diggs-1,/cfb/players/logan-diggs-1.html,JR,RB,"165 Att, 822 Yds, 5.0 Avg",Notre Dame,2022
Audric Estime,audric-estime-1,/cfb/players/audric-estime-1.html,JR,RB,"156 Att, 920 Yds, 5.9 Avg",Notre Dame,2022
Chris Tyree,chris-tyree-1,/cfb/players/chris-tyree-1.html,SR,RB,"100 Att, 444 Yds, 4.4 Avg",Notre Dame,2022
Gi'Bran Payne,gibran-payne-1,/cfb/players/gibran-payne-1.html,SO,RB,"2 Att, 5 Yds, 2.5 Avg",Notre Dame,2022
Chris Velotta,chris-velotta-2,/cfb/players/chris-velotta-2.html,SR,RB,,Notre Dame,2022
Sam Assaf,sam-assaf-1,/cfb/players/sam-assaf-1.html,SR,RB,,Notre Dame,2022
Chase Ketterer,chase-ketterer-1,/cfb/players/chase-ketterer-1.html,SR,RB,,Notre Dame,2022
Jadarian Price,jadarian-price-1,/cfb/players/jadarian-price-1.html,SO,RB,,Notre Dame,2022
Lorenzo Styles Jr.,lorenzo-styles-jr-1,/cfb/players/lorenzo-styles-jr-1.html,JR,WR,"30 Rec, 340 Yds, 11.3 Avg",Notre Dame,2022
Braden Lenzy,braden-lenzy-1,/cfb/players/braden-lenzy-1.html,SR,WR,"24 Rec, 309 Yds, 12.9 Avg",Notre Dame,2022
Jayden Thomas,jayden-thomas-1,/cfb/players/jayden-thomas-1.html,SO,WR,"25 Rec, 361 Yds, 14.4 Avg",Notre Dame,2022
Deion Colzie,deion-colzie-1,/cfb/players/deion-colzie-1.html,JR,WR,"9 Rec, 192 Yds, 21.3 Avg",Notre Dame,2022
Matt Salerno,matt-salerno-1,/cfb/players/matt-salerno-1.html,SR,WR,"5 Rec, 62 Yds, 12.4 Avg",Notre Dame,2022
Tobias Merriweather,tobias-merriweather-1,/cfb/players/tobias-merriweather-1.html,SO,WR,"1 Rec, 41 Yds, 41.0 Avg",Notre Dame,2022
Greg Mailey,greg-mailey-1,/cfb/players/greg-mailey-1.html,SR,WR,,Notre Dame,2022
Conor Ratigan,conor-ratigan-1,/cfb/players/conor-ratigan-1.html,SR,WR,,Notre Dame,2022
Joe Wilkins,joe-wilkins-3,/cfb/players/joe-wilkins-3.html,SR,WR,,Notre Dame,2022
Henry Cook,henry-cook-3,/cfb/players/henry-cook-3.html,SR,WR,,Notre Dame,2022
Avery Davis,avery-davis-1,/cfb/players/avery-davis-1.html,SR,WR,,Notre Dame,2022
Chase Dixon,chase-dixon-1,/cfb/players/chase-dixon-1.html,SR,WR,,Notre Dame,2022
Griffin Eifert,griffin-eifert-1,/cfb/players/griffin-eifert-1.html,SR,WR,,Notre Dame,2022
Jack Polian,jack-polian-1,/cfb/players/jack-polian-1.html,JR,WR,,Notre Dame,2022
Leo Scheidler,leo-scheidler-1,/cfb/players/leo-scheidler-1.html,SO,WR,,Notre Dame,2022
Davis Sherwood,davis-sherwood-1,/cfb/players/davis-sherwood-1.html,JR,TE,,Notre Dame,2022
Mitchell Evans,mitchell-evans-2,/cfb/players/mitchell-evans-2.html,JR,TE,"3 Rec, 39 Yds, 13.0 Avg",Notre Dame,2022
Michael Mayer,michael-mayer-1,/cfb/players/michael-mayer-1.html,SR,TE,"67 Rec, 809 Yds, 12.1 Avg",Notre Dame,2022
Kevin Bauman,kevin-bauman-1,/cfb/players/kevin-bauman-1.html,JR,TE,"3 Rec, 44 Yds, 14.7 Avg",Notre Dame,2022
Holden Staes,holden-staes-1,/cfb/players/holden-staes-1.html,SO,TE,"1 Rec, 11 Yds, 11.0 Avg",Notre Dame,2022
Cane Berrong,cane-berrong-1,/cfb/players/cane-berrong-1.html,SO,TE,,Notre Dame,2022
Barret Liebentritt,barret-liebentritt-1,/cfb/players/barret-liebentritt-1.html,JR,TE,,Notre Dame,2022
Eli Raridon,eli-raridon-1,/cfb/players/eli-raridon-1.html,SO,TE,,Notre Dame,2022
Justin Fisher,justin-fisher-1,/cfb/players/justin-fisher-1.html,SO,TE,,Notre Dame,2022
Hakim Sanfo,hakim-sanfo-2,/cfb/players/hakim-sanfo-2.html,SR,TE,,Notre Dame,2022
Charlie Selna,charlie-selna-1,/cfb/players/charlie-selna-1.html,SR,TE,,Notre Dame,2022
Andrew Yanoshak,andrew-yanoshak-2,/cfb/players/andrew-yanoshak-2.html,JR,TE,,Notre Dame,2022
Joe Alt,joe-alt-1,/cfb/players/joe-alt-1.html,JR,OL,,Notre Dame,2022
Tosh Baker,tosh-baker-1,/cfb/players/tosh-baker-1.html,JR,OL,,Notre Dame,2022
Michael Carmody,michael-carmody-1,/cfb/players/michael-carmody-1.html,JR,OL,,Notre Dame,2022
Pat Coogan,pat-coogan-1,/cfb/players/pat-coogan-1.html,SO,OL,,Notre Dame,2022
Zeke Correll,zeke-correll-1,/cfb/players/zeke-correll-1.html,SR,OL,,Notre Dame,2022
Blake Fisher,blake-fisher-1,/cfb/players/blake-fisher-1.html,SO,OL,,Notre Dame,2022
Caleb Johnson,caleb-johnson-5,/cfb/players/caleb-johnson-5.html,SO,OL,,Notre Dame,2022
Andrew Kristofic,andrew-kristofic-1,/cfb/players/andrew-kristofic-1.html,SR,OL,,Notre Dame,2022
Josh Lugg,josh-lugg-1,/cfb/players/josh-lugg-1.html,SR,OL,,Notre Dame,2022
Quinn Murphy,quinn-murphy-1,/cfb/players/quinn-murphy-1.html,SR,OL,,Notre Dame,2022
Jarrett Patterson,jarrett-patterson-1,/cfb/players/jarrett-patterson-1.html,SR,OL,,Notre Dame,2022
Rocco Spindler,rocco-spindler-1,/cfb/players/rocco-spindler-1.html,SO,OL,,Notre Dame,2022
Ty Chan,ty-chan-1,/cfb/players/ty-chan-1.html,SO,OL,,Notre Dame,2022
Ashton Craig,ashton-craig-1,/cfb/players/ashton-craig-1.html,SO,OL,,Notre Dame,2022
Billy Schrauth,billy-schrauth-1,/cfb/players/billy-schrauth-1.html,SO,OL,,Notre Dame,2022
Aamil Wagner,aamil-wagner-1,/cfb/players/aamil-wagner-1.html,SO,OL,,Notre Dame,2022
Brennan Wicks,brennan-wicks-1,/cfb/players/brennan-wicks-1.html,SR,OL,,Notre Dame,2022
Blake Grupe,blake-grupe-1,/cfb/players/blake-grupe-1.html,SR,K,,Notre Dame,2022
Zac Yoakam,zac-yoakam-1,/cfb/players/zac-yoakam-1.html,SO,K,,Notre Dame,2022
Josh Bryan,josh-bryan-2,/cfb/players/josh-bryan-2.html,SO,K,,Notre Dame,2022
Bryce McFerson,bryce-mcferson-1,/cfb/players/bryce-mcferson-1.html,SO,K,,Notre Dame,2022
Chris Salerno,chris-salerno-1,/cfb/players/chris-salerno-1.html,JR,K,,Notre Dame,2022
Jayson Ademilola,jayson-ademilola-1,/cfb/players/jayson-ademilola-1.html,SR,DL,,Notre Dame,2022
Justin Ademilola,justin-ademilola-1,/cfb/players/justin-ademilola-1.html,SR,DL,,Notre Dame,2022
Jordan Botelho,jordan-botelho-1,/cfb/players/jordan-botelho-1.html,SR,DL,,Notre Dame,2022
Howard Cross III,howard-cross-iii-1,/cfb/players/howard-cross-iii-1.html,SR,DL,,Notre Dame,2022
Alexander Ehrensberger,alexander-ehrensberger-1,/cfb/players/alexander-ehrensberger-1.html,JR,DL,,Notre Dame,2022
Osita Ekwonu,osita-ekwonu-1,/cfb/players/osita-ekwonu-1.html,SR,DL,,Notre Dame,2022
Isaiah Foskey,isaiah-foskey-1,/cfb/players/isaiah-foskey-1.html,SR,DL,,Notre Dame,2022
Donovan Hinish,donovan-hinish-1,/cfb/players/donovan-hinish-1.html,SO,DL,,Notre Dame,2022
