Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kurtis Rourke,kurtis-rourke-1,/cfb/players/kurtis-rourke-1.html,SO,QB,"169 Cmp, 258 Att, 1801 Yds, 11 TD",Ohio,2021
Armani Rogers,armani-rogers-1,/cfb/players/armani-rogers-1.html,SR,QB,"29 Cmp, 49 Att, 350 Yds, 0 TD",Ohio,2021
Kadin Beler,kadin-beler-1,/cfb/players/kadin-beler-1.html,FR,QB,,Ohio,2021
CJ Harris,cj-harris-2,/cfb/players/cj-harris-2.html,FR,QB,,Ohio,2021
De'Montre Tuggle,demontre-tuggle-1,/cfb/players/demontre-tuggle-1.html,SR,RB,"138 Att, 804 Yds, 5.8 Avg",Ohio,2021
O'Shaan Allison,oshaan-allison-1,/cfb/players/oshaan-allison-1.html,JR,RB,"82 Att, 317 Yds, 3.9 Avg",Ohio,2021
Jake Neatherton,jake-neatherton-1,/cfb/players/jake-neatherton-1.html,SR,RB,"19 Att, 88 Yds, 4.6 Avg",Ohio,2021
Sieh Bangura,sieh-bangura-1,/cfb/players/sieh-bangura-1.html,FR,RB,"12 Att, 93 Yds, 7.8 Avg",Ohio,2021
Julian Ross,julian-ross-1,/cfb/players/julian-ross-1.html,SR,RB,,Ohio,2021
Nolan McCormick,nolan-mccormick-1,/cfb/players/nolan-mccormick-1.html,FR,RB,,Ohio,2021
Walter Wilbon III,walter-wilbon-iii-1,/cfb/players/walter-wilbon-iii-1.html,SO,RB,,Ohio,2021
Cameron Odom,cameron-odom-1,/cfb/players/cameron-odom-1.html,SR,WR,"29 Rec, 406 Yds, 14.0 Avg",Ohio,2021
Isiah Cox,isiah-cox-1,/cfb/players/isiah-cox-1.html,SR,WR,"30 Rec, 362 Yds, 12.1 Avg",Ohio,2021
Tyler Walton,tyler-walton-1,/cfb/players/tyler-walton-1.html,JR,WR,"32 Rec, 380 Yds, 11.9 Avg",Ohio,2021
Phillip Cole,phillip-cole-1,/cfb/players/phillip-cole-1.html,JR,WR,,Ohio,2021
Miles Cross,miles-cross-1,/cfb/players/miles-cross-1.html,FR,WR,"11 Rec, 124 Yds, 11.3 Avg",Ohio,2021
Jerome Buckner,jerome-buckner-1,/cfb/players/jerome-buckner-1.html,JR,WR,"9 Rec, 109 Yds, 12.1 Avg",Ohio,2021
Chase Cokley,chase-cokley-1,/cfb/players/chase-cokley-1.html,SR,WR,"8 Rec, 71 Yds, 8.9 Avg",Ohio,2021
James Bostic,james-bostic-2,/cfb/players/james-bostic-2.html,SR,WR,"5 Rec, 34 Yds, 6.8 Avg",Ohio,2021
JJ Conner,jj-conner-1,/cfb/players/jj-conner-1.html,SR,WR,"1 Rec, 4 Yds, 4.0 Avg",Ohio,2021
Nigel Drummond II,nigel-drummond-ii-1,/cfb/players/nigel-drummond-ii-1.html,SO,WR,,Ohio,2021
Keegan Wilburn,keegan-wilburn-1,/cfb/players/keegan-wilburn-1.html,SO,WR,,Ohio,2021
Tanner Allton,tanner-allton-1,/cfb/players/tanner-allton-1.html,JR,WR,,Ohio,2021
Shane Bonner,shane-bonner-1,/cfb/players/shane-bonner-1.html,JR,WR,,Ohio,2021
