Player,Player_ID,Player_Link,class,pos,summary,School,Year
Justin Fields,justin-fields-2,/cfb/players/justin-fields-2.html,SO,QB,"238 Cmp, 354 Att, 3273 Yds, 41 TD",Ohio State,2019
Chris Chugunov,chris-chugunov-1,/cfb/players/chris-chugunov-1.html,SO,QB,"26 Cmp, 43 Att, 286 Yds, 6 TD",Ohio State,2019
Gunnar Hoak,gunnar-hoak-1,/cfb/players/gunnar-hoak-1.html,SO,QB,"6 Cmp, 6 Att, 104 Yds, 1 TD",Ohio State,2019
J.P. Andrade,jp-andrade-1,/cfb/players/jp-andrade-1.html,FR,QB,,Ohio State,2019
Jagger Laroe,jagger-laroe-1,/cfb/players/jagger-laroe-1.html,FR,QB,,Ohio State,2019
Daniel Vanatsky,daniel-vanatsky-1,/cfb/players/daniel-vanatsky-1.html,SO,QB,,Ohio State,2019
J.K. Dobbins,jk-dobbins-1,/cfb/players/jk-dobbins-1.html,JR,RB,"301 Att, 2003 Yds, 6.7 Avg",Ohio State,2019
Master Teague,master-teague-1,/cfb/players/master-teague-1.html,FR,RB,"135 Att, 789 Yds, 5.8 Avg",Ohio State,2019
Marcus Crowley,marcus-crowley-1,/cfb/players/marcus-crowley-1.html,FR,RB,"25 Att, 237 Yds, 9.5 Avg",Ohio State,2019
Steele Chambers,steele-chambers-1,/cfb/players/steele-chambers-1.html,FR,RB,"19 Att, 135 Yds, 7.1 Avg",Ohio State,2019
Demario McCall,demario-mccall-1,/cfb/players/demario-mccall-1.html,JR,RB,"18 Att, 122 Yds, 6.8 Avg",Ohio State,2019
Amari McMahon,amari-mcmahon-1,/cfb/players/amari-mcmahon-1.html,JR,RB,"1 Att, 10 Yds, 10.0 Avg",Ohio State,2019
Mitch Rossi,mitch-rossi-1,/cfb/players/mitch-rossi-1.html,JR,RB,"1 Rec, 8 Yds, 8.0 Avg",Ohio State,2019
Xavier Johnson,xavier-johnson-2,/cfb/players/xavier-johnson-2.html,SO,RB,,Ohio State,2019
Robert Cope,robert-cope-1,/cfb/players/robert-cope-1.html,FR,RB,,Ohio State,2019
Chris Olave,chris-olave-1,/cfb/players/chris-olave-1.html,SO,WR,"48 Rec, 840 Yds, 17.5 Avg",Ohio State,2019
K.J. Hill,kj-hill-1,/cfb/players/kj-hill-1.html,SR,WR,"57 Rec, 636 Yds, 11.2 Avg",Ohio State,2019
Binjimen Victor,binjimen-victor-1,/cfb/players/binjimen-victor-1.html,SR,WR,"35 Rec, 573 Yds, 16.4 Avg",Ohio State,2019
Garrett Wilson,garrett-wilson-2,/cfb/players/garrett-wilson-2.html,FR,WR,"30 Rec, 432 Yds, 14.4 Avg",Ohio State,2019
Austin Mack,austin-mack-1,/cfb/players/austin-mack-1.html,SR,WR,"27 Rec, 361 Yds, 13.4 Avg",Ohio State,2019
Jaelen Gill,jaelen-gill-1,/cfb/players/jaelen-gill-1.html,FR,WR,"6 Rec, 51 Yds, 8.5 Avg",Ohio State,2019
Jameson Williams,jameson-williams-1,/cfb/players/jameson-williams-1.html,FR,WR,"6 Rec, 112 Yds, 18.7 Avg",Ohio State,2019
Ellijah Gardiner,ellijah-gardiner-1,/cfb/players/ellijah-gardiner-1.html,SO,WR,"1 Rec, 10 Yds, 10.0 Avg",Ohio State,2019
Jaylen Harris,jaylen-harris-2,/cfb/players/jaylen-harris-2.html,JR,WR,"1 Rec, 5 Yds, 5.0 Avg",Ohio State,2019
Sam Wiglusz,sam-wiglusz-1,/cfb/players/sam-wiglusz-1.html,SO,WR,"1 Rec, 11 Yds, 11.0 Avg",Ohio State,2019
Kamryn Babb,kamryn-babb-1,/cfb/players/kamryn-babb-1.html,FR,WR,,Ohio State,2019
Chris Booker,chris-booker-2,/cfb/players/chris-booker-2.html,JR,WR,,Ohio State,2019
Alec Koch,alec-koch-1,/cfb/players/alec-koch-1.html,FR,WR,,Ohio State,2019
Austin Kutscher,austin-kutscher-1,/cfb/players/austin-kutscher-1.html,SO,WR,,Ohio State,2019
C.J. Saunders,cj-saunders-1,/cfb/players/cj-saunders-1.html,SO,WR,,Ohio State,2019
Jeremy Ruckert,jeremy-ruckert-1,/cfb/players/jeremy-ruckert-1.html,SO,TE,"14 Rec, 142 Yds, 10.1 Avg",Ohio State,2019
Luke Farrell,luke-farrell-1,/cfb/players/luke-farrell-1.html,JR,TE,"7 Rec, 119 Yds, 17.0 Avg",Ohio State,2019
Rashod Berry,rashod-berry-1,/cfb/players/rashod-berry-1.html,SR,TE,"2 Rec, 20 Yds, 10.0 Avg",Ohio State,2019
Jake Hausmann,jake-hausmann-1,/cfb/players/jake-hausmann-1.html,JR,TE,"2 Rec, 13 Yds, 6.5 Avg",Ohio State,2019
Brock Davin,brock-davin-1,/cfb/players/brock-davin-1.html,SR,TE,,Ohio State,2019
Cormontae Hamilton,cormontae-hamilton-1,/cfb/players/cormontae-hamilton-1.html,FR,TE,,Ohio State,2019
Derrick Malone,derrick-malone-1,/cfb/players/derrick-malone-1.html,SR,TE,,Ohio State,2019
Joshua Alabi,joshua-alabi-1,/cfb/players/joshua-alabi-1.html,SR,OL,,Ohio State,2019
Branden Bowen,branden-bowen-1,/cfb/players/branden-bowen-1.html,SR,OL,,Ohio State,2019
Nathan Brock,nathan-brock-1,/cfb/players/nathan-brock-1.html,SR,OL,,Ohio State,2019
Gavin Cupp,gavin-cupp-1,/cfb/players/gavin-cupp-1.html,JR,OL,,Ohio State,2019
Wyatt Davis,wyatt-davis-1,/cfb/players/wyatt-davis-1.html,SO,OL,,Ohio State,2019
Jonah Jackson,jonah-jackson-1,/cfb/players/jonah-jackson-1.html,SO,OL,,Ohio State,2019
Ryan Jacoby,ryan-jacoby-1,/cfb/players/ryan-jacoby-1.html,FR,OL,,Ohio State,2019
Jack Jamieson,jack-jamieson-1,/cfb/players/jack-jamieson-1.html,FR,OL,,Ohio State,2019
Dawand Jones,dawand-jones-1,/cfb/players/dawand-jones-1.html,FR,OL,,Ohio State,2019
Matthew Jones,matthew-jones-2,/cfb/players/matthew-jones-2.html,FR,OL,,Ohio State,2019
Chris Kuhn,chris-kuhn-1,/cfb/players/chris-kuhn-1.html,SO,OL,,Ohio State,2019
Harry Miller,harry-miller-1,/cfb/players/harry-miller-1.html,FR,OL,,Ohio State,2019
Thayer Munford,thayer-munford-1,/cfb/players/thayer-munford-1.html,JR,OL,,Ohio State,2019
Brandon Pahl,brandon-pahl-1,/cfb/players/brandon-pahl-1.html,SR,OL,,Ohio State,2019
Ryan Smith,ryan-smith-12,/cfb/players/ryan-smith-12.html,FR,OL,,Ohio State,2019
Zach Stevenson,zach-stevenson-1,/cfb/players/zach-stevenson-1.html,FR,OL,,Ohio State,2019
Enokk Vimahi,enokk-vimahi-1,/cfb/players/enokk-vimahi-1.html,FR,OL,,Ohio State,2019
Kevin Woidke,kevin-woidke-1,/cfb/players/kevin-woidke-1.html,SR,OL,,Ohio State,2019
Max Wray,max-wray-1,/cfb/players/max-wray-1.html,FR,OL,,Ohio State,2019
Dominic DiMaccio,dominic-dimaccio-1,/cfb/players/dominic-dimaccio-1.html,SO,K,,Ohio State,2019
Blake Haubeil,blake-haubeil-1,/cfb/players/blake-haubeil-1.html,JR,K,,Ohio State,2019
