Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jackson Arnold,jackson-arnold-1,/cfb/players/jackson-arnold-1.html,SO,QB,"154 Cmp, 246 Att, 1421 Yds, 12 TD",Oklahoma,2024
Michael Hawkins Jr.,michael-hawkins-jr-1,/cfb/players/michael-hawkins-jr-1.html,FR,QB,"76 Cmp, 120 Att, 783 Yds, 3 TD",Oklahoma,2024
Casey Thompson,casey-thompson-1,/cfb/players/casey-thompson-1.html,SR,QB,,Oklahoma,2024
Steele Wasel,steele-wasel-1,/cfb/players/steele-wasel-1.html,FR,QB,,Oklahoma,2024
Brendan Zurbrugg,brendan-zurbrugg-1,/cfb/players/brendan-zurbrugg-1.html,FR,QB,,Oklahoma,2024
Taylor Tatum,taylor-tatum-1,/cfb/players/taylor-tatum-1.html,FR,RB,"56 Att, 278 Yds, 5.0 Avg",Oklahoma,2024
Jovantae Barnes,jovantae-barnes-1,/cfb/players/jovantae-barnes-1.html,JR,RB,"122 Att, 577 Yds, 4.7 Avg",Oklahoma,2024
Xavier Robinson,xavier-robinson-2,/cfb/players/xavier-robinson-2.html,FR,RB,"49 Att, 233 Yds, 4.8 Avg",Oklahoma,2024
Gavin Sawchuk,gavin-sawchuk-1,/cfb/players/gavin-sawchuk-1.html,SO,RB,"39 Att, 128 Yds, 3.3 Avg",Oklahoma,2024
Sam Franklin,sam-franklin-2,/cfb/players/sam-franklin-2.html,SO,RB,"18 Att, 132 Yds, 7.3 Avg",Oklahoma,2024
Kalib Hicks,kalib-hicks-1,/cfb/players/kalib-hicks-1.html,FR,RB,"2 Att, 11 Yds, 5.5 Avg",Oklahoma,2024
Andy Bass,andy-bass-1,/cfb/players/andy-bass-1.html,FR,RB,,Oklahoma,2024
Chapman McKown,chapman-mckown-1,/cfb/players/chapman-mckown-1.html,FR,RB,,Oklahoma,2024
Emeka Megwa,emeka-megwa-1,/cfb/players/emeka-megwa-1.html,JR,RB,,Oklahoma,2024
Gabe Sawchuk,gabe-sawchuk-1,/cfb/players/gabe-sawchuk-1.html,FR,RB,,Oklahoma,2024
Brenen Thompson,brenen-thompson-1,/cfb/players/brenen-thompson-1.html,JR,WR,"19 Rec, 230 Yds, 12.1 Avg",Oklahoma,2024
Deion Burks,deion-burks-1,/cfb/players/deion-burks-1.html,JR,WR,"31 Rec, 245 Yds, 7.9 Avg",Oklahoma,2024
Zion Ragins,zion-ragins-1,/cfb/players/zion-ragins-1.html,FR,WR,"10 Rec, 68 Yds, 6.8 Avg",Oklahoma,2024
