Player,Player_ID,Player_Link,class,pos,summary,School,Year
Matt Corral,matt-corral-1,/cfb/players/matt-corral-1.html,FR,QB,"105 Cmp, 178 Att, 1362 Yds, 6 TD",Ole Miss,2019
John Rhys Plumlee,john-rhys-plumlee-1,/cfb/players/john-rhys-plumlee-1.html,FR,QB,"79 Cmp, 150 Att, 910 Yds, 4 TD",Ole Miss,2019
Grant Tisdale,grant-tisdale-1,/cfb/players/grant-tisdale-1.html,FR,QB,"2 Cmp, 2 Att, 56 Yds, 1 TD",Ole Miss,2019
Kinkead Dent,kinkead-dent-1,/cfb/players/kinkead-dent-1.html,FR,QB,,Ole Miss,2019
Brice Johnson,brice-johnson-1,/cfb/players/brice-johnson-1.html,FR,QB,,Ole Miss,2019
Grant Restmeyer,grant-restmeyer-1,/cfb/players/grant-restmeyer-1.html,JR,QB,,Ole Miss,2019
Sellers Shy,sellers-shy-1,/cfb/players/sellers-shy-1.html,FR,QB,,Ole Miss,2019
Scottie Phillips,scottie-phillips-1,/cfb/players/scottie-phillips-1.html,SR,RB,"125 Att, 542 Yds, 4.3 Avg",Ole Miss,2019
Jerrion Ealy,jerrion-ealy-1,/cfb/players/jerrion-ealy-1.html,FR,RB,"104 Att, 722 Yds, 6.9 Avg",Ole Miss,2019
Snoop Conner,snoop-conner-1,/cfb/players/snoop-conner-1.html,FR,RB,"81 Att, 512 Yds, 6.3 Avg",Ole Miss,2019
Isaiah Woullard,isaiah-woullard-1,/cfb/players/isaiah-woullard-1.html,SO,RB,"10 Att, 31 Yds, 3.1 Avg",Ole Miss,2019
Tylan Knight,tylan-knight-1,/cfb/players/tylan-knight-1.html,SO,RB,"7 Att, 38 Yds, 5.4 Avg",Ole Miss,2019
D'Vaughn Pennamon,dvaughn-pennamon-1,/cfb/players/dvaughn-pennamon-1.html,JR,RB,"3 Att, 5 Yds, 1.7 Avg",Ole Miss,2019
KeShun Wells,keshun-wells-1,/cfb/players/keshun-wells-1.html,SR,RB,"1 Att, 7 Yds, 7.0 Avg",Ole Miss,2019
Campbell Klein,campbell-klein-1,/cfb/players/campbell-klein-1.html,FR,RB,,Ole Miss,2019
Elijah Moore,elijah-moore-1,/cfb/players/elijah-moore-1.html,SO,WR,"67 Rec, 850 Yds, 12.7 Avg",Ole Miss,2019
Dannis Jackson,dannis-jackson-1,/cfb/players/dannis-jackson-1.html,FR,WR,"7 Rec, 80 Yds, 11.4 Avg",Ole Miss,2019
Dontario Drummond,dontario-drummond-1,/cfb/players/dontario-drummond-1.html,JR,WR,"13 Rec, 188 Yds, 14.5 Avg",Ole Miss,2019
Jonathan Mingo,jonathan-mingo-1,/cfb/players/jonathan-mingo-1.html,FR,WR,"12 Rec, 172 Yds, 14.3 Avg",Ole Miss,2019
