Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tyler Shough,tyler-shough-1,/cfb/players/tyler-shough-1.html,SO,QB,"106 Cmp, 167 Att, 1559 Yds, 13 TD",Oregon,2020
Anthony Brown,anthony-brown-11,/cfb/players/anthony-brown-11.html,SR,QB,"15 Cmp, 23 Att, 164 Yds, 2 TD",Oregon,2020
Cale Millen,cale-millen-1,/cfb/players/cale-millen-1.html,FR,QB,,Oregon,2020
Robby Ashford,robby-ashford-1,/cfb/players/robby-ashford-1.html,FR,QB,,Oregon,2020
Jay Butterfield,jay-butterfield-1,/cfb/players/jay-butterfield-1.html,FR,QB,,Oregon,2020
Bradley Yaffe,bradley-yaffe-1,/cfb/players/bradley-yaffe-1.html,SO,QB,,Oregon,2020
Travis Dye,travis-dye-1,/cfb/players/travis-dye-1.html,JR,RB,"64 Att, 443 Yds, 6.9 Avg",Oregon,2020
CJ Verdell,cj-verdell-1,/cfb/players/cj-verdell-1.html,JR,RB,"65 Att, 285 Yds, 4.4 Avg",Oregon,2020
Cyrus Habibi-Likio,cyrus-habibi-likio-1,/cfb/players/cyrus-habibi-likio-1.html,JR,RB,"19 Att, 36 Yds, 1.9 Avg",Oregon,2020
Sean Dollars,sean-dollars-1,/cfb/players/sean-dollars-1.html,FR,RB,"8 Att, 47 Yds, 5.9 Avg",Oregon,2020
KJ Maduike,kj-maduike-1,/cfb/players/kj-maduike-1.html,SO,RB,,Oregon,2020
Cross Patton,cross-patton-1,/cfb/players/cross-patton-1.html,FR,RB,,Oregon,2020
Trey Benson,trey-benson-2,/cfb/players/trey-benson-2.html,FR,RB,,Oregon,2020
Jayvaun Wilson,jayvaun-wilson-1,/cfb/players/jayvaun-wilson-1.html,FR,RB,,Oregon,2020
Jaylon Redd,jaylon-redd-1,/cfb/players/jaylon-redd-1.html,SR,WR,"25 Rec, 281 Yds, 11.2 Avg",Oregon,2020
Mycah Pittman,mycah-pittman-1,/cfb/players/mycah-pittman-1.html,SO,WR,"8 Rec, 123 Yds, 15.4 Avg",Oregon,2020
Johnny Johnson III,johnny-johnson-iii-1,/cfb/players/johnny-johnson-iii-1.html,SR,WR,"19 Rec, 267 Yds, 14.1 Avg",Oregon,2020
Devon Williams,devon-williams-2,/cfb/players/devon-williams-2.html,SO,WR,"15 Rec, 286 Yds, 19.1 Avg",Oregon,2020
Kris Hutson,kris-hutson-1,/cfb/players/kris-hutson-1.html,FR,WR,"4 Rec, 37 Yds, 9.3 Avg",Oregon,2020
Josh Delgado,josh-delgado-2,/cfb/players/josh-delgado-2.html,SO,WR,"3 Rec, 36 Yds, 12.0 Avg",Oregon,2020
Tevin Jeannis,tevin-jeannis-1,/cfb/players/tevin-jeannis-1.html,SO,WR,,Oregon,2020
JR Waters,jr-waters-1,/cfb/players/jr-waters-1.html,FR,WR,,Oregon,2020
