Player,Player_ID,Player_Link,class,pos,summary,School,Year
Maalik Murphy,maalik-murphy-1,/cfb/players/maalik-murphy-1.html,FR,QB,"161 Cmp, 277 Att, 1805 Yds, 9 TD",Oregon State,2025
Gabarri Johnson,gabarri-johnson-1,/cfb/players/gabarri-johnson-1.html,SO,QB,"61 Cmp, 99 Att, 503 Yds, 2 TD",Oregon State,2025
Tristan Ti'a,tristan-tia-1,/cfb/players/tristan-tia-1.html,FR,QB,"37 Cmp, 53 Att, 385 Yds, 3 TD",Oregon State,2025
Kallen Gutridge,kallen-gutridge-1,/cfb/players/kallen-gutridge-1.html,FR,QB,,Oregon State,2025
Anthony Hankerson,anthony-hankerson-1,/cfb/players/anthony-hankerson-1.html,SR,RB,"247 Att, 1086 Yds, 4.4 Avg",Oregon State,2025
Cornell Hatcher Jr.,cornell-hatcher-jr-1,/cfb/players/cornell-hatcher-jr-1.html,FR,RB,"52 Att, 292 Yds, 5.6 Avg",Oregon State,2025
Salahadin Allah,salahadin-allah-1,/cfb/players/salahadin-allah-1.html,SO,RB,"19 Att, 71 Yds, 3.7 Avg",Oregon State,2025
Marquis Crosby,marquis-crosby-1,/cfb/players/marquis-crosby-1.html,SR,RB,"3 Att, 4 Yds, 1.3 Avg",Oregon State,2025
Jake Reichle,jake-reichle-1,/cfb/players/jake-reichle-1.html,JR,RB,"3 Att, 6 Yds, 2.0 Avg",Oregon State,2025
Kourdey Glass,kourdey-glass-1,/cfb/players/kourdey-glass-1.html,FR,RB,,Oregon State,2025
Skyler Jackson,skyler-jackson-1,/cfb/players/skyler-jackson-1.html,FR,RB,"1 Att, 2 Yds, 2.0 Avg",Oregon State,2025
Trent Walker,trent-walker-1,/cfb/players/trent-walker-1.html,SR,WR,"68 Rec, 823 Yds, 12.1 Avg",Oregon State,2025
David Wells Jr.,david-wells-jr-1,/cfb/players/david-wells-jr-1.html,SO,WR,"44 Rec, 466 Yds, 10.6 Avg",Oregon State,2025
Tastean Reddicks,tastean-reddicks-1,/cfb/players/tastean-reddicks-1.html,SO,WR,"30 Rec, 391 Yds, 13.0 Avg",Oregon State,2025
