Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kenny Pickett,kenny-pickett-1,/cfb/players/kenny-pickett-1.html,SR,QB,"334 Cmp, 497 Att, 4319 Yds, 42 TD",Pitt,2021
Davis Beville,davis-beville-1,/cfb/players/davis-beville-1.html,SO,QB,"17 Cmp, 22 Att, 207 Yds, 1 TD",Pitt,2021
Nick Patti,nick-patti-3,/cfb/players/nick-patti-3.html,JR,QB,"14 Cmp, 19 Att, 161 Yds, 0 TD",Pitt,2021
Jake Frantl,jake-frantl-1,/cfb/players/jake-frantl-1.html,FR,QB,,Pitt,2021
Eli Kosanovich,eli-kosanovich-2,/cfb/players/eli-kosanovich-2.html,SO,QB,,Pitt,2021
Nate Yarnell,nate-yarnell-1,/cfb/players/nate-yarnell-1.html,FR,QB,,Pitt,2021
Joey Yellen,joey-yellen-1,/cfb/players/joey-yellen-1.html,SO,QB,,Pitt,2021
Vincent Davis,vincent-davis-3,/cfb/players/vincent-davis-3.html,JR,RB,"142 Att, 593 Yds, 4.2 Avg",Pitt,2021
Israel Abanikanda,israel-abanikanda-1,/cfb/players/israel-abanikanda-1.html,SO,RB,"123 Att, 651 Yds, 5.3 Avg",Pitt,2021
Rodney Hammond Jr.,rodney-hammond-jr-1,/cfb/players/rodney-hammond-jr-1.html,FR,RB,"102 Att, 505 Yds, 5.0 Avg",Pitt,2021
Daniel Carter,daniel-carter-1,/cfb/players/daniel-carter-1.html,SO,RB,"8 Att, 29 Yds, 3.6 Avg",Pitt,2021
Todd Sibley Jr.,todd-sibley-jr-1,/cfb/players/todd-sibley-jr-1.html,SR,RB,"5 Att, 19 Yds, 3.8 Avg",Pitt,2021
A.J. Davis Jr.,aj-davis-jr-1,/cfb/players/aj-davis-jr-1.html,SR,RB,"4 Rec, 23 Yds, 5.8 Avg",Pitt,2021
Angelo Priore,angelo-priore-1,/cfb/players/angelo-priore-1.html,FR,RB,,Pitt,2021
Jared Wayne,jared-wayne-1,/cfb/players/jared-wayne-1.html,JR,WR,"47 Rec, 658 Yds, 14.0 Avg",Pitt,2021
Shocky Jacques-Louis,shocky-jacques-louis-1,/cfb/players/shocky-jacques-louis-1.html,SR,WR,"25 Rec, 259 Yds, 10.4 Avg",Pitt,2021
Jordan Addison,jordan-addison-1,/cfb/players/jordan-addison-1.html,SO,WR,"100 Rec, 1593 Yds, 15.9 Avg",Pitt,2021
Taysir Mack,taysir-mack-1,/cfb/players/taysir-mack-1.html,SR,WR,"27 Rec, 461 Yds, 17.1 Avg",Pitt,2021
Melquise Stovall,melquise-stovall-1,/cfb/players/melquise-stovall-1.html,SR,WR,"16 Rec, 203 Yds, 12.7 Avg",Pitt,2021
Jaylon Barden,jaylon-barden-1,/cfb/players/jaylon-barden-1.html,SO,WR,"9 Rec, 174 Yds, 19.3 Avg",Pitt,2021
Jaden Bradley,jaden-bradley-1,/cfb/players/jaden-bradley-1.html,FR,WR,"9 Rec, 129 Yds, 14.3 Avg",Pitt,2021
Tre Tipton,tre-tripton-1,/cfb/players/tre-tripton-1.html,SR,WR,"5 Rec, 37 Yds, 7.4 Avg",Pitt,2021
John Vardzel,john-vardzel-1,/cfb/players/john-vardzel-1.html,JR,WR,"1 Rec, 6 Yds, 6.0 Avg",Pitt,2021
Myles Alston,myles-alston-1,/cfb/players/myles-alston-1.html,FR,WR,,Pitt,2021
Garrett Bickhart,garrett-bickhart-1,/cfb/players/garrett-bickhart-1.html,SR,WR,,Pitt,2021
Luke Delgaudio,luke-delgaudio-1,/cfb/players/luke-delgaudio-1.html,FR,WR,,Pitt,2021
Joshua Junko,joshua-junko-1,/cfb/players/joshua-junko-1.html,SO,WR,,Pitt,2021
