Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kevin Jennings,kevin-jennings-2,/cfb/players/kevin-jennings-2.html,JR,QB,"300 Cmp, 454 Att, 3641 Yds, 26 TD",SMU,2025
Charlie Fiser,charlie-fiser-1,/cfb/players/charlie-fiser-1.html,JR,QB,"4 Cmp, 4 Att, 30 Yds, 0 TD",SMU,2025
Ty Hawkins,ty-hawkins-1,/cfb/players/ty-hawkins-1.html,FR,QB,"1 Cmp, 1 Att, 9 Yds, 0 TD",SMU,2025
Tyler Van Dyke,tyler-van-dyke-1,/cfb/players/tyler-van-dyke-1.html,SR,QB,,SMU,2025
TJ Harden,tj-harden-1,/cfb/players/tj-harden-1.html,SR,RB,"171 Att, 787 Yds, 4.6 Avg",SMU,2025
Chris Johnson Jr.,chris-johnson-jr-1,/cfb/players/chris-johnson-jr-1.html,SO,RB,"67 Att, 479 Yds, 7.1 Avg",SMU,2025
Derrick McFall,derrick-mcfall-1,/cfb/players/derrick-mcfall-1.html,FR,RB,"35 Att, 189 Yds, 5.4 Avg",SMU,2025
Dramekco Green,dramekco-green-1,/cfb/players/dramekco-green-1.html,FR,RB,"25 Att, 90 Yds, 3.6 Avg",SMU,2025
Shaadie Clayton-Johnson,shaadie-clayton-1,/cfb/players/shaadie-clayton-1.html,SR,RB,"12 Att, 88 Yds, 7.3 Avg",SMU,2025
Zach Hernandez,zach-hernandez-2,/cfb/players/zach-hernandez-2.html,SO,RB,"2 Att, 9 Yds, 4.5 Avg",SMU,2025
William Fierro,william-fierro-1,/cfb/players/william-fierro-1.html,SO,RB,,SMU,2025
Zane Minors,zane-minors-1,/cfb/players/zane-minors-1.html,SR,RB,,SMU,2025
Romello Brinson,romello-brinson-1,/cfb/players/romello-brinson-1.html,SR,WR,"43 Rec, 638 Yds, 14.8 Avg",SMU,2025
Jaxson Lavender,jaxson-lavender-1,/cfb/players/jaxson-lavender-1.html,SO,WR,,SMU,2025
