Player,Player_ID,Player_Link,class,pos,summary,School,Year
Maxwell Smith,maxwell-smith-1,/cfb/players/maxwell-smith-1.html,SR,QB,"110 Cmp, 199 Att, 1529 Yds, 13 TD",San Diego State,2015
Christian Chapman,christian-chapman-1,/cfb/players/christian-chapman-1.html,FR,QB,"29 Cmp, 49 Att, 436 Yds, 2 TD",San Diego State,2015
Chase Favreau,chase-favreau-1,/cfb/players/chase-favreau-1.html,SO,QB,,San Diego State,2015
Ryan Agnew,ryan-agnew-1,/cfb/players/ryan-agnew-1.html,FR,QB,,San Diego State,2015
Mason Hall,mason-hall-1,/cfb/players/mason-hall-1.html,FR,QB,,San Diego State,2015
Jake Rodrigues,jake-rodrigues-1,/cfb/players/jake-rodrigues-1.html,JR,QB,,San Diego State,2015
Donnel Pumphrey,donnel-pumphrey-1,/cfb/players/donnel-pumphrey-1.html,JR,RB,"309 Att, 1653 Yds, 5.3 Avg",San Diego State,2015
Chase Price,chase-price-1,/cfb/players/chase-price-1.html,SR,RB,"190 Att, 1008 Yds, 5.3 Avg",San Diego State,2015
Rashaad Penny,rashaad-penny-1,/cfb/players/rashaad-penny-1.html,SO,RB,"61 Att, 368 Yds, 6.0 Avg",San Diego State,2015
Marcus Stamps,marcus-stamps-2,/cfb/players/marcus-stamps-2.html,SO,RB,"16 Att, 33 Yds, 2.1 Avg",San Diego State,2015
Jatory Sparks-Brown,jatory-sparks-brown-1,/cfb/players/jatory-sparks-brown-1.html,FR,RB,,San Diego State,2015
Juwan Washington,juwan-washington-1,/cfb/players/juwan-washington-1.html,FR,RB,,San Diego State,2015
Lloyd Mills,lloyd-mills-1,/cfb/players/lloyd-mills-1.html,JR,WR,"2 Rec, 8 Yds, 4.0 Avg",San Diego State,2015
Micah Holder,micah-holder-1,/cfb/players/micah-holder-1.html,SO,WR,"24 Rec, 439 Yds, 18.3 Avg",San Diego State,2015
Jemond Hazely,jemond-hazely-1,/cfb/players/jemond-hazely-1.html,SR,WR,"21 Rec, 263 Yds, 12.5 Avg",San Diego State,2015
Eric Judge,eric-judge-1,/cfb/players/eric-judge-1.html,JR,WR,"15 Rec, 296 Yds, 19.7 Avg",San Diego State,2015
Curtis Anderson,curtis-anderson-2,/cfb/players/curtis-anderson-2.html,JR,WR,"1 Rec, 6 Yds, 6.0 Avg",San Diego State,2015
Christian Cumberlander,christian-cumberlander-1,/cfb/players/christian-cumberlander-1.html,SO,WR,"1 Rec, 0 Yds, 0.0 Avg",San Diego State,2015
Jack Bailey,jack-bailey-2,/cfb/players/jack-bailey-2.html,FR,WR,,San Diego State,2015
Jerry Chaney,jerry-chaney-2,/cfb/players/jerry-chaney-2.html,FR,WR,,San Diego State,2015
Jabril Clewis,jabril-clewis-1,/cfb/players/jabril-clewis-1.html,FR,WR,,San Diego State,2015
Brandon Fitzpatrick,brandon-fitzpatrick-1,/cfb/players/brandon-fitzpatrick-1.html,FR,WR,,San Diego State,2015
DeSean Holmes,desean-holmes-1,/cfb/players/desean-holmes-1.html,FR,WR,,San Diego State,2015
Paul Pitts III,paul-pitts-iii-1,/cfb/players/paul-pitts-iii-1.html,SR,WR,,San Diego State,2015
Dominic Rose,dominic-rose-1,/cfb/players/dominic-rose-1.html,FR,WR,,San Diego State,2015
Daniel Brunskill,daniel-brunskill-1,/cfb/players/daniel-brunskill-1.html,JR,TE,"10 Rec, 112 Yds, 11.2 Avg",San Diego State,2015
David Wells,david-wells-2,/cfb/players/david-wells-2.html,SO,TE,"4 Rec, 22 Yds, 5.5 Avg",San Diego State,2015
Aaron Boesch,aaron-boesch-1,/cfb/players/aaron-boesch-1.html,SR,TE,,San Diego State,2015
Spencer Reed,spencer-reed-1,/cfb/players/spencer-reed-1.html,FR,TE,,San Diego State,2015
Darryl Richardson,darryl-richardson-2,/cfb/players/darryl-richardson-2.html,SO,TE,,San Diego State,2015
Hasani Smith,hasani-smith-1,/cfb/players/hasani-smith-1.html,FR,TE,,San Diego State,2015
Kahale Warring,kahale-warring-1,/cfb/players/kahale-warring-1.html,FR,TE,,San Diego State,2015
Robert Craighead,robert-craighead-1,/cfb/players/robert-craighead-1.html,SR,OL,,San Diego State,2015
Daishawn Dixon,daishawn-dixon-1,/cfb/players/daishawn-dixon-1.html,FR,OL,,San Diego State,2015
Arthur Flores,arthur-flores-1,/cfb/players/arthur-flores-1.html,JR,OL,,San Diego State,2015
Nick Gerhard,nick-gerhard-1,/cfb/players/nick-gerhard-1.html,FR,OL,,San Diego State,2015
Darrell Greene,darrell-greene-1,/cfb/players/darrell-greene-1.html,SR,OL,,San Diego State,2015
Ryan Krum,ryan-krum-1,/cfb/players/ryan-krum-1.html,JR,OL,,San Diego State,2015
Austin Maass,austin-maass-1,/cfb/players/austin-maass-1.html,JR,OL,,San Diego State,2015
Kwayde Miller,kwayde-miller-1,/cfb/players/kwayde-miller-1.html,JR,OL,,San Diego State,2015
Sergio Phillips,sergio-phillips-1,/cfb/players/sergio-phillips-1.html,SO,OL,,San Diego State,2015
Ryan Pope,ryan-pope-1,/cfb/players/ryan-pope-1.html,SO,OL,,San Diego State,2015
Antonio Rosales,antonio-rosales-1,/cfb/players/antonio-rosales-1.html,SO,OL,,San Diego State,2015
Joe Salcedo,joe-salcedo-1,/cfb/players/joe-salcedo-1.html,FR,OL,,San Diego State,2015
Pesi Savea,pesi-savea-1,/cfb/players/pesi-savea-1.html,FR,OL,,San Diego State,2015
Nico Siragusa,nico-siragusa-1,/cfb/players/nico-siragusa-1.html,JR,OL,,San Diego State,2015
Pearce Slater,pearce-slater-2,/cfb/players/pearce-slater-2.html,SR,OL,,San Diego State,2015
Alfonso Solis,alfonso-solis-1,/cfb/players/alfonso-solis-1.html,FR,OL,,San Diego State,2015
William Tuihalamaka,william-tuihalamaka-1,/cfb/players/william-tuihalamaka-1.html,FR,OL,,San Diego State,2015
Elijah Wofford,elijah-wofford-1,/cfb/players/elijah-wofford-1.html,FR,OL,,San Diego State,2015
Donny Hageman,donny-hageman-1,/cfb/players/donny-hageman-1.html,SR,K,,San Diego State,2015
John Baron,john-baron-1,/cfb/players/john-baron-1.html,FR,K,,San Diego State,2015
Alex Barrett,alex-barrett-1,/cfb/players/alex-barrett-1.html,JR,DL,,San Diego State,2015
Noble Hall,noble-hall-1,/cfb/players/noble-hall-1.html,FR,DL,,San Diego State,2015
Christian Heyward,christian-heyward-2,/cfb/players/christian-heyward-2.html,SR,DL,,San Diego State,2015
Kyle Kelly,kyle-kelly-1,/cfb/players/kyle-kelly-1.html,JR,DL,,San Diego State,2015
Randy Ricks,randy-ricks-1,/cfb/players/randy-ricks-1.html,JR,DL,,San Diego State,2015
Julian Rochelin,julian-rochelin-1,/cfb/players/julian-rochelin-1.html,FR,DL,,San Diego State,2015
Jon Sanchez,jon-sanchez-1,/cfb/players/jon-sanchez-1.html,SR,DL,,San Diego State,2015
Dakota Turner,dakota-turner-1,/cfb/players/dakota-turner-1.html,SO,DL,,San Diego State,2015
Jordan Watson,jordan-watson-1,/cfb/players/jordan-watson-1.html,SO,DL,,San Diego State,2015
Thomas Browne,thomas-browne-1,/cfb/players/thomas-browne-1.html,FR,DL,,San Diego State,2015
Miles Cheatum,miles-cheatum-1,/cfb/players/miles-cheatum-1.html,FR,DL,,San Diego State,2015
Malcolm Jackson,malcolm-jackson-1,/cfb/players/malcolm-jackson-1.html,JR,DL,,San Diego State,2015
Damon Moore,damon-moore-3,/cfb/players/damon-moore-3.html,FR,DL,,San Diego State,2015
Sam Tai,sam-tai-1,/cfb/players/sam-tai-1.html,SR,DL,,San Diego State,2015
Ryan Dunn,ryan-dunn-1,/cfb/players/ryan-dunn-1.html,SO,LB,,San Diego State,2015
Jake Fely,jake-fely-1,/cfb/players/jake-fely-1.html,SR,LB,,San Diego State,2015
Jay Henderson,jay-henderson-1,/cfb/players/jay-henderson-1.html,SO,LB,,San Diego State,2015
Ronley Lakalaka,ronley-lakalaka-1,/cfb/players/ronley-lakalaka-1.html,FR,LB,,San Diego State,2015
Tyler Morris,tyler-morris-1,/cfb/players/tyler-morris-1.html,SO,LB,,San Diego State,2015
Calvin Munson,calvin-munson-1,/cfb/players/calvin-munson-1.html,JR,LB,,San Diego State,2015
Austin Wyatt-Thayer,austin-wyatt-thayer-1,/cfb/players/austin-wyatt-thayer-1.html,JR,LB,,San Diego State,2015
Devante Davis,devante-davis-4,/cfb/players/devante-davis-4.html,SR,LB,,San Diego State,2015
Isaac Lessard,isaac-lessard-1,/cfb/players/isaac-lessard-1.html,FR,LB,,San Diego State,2015
Fred Melifonwu,fred-melifonwu-1,/cfb/players/fred-melifonwu-1.html,SO,LB,,San Diego State,2015
Kyahva Tezino,kyahva-tezino-1,/cfb/players/kyahva-tezino-1.html,FR,LB,,San Diego State,2015
Adam Wood,adam-wood-1,/cfb/players/adam-wood-1.html,FR,LB,,San Diego State,2015
Derek Babiash,derek-babiash-1,/cfb/players/derek-babiash-1.html,SO,DB,,San Diego State,2015
Parker Baldwin,parker-baldwin-1,/cfb/players/parker-baldwin-1.html,FR,DB,,San Diego State,2015
Luke Bussey,luke-bussey-1,/cfb/players/luke-bussey-1.html,FR,DB,,San Diego State,2015
Damontae Kazee,damontae-kazee-1,/cfb/players/damontae-kazee-1.html,JR,DB,,San Diego State,2015
Kameron Kelly,kameron-kelly-1,/cfb/players/kameron-kelly-1.html,SO,DB,,San Diego State,2015
Trey Lomax,trey-lomax-1,/cfb/players/trey-lomax-1.html,SO,DB,,San Diego State,2015
Kendrick Mathis,kendrick-mathis-1,/cfb/players/kendrick-mathis-1.html,JR,DB,,San Diego State,2015
