Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kenny Potter,kenny-potter-1,/cfb/players/kenny-potter-1.html,SR,QB,"183 Cmp, 307 Att, 2273 Yds, 16 TD",San Jose State,2016
Josh Love,josh-love-1,/cfb/players/josh-love-1.html,FR,QB,"31 Cmp, 60 Att, 392 Yds, 2 TD",San Jose State,2016
Malik Roberson,malik-roberson-1,/cfb/players/malik-roberson-1.html,SO,RB,"99 Att, 508 Yds, 5.1 Avg",San Jose State,2016
Deontae Cooper,deontae-cooper-1,/cfb/players/deontae-cooper-1.html,SR,RB,"112 Att, 484 Yds, 4.3 Avg",San Jose State,2016
Zamore Zigler,zamore-zigler-1,/cfb/players/zamore-zigler-1.html,FR,RB,"79 Att, 423 Yds, 5.4 Avg",San Jose State,2016
Shane Smith,shane-smith-4,/cfb/players/shane-smith-4.html,SR,RB,"5 Rec, 36 Yds, 7.2 Avg",San Jose State,2016
Thai Cottrell,thai-cottrell-1,/cfb/players/thai-cottrell-1.html,SO,RB,"3 Rec, 24 Yds, 8.0 Avg",San Jose State,2016
Jamar Williams-Sheppard,jamar-williams-sheppard-1,/cfb/players/jamar-williams-sheppard-1.html,FR,RB,,San Jose State,2016
Tim Crawley,tim-crawley-1,/cfb/players/tim-crawley-1.html,SR,WR,"55 Rec, 648 Yds, 11.8 Avg",San Jose State,2016
Rahshead Johnson,rahshead-johnson-1,/cfb/players/rahshead-johnson-1.html,SO,WR,"16 Rec, 202 Yds, 12.6 Avg",San Jose State,2016
Bailey Gaither,bailey-gaither-1,/cfb/players/bailey-gaither-1.html,FR,WR,"4 Rec, 43 Yds, 10.8 Avg",San Jose State,2016
Trey Hartley,trey-hartley-1,/cfb/players/trey-hartley-1.html,SO,WR,"33 Rec, 572 Yds, 17.3 Avg",San Jose State,2016
Justin Holmes,justin-holmes-2,/cfb/players/justin-holmes-2.html,SO,WR,"39 Rec, 613 Yds, 15.7 Avg",San Jose State,2016
