Player,Player_ID,Player_Link,class,pos,summary,School,Year
Cody Clements,cody-clements-1,/cfb/players/cody-clements-1.html,SR,QB,"171 Cmp, 324 Att, 2272 Yds, 13 TD",South Alabama,2015
Dallas Davis,dallas-davis-2,/cfb/players/dallas-davis-2.html,FR,QB,"11 Cmp, 23 Att, 108 Yds, 1 TD",South Alabama,2015
Matt Floyd,matt-floyd-1,/cfb/players/matt-floyd-1.html,SR,QB,,South Alabama,2015
Evan Orth,evan-orth-1,/cfb/players/evan-orth-1.html,FR,QB,,South Alabama,2015
Hunter Vaughn,hunter-vaughn-1,/cfb/players/hunter-vaughn-1.html,JR,QB,,South Alabama,2015
Xavier Johnson,xavier-johnson-1,/cfb/players/xavier-johnson-1.html,SO,RB,"145 Att, 956 Yds, 6.6 Avg",South Alabama,2015
Tyreis Thomas,tyreis-thomas-1,/cfb/players/tyreis-thomas-1.html,JR,RB,"113 Att, 552 Yds, 4.9 Avg",South Alabama,2015
Terrance Timmons,terrance-timmons-1,/cfb/players/terrance-timmons-1.html,SR,RB,"58 Att, 271 Yds, 4.7 Avg",South Alabama,2015
Dami Ayoola,dami-ayoola-1,/cfb/players/dami-ayoola-1.html,JR,RB,"38 Att, 107 Yds, 2.8 Avg",South Alabama,2015
Deonta Moore,deonta-moore-1,/cfb/players/deonta-moore-1.html,FR,RB,,South Alabama,2015
Milton Revell,milton-revell-1,/cfb/players/milton-revell-1.html,JR,RB,,South Alabama,2015
Carlos Robinson,carlos-robinson-2,/cfb/players/carlos-robinson-2.html,SO,RB,,South Alabama,2015
Martavious Stewart,martavious-stewart-1,/cfb/players/martavious-stewart-1.html,JR,RB,,South Alabama,2015
D.J. Vinson,dj-vinson-1,/cfb/players/dj-vinson-1.html,SR,WR,"23 Rec, 193 Yds, 8.4 Avg",South Alabama,2015
Josh Magee,josh-magee-1,/cfb/players/josh-magee-1.html,JR,WR,"23 Rec, 504 Yds, 21.9 Avg",South Alabama,2015
Marvin Shinn,marvin-shinn-1,/cfb/players/marvin-shinn-1.html,SR,WR,"19 Rec, 335 Yds, 17.6 Avg",South Alabama,2015
Claude Garrett,claude-garrett-1,/cfb/players/claude-garrett-1.html,SR,WR,"6 Rec, 26 Yds, 4.3 Avg",South Alabama,2015
Chris Lewis,chris-lewis-3,/cfb/players/chris-lewis-3.html,SR,WR,"10 Rec, 96 Yds, 9.6 Avg",South Alabama,2015
Kevin Kutchera,kevin-kutchera-1,/cfb/players/kevin-kutchera-1.html,JR,WR,"9 Rec, 97 Yds, 10.8 Avg",South Alabama,2015
Tony Ray Parnell,tony-ray-parnell-1,/cfb/players/tony-ray-parnell-1.html,JR,WR,"1 Rec, 0 Yds, 0.0 Avg",South Alabama,2015
Nathan Sassaman,nathan-sassaman-1,/cfb/players/nathan-sassaman-1.html,SR,WR,"1 Rec, 12 Yds, 12.0 Avg",South Alabama,2015
Ronnie Reed,ronnie-reed-1,/cfb/players/ronnie-reed-1.html,FR,WR,,South Alabama,2015
Cameron Broadnax,cameron-broadnax-1,/cfb/players/cameron-broadnax-1.html,JR,WR,,South Alabama,2015
Sam Harris,sam-harris-2,/cfb/players/sam-harris-2.html,FR,WR,,South Alabama,2015
Parker Mason,parker-mason-1,/cfb/players/parker-mason-1.html,FR,WR,,South Alabama,2015
Christian Pearsall,christian-pearsall-1,/cfb/players/christian-pearsall-1.html,FR,WR,,South Alabama,2015
Dee Tolbert,dee-tolbert-1,/cfb/players/dee-tolbert-1.html,FR,WR,,South Alabama,2015
Tyrone Williams,tyrone-williams-3,/cfb/players/tyrone-williams-3.html,JR,WR,,South Alabama,2015
Danny Woodson Jr.,danny-woodson-jr-1,/cfb/players/danny-woodson-jr-1.html,SR,WR,"19 Rec, 253 Yds, 13.3 Avg",South Alabama,2015
Gerald Everett,gerald-everett-1,/cfb/players/gerald-everett-1.html,SR,TE,"41 Rec, 575 Yds, 14.0 Avg",South Alabama,2015
Braedon Bowman,braedon-bowman-1,/cfb/players/braedon-bowman-1.html,SR,TE,"11 Rec, 147 Yds, 13.4 Avg",South Alabama,2015
