Player,Player_ID,Player_Link,class,pos,summary,School,Year
Spencer Rattler,spencer-rattler-1,/cfb/players/spencer-rattler-1.html,SR,QB,"264 Cmp, 399 Att, 3026 Yds, 18 TD",South Carolina,2022
Luke Doty,luke-doty-1,/cfb/players/luke-doty-1.html,JR,QB,"10 Cmp, 14 Att, 146 Yds, 2 TD",South Carolina,2022
Tanner Bailey,tanner-bailey-1,/cfb/players/tanner-bailey-1.html,FR,QB,,South Carolina,2022
Jalen Daniels,jalen-daniels-1,/cfb/players/jalen-daniels-1.html,FR,QB,,South Carolina,2022
Braden Davis,braden-davis-1,/cfb/players/braden-davis-1.html,FR,QB,,South Carolina,2022
Colten Gauthier,colten-gauthier-1,/cfb/players/colten-gauthier-1.html,SO,QB,,South Carolina,2022
Dakereon Joyner,dakereon-joyner-1,/cfb/players/dakereon-joyner-1.html,SR,RB,"12 Att, 56 Yds, 4.7 Avg",South Carolina,2022
Marshawn Lloyd,marshawn-lloyd-1,/cfb/players/marshawn-lloyd-1.html,SO,RB,"111 Att, 573 Yds, 5.2 Avg",South Carolina,2022
Juju McDowell,juju-mcdowell-1,/cfb/players/juju-mcdowell-1.html,JR,RB,"62 Att, 219 Yds, 3.5 Avg",South Carolina,2022
Christian Beal-Smith,christian-beal-smith-1,/cfb/players/christian-beal-smith-1.html,SR,RB,"39 Att, 156 Yds, 4.0 Avg",South Carolina,2022
Dante Miller,dante-miller-1,/cfb/players/dante-miller-1.html,SR,RB,"6 Att, 38 Yds, 6.3 Avg",South Carolina,2022
Rashad Amos,rashad-amos-1,/cfb/players/rashad-amos-1.html,JR,RB,"2 Att, 7 Yds, 3.5 Avg",South Carolina,2022
Lovasea Carroll,lovasea-carroll-1,/cfb/players/lovasea-carroll-1.html,FR,RB,,South Carolina,2022
DJ Twitty,dj-twitty-1,/cfb/players/dj-twitty-1.html,SR,RB,,South Carolina,2022
Nathan Harris-Waynick,nathan-harris-waynick-1,/cfb/players/nathan-harris-waynick-1.html,SO,RB,,South Carolina,2022
