Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kwadra Griggs,kwadra-griggs-1,/cfb/players/kwadra-griggs-1.html,JR,QB,"148 Cmp, 265 Att, 1879 Yds, 16 TD",Southern Mississippi,2017
Keon Howard,keon-howard-1,/cfb/players/keon-howard-1.html,SO,QB,"96 Cmp, 170 Att, 1199 Yds, 8 TD",Southern Mississippi,2017
Parker Adamson,parker-adamson-1,/cfb/players/parker-adamson-1.html,SR,QB,,Southern Mississippi,2017
Steven Anderson,steven-anderson-1,/cfb/players/steven-anderson-1.html,FR,QB,,Southern Mississippi,2017
Willie Green,willie-green-5,/cfb/players/willie-green-5.html,FR,QB,,Southern Mississippi,2017
Carter Hankins,carter-hankins-1,/cfb/players/carter-hankins-1.html,SR,QB,,Southern Mississippi,2017
Andrew LaBruna,andrew-labruna-1,/cfb/players/andrew-labruna-1.html,SO,QB,,Southern Mississippi,2017
Thomas Morton,thomas-morton-1,/cfb/players/thomas-morton-1.html,FR,QB,,Southern Mississippi,2017
Marcelo Rodriguez,marcelo-rodriguez-1,/cfb/players/marcelo-rodriguez-1.html,FR,QB,,Southern Mississippi,2017
Tyler Russell,tyler-russell-2,/cfb/players/tyler-russell-2.html,FR,QB,,Southern Mississippi,2017
Tez Parks,tez-parks-1,/cfb/players/tez-parks-1.html,JR,RB,"53 Att, 272 Yds, 5.1 Avg",Southern Mississippi,2017
Ito Smith,ito-smith-1,/cfb/players/ito-smith-1.html,SR,RB,"248 Att, 1415 Yds, 5.7 Avg",Southern Mississippi,2017
T'Rod Daniels,trod-daniels-1,/cfb/players/trod-daniels-1.html,JR,RB,"21 Att, 160 Yds, 7.6 Avg",Southern Mississippi,2017
Andre Hale II,andre-hale-ii-1,/cfb/players/andre-hale-ii-1.html,FR,RB,"6 Att, 33 Yds, 5.5 Avg",Southern Mississippi,2017
Collin Kilcrease,collin-kilcrease-1,/cfb/players/collin-kilcrease-1.html,JR,RB,"5 Att, 20 Yds, 4.0 Avg",Southern Mississippi,2017
Patrick Brooks,patrick-brooks-1,/cfb/players/patrick-brooks-1.html,SO,RB,,Southern Mississippi,2017
Darius Maberry,darius-maberry-1,/cfb/players/darius-maberry-1.html,FR,RB,,Southern Mississippi,2017
George Payne,george-payne-1,/cfb/players/george-payne-1.html,SR,RB,,Southern Mississippi,2017
Allen Staggers,allen-staggers-1,/cfb/players/allen-staggers-1.html,SR,WR,"44 Rec, 471 Yds, 10.7 Avg",Southern Mississippi,2017
Jaylond Adams,jaylond-adams-1,/cfb/players/jaylond-adams-1.html,FR,WR,"8 Rec, 219 Yds, 27.4 Avg",Southern Mississippi,2017
Isaiah Jones,isaiah-jones-1,/cfb/players/isaiah-jones-1.html,SR,WR,"22 Rec, 191 Yds, 8.7 Avg",Southern Mississippi,2017
Korey Robertson,korey-robertson-1,/cfb/players/korey-robertson-1.html,JR,WR,"76 Rec, 1106 Yds, 14.6 Avg",Southern Mississippi,2017
Quez Watkins,quez-watkins-1,/cfb/players/quez-watkins-1.html,FR,WR,"23 Rec, 337 Yds, 14.7 Avg",Southern Mississippi,2017
Tim Jones,tim-jones-8,/cfb/players/tim-jones-8.html,FR,WR,"5 Rec, 121 Yds, 24.2 Avg",Southern Mississippi,2017
Ben Olinger,ben-olinger-1,/cfb/players/ben-olinger-1.html,SR,WR,"1 Rec, 4 Yds, 4.0 Avg",Southern Mississippi,2017
Trevor Terry,trevor-terry-1,/cfb/players/trevor-terry-1.html,SO,WR,"1 Rec, 6 Yds, 6.0 Avg",Southern Mississippi,2017
Chase Whitehead,chase-whitehead-1,/cfb/players/chase-whitehead-1.html,JR,WR,"1 Rec, 35 Yds, 35.0 Avg",Southern Mississippi,2017
Brian King,brian-king-6,/cfb/players/brian-king-6.html,JR,WR,,Southern Mississippi,2017
T.J. McGinnis,tj-mcginnis-1,/cfb/players/tj-mcginnis-1.html,FR,WR,,Southern Mississippi,2017
Jordan Mitchell,jordan-mitchell-1,/cfb/players/jordan-mitchell-1.html,JR,WR,,Southern Mississippi,2017
Reid Rials,reid-rials-1,/cfb/players/reid-rials-1.html,SO,WR,,Southern Mississippi,2017
Brock Byrd,brock-byrd-1,/cfb/players/brock-byrd-1.html,FR,WR,,Southern Mississippi,2017
Tyre'Oune Holmes,tyreoune-holmes-1,/cfb/players/tyreoune-holmes-1.html,SR,WR,,Southern Mississippi,2017
Malachi Hull,malachi-hull-1,/cfb/players/malachi-hull-1.html,SO,WR,,Southern Mississippi,2017
Jacob Jones,jacob-jones-1,/cfb/players/jacob-jones-1.html,JR,WR,,Southern Mississippi,2017
Denver Magee,denver-magee-1,/cfb/players/denver-magee-1.html,SR,WR,,Southern Mississippi,2017
Marquise Ricard,marquise-ricard-1,/cfb/players/marquise-ricard-1.html,SR,WR,,Southern Mississippi,2017
Sam Smith,sam-smith-4,/cfb/players/sam-smith-4.html,FR,WR,,Southern Mississippi,2017
Jay'Shawn Washington,jayshawn-washington-1,/cfb/players/jayshawn-washington-1.html,JR,TE,"6 Rec, 72 Yds, 12.0 Avg",Southern Mississippi,2017
Julian Allen,julian-allen-1,/cfb/players/julian-allen-1.html,SR,TE,"3 Rec, 17 Yds, 5.7 Avg",Southern Mississippi,2017
William Potosky III,william-potosky-iii-1,/cfb/players/william-potosky-iii-1.html,SO,TE,,Southern Mississippi,2017
Rusty Clark,rusty-clark-2,/cfb/players/rusty-clark-2.html,SR,TE,,Southern Mississippi,2017
Marshall Kranz,marshall-kranz-1,/cfb/players/marshall-kranz-1.html,JR,TE,,Southern Mississippi,2017
Taylor Marini,taylor-marini-2,/cfb/players/taylor-marini-2.html,SR,TE,,Southern Mississippi,2017
Carter Sims,carter-sims-1,/cfb/players/carter-sims-1.html,SO,TE,,Southern Mississippi,2017
Woodlyson Alcius,woodlyson-alcius-1,/cfb/players/woodlyson-alcius-1.html,FR,OL,,Southern Mississippi,2017
Nathan Back,nathan-back-1,/cfb/players/nathan-back-1.html,SO,OL,,Southern Mississippi,2017
Grey Best,grey-best-1,/cfb/players/grey-best-1.html,FR,OL,,Southern Mississippi,2017
Cru Birdyshaw,cru-birdyshaw-1,/cfb/players/cru-birdyshaw-1.html,SO,OL,,Southern Mississippi,2017
Travion Clayton,travion-clayton-1,/cfb/players/travion-clayton-1.html,FR,OL,,Southern Mississippi,2017
Drake Dorbeck,drake-dorbeck-1,/cfb/players/drake-dorbeck-1.html,SO,OL,,Southern Mississippi,2017
Devin Farrior,devin-farrior-1,/cfb/players/devin-farrior-1.html,SR,OL,,Southern Mississippi,2017
Arvin Fletcher,arvin-fletcher-1,/cfb/players/arvin-fletcher-1.html,FR,OL,,Southern Mississippi,2017
Bryce Foxworth,bryce-foxworth-1,/cfb/players/bryce-foxworth-1.html,FR,OL,,Southern Mississippi,2017
Paul Gainer Jr.,paul-gainer-jr-1,/cfb/players/paul-gainer-jr-1.html,FR,OL,,Southern Mississippi,2017
Jerry Harris,jerry-harris-4,/cfb/players/jerry-harris-4.html,SR,OL,,Southern Mississippi,2017
Jacob Johnson,jacob-johnson-1,/cfb/players/jacob-johnson-1.html,SO,OL,,Southern Mississippi,2017
Alex Martin,alex-martin-1,/cfb/players/alex-martin-1.html,SO,OL,,Southern Mississippi,2017
Hayden McMahan,hayden-mcmahan-1,/cfb/players/hayden-mcmahan-1.html,JR,OL,,Southern Mississippi,2017
Ty Pollard,ty-pollard-1,/cfb/players/ty-pollard-1.html,SO,OL,,Southern Mississippi,2017
