Player,Player_ID,Player_Link,class,pos,summary,School,Year
K.J. Costello,kj-costello-1,/cfb/players/kj-costello-1.html,SO,QB,"124 Cmp, 211 Att, 1573 Yds, 14 TD",Stanford,2017
Keller Chryst,keller-chryst-1,/cfb/players/keller-chryst-1.html,SR,QB,"78 Cmp, 144 Att, 962 Yds, 8 TD",Stanford,2017
Ryan Burns,ryan-burns-1,/cfb/players/ryan-burns-1.html,SR,QB,"5 Cmp, 7 Att, 57 Yds, 1 TD",Stanford,2017
Davis Mills,davis-mills-1,/cfb/players/davis-mills-1.html,FR,QB,,Stanford,2017
Brent Peus,brent-peus-1,/cfb/players/brent-peus-1.html,SO,QB,,Stanford,2017
Jack Richardson,jack-richardson-2,/cfb/players/jack-richardson-2.html,SO,QB,,Stanford,2017
Bryce Love,bryce-love-1,/cfb/players/bryce-love-1.html,JR,RB,"263 Att, 2118 Yds, 8.1 Avg",Stanford,2017
Cameron Scarlett,cameron-scarlett-1,/cfb/players/cameron-scarlett-1.html,JR,RB,"91 Att, 389 Yds, 4.3 Avg",Stanford,2017
Trevor Speights,trevor-speights-1,/cfb/players/trevor-speights-1.html,SO,RB,"36 Att, 142 Yds, 3.9 Avg",Stanford,2017
Dorian Maddox,dorian-maddox-1,/cfb/players/dorian-maddox-1.html,SO,RB,"12 Att, 37 Yds, 3.1 Avg",Stanford,2017
Connor Wedington,connor-wedington-1,/cfb/players/connor-wedington-1.html,FR,RB,"31 Rec, 243 Yds, 7.8 Avg",Stanford,2017
Sione Lund,sione-lund-1,/cfb/players/sione-lund-1.html,FR,RB,,Stanford,2017
Jay Tyler,jay-tyler-1,/cfb/players/jay-tyler-1.html,JR,WR,,Stanford,2017
JJ Arcega-Whiteside,jj-arcega-whiteside-1,/cfb/players/jj-arcega-whiteside-1.html,JR,WR,"48 Rec, 781 Yds, 16.3 Avg",Stanford,2017
Trenton Irwin,trenton-irwin-1,/cfb/players/trenton-irwin-1.html,JR,WR,"43 Rec, 461 Yds, 10.7 Avg",Stanford,2017
Donald Stewart,donald-stewart-2,/cfb/players/donald-stewart-2.html,SO,WR,"11 Rec, 131 Yds, 11.9 Avg",Stanford,2017
Isaiah Brandt-Sims,isaiah-brandt-sims-1,/cfb/players/isaiah-brandt-sims-1.html,SR,WR,,Stanford,2017
Ryan Atkins,ryan-atkins-1,/cfb/players/ryan-atkins-1.html,FR,WR,,Stanford,2017
Cameron Buzzell,cameron-buzzell-1,/cfb/players/cameron-buzzell-1.html,FR,WR,,Stanford,2017
Sidhart Krishnamurthi,sidhart-krishnamurthi-1,/cfb/players/sidhart-krishnamurthi-1.html,JR,WR,,Stanford,2017
Harry Schwartz,harry-schwartz-1,/cfb/players/harry-schwartz-1.html,SO,WR,,Stanford,2017
Osiris St. Brown,osiris-st-brown-1,/cfb/players/osiris-st-brown-1.html,FR,WR,,Stanford,2017
Kaden Smith,kaden-smith-1,/cfb/players/kaden-smith-1.html,SO,TE,"23 Rec, 414 Yds, 18.0 Avg",Stanford,2017
Dalton Schultz,dalton-schultz-1,/cfb/players/dalton-schultz-1.html,SR,TE,"22 Rec, 212 Yds, 9.6 Avg",Stanford,2017
Colby Parkinson,colby-parkinson-1,/cfb/players/colby-parkinson-1.html,FR,TE,"10 Rec, 97 Yds, 9.7 Avg",Stanford,2017
Scooter Harrington,scooter-harrington-1,/cfb/players/scooter-harrington-1.html,SO,TE,"3 Rec, 10 Yds, 3.3 Avg",Stanford,2017
