Player,Player_ID,Player_Link,class,pos,summary,School,Year
P.J. Walker,pj-walker-1,/cfb/players/pj-walker-1.html,JR,QB,"245 Cmp, 432 Att, 2972 Yds, 19 TD",Temple,2015
Frank Nutile,frank-nutile-1,/cfb/players/frank-nutile-1.html,FR,QB,"3 Cmp, 3 Att, 40 Yds, 1 TD",Temple,2015
Tim Digiorgio,tim-digiorgio-2,/cfb/players/tim-digiorgio-2.html,SO,QB,,Temple,2015
John Loughery,john-loughery-2,/cfb/players/john-loughery-2.html,JR,QB,,Temple,2015
Logan Marchi,logan-marchi-1,/cfb/players/logan-marchi-1.html,FR,QB,,Temple,2015
Jahad Thomas,jahad-thomas-1,/cfb/players/jahad-thomas-1.html,JR,RB,"276 Att, 1262 Yds, 4.6 Avg",Temple,2015
Ryquell Armstead,ryquell-armstead-1,/cfb/players/ryquell-armstead-1.html,FR,RB,"51 Att, 191 Yds, 3.7 Avg",Temple,2015
David Hood,david-hood-2,/cfb/players/david-hood-2.html,FR,RB,"45 Att, 180 Yds, 4.0 Avg",Temple,2015
Jager Gardner,jager-gardner-1,/cfb/players/jager-gardner-1.html,FR,RB,"32 Att, 184 Yds, 5.8 Avg",Temple,2015
Mike Gillespie,mike-gillespie-4,/cfb/players/mike-gillespie-4.html,FR,RB,,Temple,2015
T.J. Simmons,tj-simmons-3,/cfb/players/tj-simmons-3.html,FR,RB,,Temple,2015
Roy Wesley,roy-wesley-1,/cfb/players/roy-wesley-1.html,SO,RB,,Temple,2015
Zaire Williams,zaire-williams-1,/cfb/players/zaire-williams-1.html,SO,RB,,Temple,2015
John Christopher,john-christopher-1,/cfb/players/john-christopher-1.html,SR,WR,"20 Rec, 208 Yds, 10.4 Avg",Temple,2015
Brandon Shippen,brandon-shippen-1,/cfb/players/brandon-shippen-1.html,SR,WR,"20 Rec, 288 Yds, 14.4 Avg",Temple,2015
Robby Anderson,robby-anderson-1,/cfb/players/robby-anderson-1.html,SR,WR,"70 Rec, 939 Yds, 13.4 Avg",Temple,2015
Samuel Benjamin,samuel-benjamin-1,/cfb/players/samuel-benjamin-1.html,JR,WR,"3 Rec, 37 Yds, 12.3 Avg",Temple,2015
Ventell Bryant,ventell-bryant-1,/cfb/players/ventell-bryant-1.html,FR,WR,"39 Rec, 579 Yds, 14.8 Avg",Temple,2015
Romond Deloatch,romond-deloatch-1,/cfb/players/romond-deloatch-1.html,JR,WR,"20 Rec, 155 Yds, 7.8 Avg",Temple,2015
Adonis Jennings,adonis-jennings-1,/cfb/players/adonis-jennings-1.html,SO,WR,"14 Rec, 146 Yds, 10.4 Avg",Temple,2015
Brodrick Yancy,brodrick-yancy-1,/cfb/players/brodrick-yancy-1.html,SO,WR,"2 Rec, 11 Yds, 5.5 Avg",Temple,2015
Matt Eaton,matt-eaton-1,/cfb/players/matt-eaton-1.html,FR,WR,"1 Rec, 11 Yds, 11.0 Avg",Temple,2015
Tom Bradway,tom-bradway-1,/cfb/players/tom-bradway-1.html,SO,WR,,Temple,2015
Marshall Ellick,marshall-elick-1,/cfb/players/marshall-elick-1.html,SO,WR,,Temple,2015
Corey Gaarn,corey-gaarn-1,/cfb/players/corey-gaarn-1.html,FR,WR,,Temple,2015
Rob Heyen,rob-heyen-1,/cfb/players/rob-heyen-1.html,JR,WR,,Temple,2015
Keith Kirkwood,keith-kirkwood-1,/cfb/players/keith-kirkwood-1.html,JR,WR,,Temple,2015
Dean Mosley,dean-mosley-2,/cfb/players/dean-mosley-2.html,JR,WR,,Temple,2015
John Ruza,john-ruza-1,/cfb/players/john-ruza-1.html,FR,WR,,Temple,2015
Cortrelle Simpson,cortrelle-simpson-1,/cfb/players/cortrelle-simpson-1.html,FR,WR,,Temple,2015
Willie Smith III,willie-smith-iii-1,/cfb/players/willie-smith-iii-1.html,FR,WR,,Temple,2015
Derrek Thomas,derrek-thomas-1,/cfb/players/derrek-thomas-1.html,SO,WR,,Temple,2015
Travon Williams,travon-williams-1,/cfb/players/travon-williams-1.html,FR,WR,,Temple,2015
Kip Patton,kip-patton-1,/cfb/players/kip-patton-1.html,FR,TE,"12 Rec, 168 Yds, 14.0 Avg",Temple,2015
Saledeem Major,saledeem-major-2,/cfb/players/saledeem-major-2.html,SR,TE,"6 Rec, 96 Yds, 16.0 Avg",Temple,2015
Colin Thompson,colin-thompson-2,/cfb/players/colin-thompson-2.html,JR,TE,"5 Rec, 67 Yds, 13.4 Avg",Temple,2015
Cole Boozer,cole-boozer-2,/cfb/players/cole-boozer-2.html,SO,TE,,Temple,2015
Patrick Anderson,patrick-anderson-1,/cfb/players/patrick-anderson-1.html,FR,TE,,Temple,2015
Alex Carling,alex-carling-1,/cfb/players/alex-carling-1.html,FR,TE,,Temple,2015
Chris Myarick,chris-myarick-1,/cfb/players/chris-myarick-1.html,FR,TE,,Temple,2015
Domenic Nigrelli,domenic-nigrelli-1,/cfb/players/domenic-nigrelli-1.html,FR,TE,,Temple,2015
Roy Pugh,roy-pugh-1,/cfb/players/roy-pugh-1.html,FR,TE,,Temple,2015
Bailey Raymond,bailey-raymond-1,/cfb/players/bailey-raymond-1.html,FR,TE,,Temple,2015
Jake Robinson,jake-robinson-1,/cfb/players/jake-robinson-1.html,FR,TE,,Temple,2015
Thomas Rumer,thomas-rumer-1,/cfb/players/thomas-rumer-1.html,JR,TE,,Temple,2015
Shahbaz Ahmed,shahbaz-ahmed-1,/cfb/players/shahbaz-ahmed-1.html,SR,OL,,Temple,2015
Nick Apostolu,nick-apostolu-1,/cfb/players/nick-apostolu-1.html,FR,OL,,Temple,2015
Brian Carter,brian-carter-5,/cfb/players/brian-carter-5.html,SO,OL,,Temple,2015
Dion Dawkins,dion-dawkins-1,/cfb/players/dion-dawkins-1.html,JR,OL,,Temple,2015
Julio Derosier,julio-derosier-1,/cfb/players/julio-derosier-1.html,JR,OL,,Temple,2015
Jovahn Fair,jovahn-fair-1,/cfb/players/jovahn-fair-1.html,FR,OL,,Temple,2015
Kyle Friend,kyle-friend-1,/cfb/players/kyle-friend-1.html,SR,OL,,Temple,2015
Benton Israel,benton-israel-1,/cfb/players/benton-israel-1.html,FR,OL,,Temple,2015
Leon Johnson,leon-johnson-4,/cfb/players/leon-johnson-4.html,SO,OL,,Temple,2015
Eric Lofton,eric-lofton-1,/cfb/players/eric-lofton-1.html,SR,OL,,Temple,2015
Brendan McGowan,brendan-mcgowan-1,/cfb/players/brendan-mcgowan-1.html,JR,OL,,Temple,2015
James McHale,james-mchale-1,/cfb/players/james-mchale-1.html,FR,OL,,Temple,2015
Semaj Reed,semaj-reed-1,/cfb/players/semaj-reed-1.html,SO,OL,,Temple,2015
Jaelin Robinson,jaelin-robinson-1,/cfb/players/jaelin-robinson-1.html,FR,OL,,Temple,2015
Aaron Ruff,aaron-ruff-1,/cfb/players/aaron-ruff-1.html,FR,OL,,Temple,2015
Adrian Sullivan,adrian-sullivan-1,/cfb/players/adrian-sullivan-1.html,SO,OL,,Temple,2015
Kiser Terry,kiser-terry-1,/cfb/players/kiser-terry-1.html,JR,OL,,Temple,2015
Gordon Thomas,gordon-thomas-1,/cfb/players/gordon-thomas-1.html,FR,OL,,Temple,2015
Joseph Woerner,joseph-woerner-1,/cfb/players/joseph-woerner-1.html,FR,OL,,Temple,2015
Tyler Mayes,tyler-mayes-1,/cfb/players/tyler-mayes-1.html,SR,K,,Temple,2015
Austin Jones,austin-jones-4,/cfb/players/austin-jones-4.html,SO,K,,Temple,2015
Andrew Chegia,andrew-chegia-1,/cfb/players/andrew-chegia-1.html,FR,K,,Temple,2015
Jim Cooper Jr.,jim-cooper-jr-1,/cfb/players/jim-cooper-jr-1.html,JR,K,,Temple,2015
Jake Geiger,jake-geiger-1,/cfb/players/jake-geiger-1.html,FR,K,,Temple,2015
Freddie Booth-Lloyd,freddie-booth-lloyd-1,/cfb/players/freddie-booth-lloyd-1.html,FR,DL,,Temple,2015
Brandon Chudnoff,brandon-chudnoff-1,/cfb/players/brandon-chudnoff-1.html,SR,DL,,Temple,2015
Michael Dogbe,michael-dogbe-1,/cfb/players/michael-dogbe-1.html,FR,DL,,Temple,2015
Avery Ellis,avery-ellis-1,/cfb/players/avery-ellis-1.html,JR,DL,,Temple,2015
Sharif Finch,sharif-finch-1,/cfb/players/sharif-finch-1.html,JR,DL,,Temple,2015
Matt Ioannidis,matt-ioannidis-1,/cfb/players/matt-ioannidis-1.html,SR,DL,,Temple,2015
Jordan Jones,jordan-jones-3,/cfb/players/jordan-jones-3.html,SO,DL,,Temple,2015
Jacob Martin,jacob-martin-1,/cfb/players/jacob-martin-1.html,SO,DL,,Temple,2015
Praise Martin-Oguike,praise-martin-oguike-1,/cfb/players/praise-martin-oguike-1.html,JR,DL,,Temple,2015
Haason Reddick,haason-reddick-1,/cfb/players/haason-reddick-1.html,JR,DL,,Temple,2015
Averee Robinson,averee-robinson-1,/cfb/players/averee-robinson-1.html,JR,DL,,Temple,2015
Nate D. Smith,nate-d-smith-1,/cfb/players/nate-d-smith-1.html,SR,DL,,Temple,2015
Hershey Walton,hershey-walton-1,/cfb/players/hershey-walton-1.html,SR,DL,,Temple,2015
Josiah Bronson,josiah-bronson-1,/cfb/players/josiah-bronson-1.html,FR,DL,,Temple,2015
Deandre Kelly,deandre-kelly-1,/cfb/players/deandre-kelly-1.html,FR,DL,,Temple,2015
