Player,Player_ID,Player_Link,class,pos,summary,School,Year
Casey Thompson,casey-thompson-1,/cfb/players/casey-thompson-1.html,JR,QB,"165 Cmp, 261 Att, 2113 Yds, 24 TD",Texas,2021
Hudson Card,hudson-card-1,/cfb/players/hudson-card-1.html,FR,QB,"51 Cmp, 83 Att, 590 Yds, 5 TD",Texas,2021
Ben Ballard,ben-ballard-1,/cfb/players/ben-ballard-1.html,SO,QB,,Texas,2021
Cole Lourd,cole-lourd-1,/cfb/players/cole-lourd-1.html,FR,QB,,Texas,2021
Charles Wright,charles-wright-4,/cfb/players/charles-wright-4.html,FR,QB,,Texas,2021
Roschon Johnson,roschon-johnson-1,/cfb/players/roschon-johnson-1.html,JR,RB,"96 Att, 569 Yds, 5.9 Avg",Texas,2021
Bijan Robinson,bijan-robinson-1,/cfb/players/bijan-robinson-1.html,SO,RB,"195 Att, 1127 Yds, 5.8 Avg",Texas,2021
Keilan Robinson,keilan-robinson-1,/cfb/players/keilan-robinson-1.html,SO,RB,"45 Att, 322 Yds, 7.2 Avg",Texas,2021
Jonathon Brooks,jonathon-brooks-1,/cfb/players/jonathon-brooks-1.html,FR,RB,"21 Att, 143 Yds, 6.8 Avg",Texas,2021
Gabriel Watson,gabriel-watson-2,/cfb/players/gabriel-watson-2.html,SR,RB,"10 Att, 37 Yds, 3.7 Avg",Texas,2021
Skyler Bonneau,skyler-bonneau-1,/cfb/players/skyler-bonneau-1.html,SR,RB,,Texas,2021
Jarrett Smith,jarrett-smith-1,/cfb/players/jarrett-smith-1.html,JR,RB,,Texas,2021
Daniel Young,daniel-young-1,/cfb/players/daniel-young-1.html,SR,RB,,Texas,2021
Xavier Worthy,xavier-worthy-1,/cfb/players/xavier-worthy-1.html,FR,WR,"62 Rec, 981 Yds, 15.8 Avg",Texas,2021
Jordan Whittington,jordan-whittington-2,/cfb/players/jordan-whittington-2.html,SO,WR,"26 Rec, 377 Yds, 14.5 Avg",Texas,2021
Joshua Moore,joshua-moore-2,/cfb/players/joshua-moore-2.html,JR,WR,"24 Rec, 265 Yds, 11.0 Avg",Texas,2021
Marcus Washington,marcus-washington-6,/cfb/players/marcus-washington-6.html,JR,WR,"18 Rec, 277 Yds, 15.4 Avg",Texas,2021
Kelvontay Dixon,kelvontay-dixon-1,/cfb/players/kelvontay-dixon-1.html,FR,WR,"9 Rec, 100 Yds, 11.1 Avg",Texas,2021
Kai Money,kai-money-1,/cfb/players/kai-money-1.html,JR,WR,"1 Rec, 7 Yds, 7.0 Avg",Texas,2021
Kartik Akkihal,kartik-akkihal-1,/cfb/players/kartik-akkihal-1.html,JR,WR,,Texas,2021
Jaden Alexis,jaden-alexis-1,/cfb/players/jaden-alexis-1.html,FR,WR,,Texas,2021
Parker Alford,parker-alford-2,/cfb/players/parker-alford-2.html,SO,WR,,Texas,2021
Paxton Anderson,paxton-anderson-1,/cfb/players/paxton-anderson-1.html,FR,WR,,Texas,2021
Casey Cain,casey-cain-1,/cfb/players/casey-cain-1.html,FR,WR,,Texas,2021
Montrell Estrell,montrell-estrell-1,/cfb/players/montrell-estrell-1.html,SR,WR,,Texas,2021
Dajon Harrison,dajon-harrison-1,/cfb/players/dajon-harrison-1.html,FR,WR,,Texas,2021
Troy Omeire,troy-omeire-1,/cfb/players/troy-omeire-1.html,FR,WR,,Texas,2021
