Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kyle Allen,kyle-allen-1,/cfb/players/kyle-allen-1.html,SO,QB,"160 Cmp, 283 Att, 2210 Yds, 17 TD",Texas A&M,2015
Kyler Murray,kyler-murray-1,/cfb/players/kyler-murray-1.html,FR,QB,"72 Cmp, 121 Att, 686 Yds, 5 TD",Texas A&M,2015
Jake Hubenak,jake-hubenak-1,/cfb/players/jake-hubenak-1.html,SO,QB,"40 Cmp, 75 Att, 399 Yds, 3 TD",Texas A&M,2015
Conner McQueen,conner-mcqueen-1,/cfb/players/conner-mcqueen-1.html,JR,QB,,Texas A&M,2015
Kobe Miller,kobe-miller-1,/cfb/players/kobe-miller-1.html,FR,QB,,Texas A&M,2015
Janson Moore,janson-moore-1,/cfb/players/janson-moore-1.html,SO,QB,,Texas A&M,2015
Jordan Traylor,jordan-traylor-1,/cfb/players/jordan-traylor-1.html,JR,QB,,Texas A&M,2015
Tra Carson,tra-carson-1,/cfb/players/tra-carson-1.html,SR,RB,"242 Att, 1165 Yds, 4.8 Avg",Texas A&M,2015
James White,james-white-5,/cfb/players/james-white-5.html,SO,RB,"55 Att, 196 Yds, 3.6 Avg",Texas A&M,2015
Brice Dolezal,brice-dolezal-1,/cfb/players/brice-dolezal-1.html,SR,RB,"38 Att, 191 Yds, 5.0 Avg",Texas A&M,2015
Kwame Etwi,kwame-etwi-1,/cfb/players/kwame-etwi-1.html,FR,RB,"20 Att, 151 Yds, 7.6 Avg",Texas A&M,2015
Brandon Williams,brandon-williams-10,/cfb/players/brandon-williams-10.html,SR,RB,,Texas A&M,2015
Jay Bradford,jay-bradford-1,/cfb/players/jay-bradford-1.html,FR,RB,,Texas A&M,2015
Kendall Bussey,kendall-bussey-3,/cfb/players/kendall-bussey-3.html,FR,RB,,Texas A&M,2015
Keith Ford,keith-ford-1,/cfb/players/keith-ford-1.html,JR,RB,,Texas A&M,2015
Blaine Townsend,blaine-townsend-1,/cfb/players/blaine-townsend-1.html,SR,RB,,Texas A&M,2015
Ricky Seals-Jones,ricky-seals-jones-1,/cfb/players/ricky-seals-jones-1.html,SO,WR,"45 Rec, 560 Yds, 12.4 Avg",Texas A&M,2015
Christian Kirk,christian-kirk-1,/cfb/players/christian-kirk-1.html,FR,WR,"80 Rec, 1009 Yds, 12.6 Avg",Texas A&M,2015
Jamal Jeffery,jamal-jeffery-1,/cfb/players/jamal-jeffery-1.html,SO,WR,"2 Rec, -1 Yds, -0.5 Avg",Texas A&M,2015
Josh Reynolds,josh-reynolds-1,/cfb/players/josh-reynolds-1.html,JR,WR,"51 Rec, 907 Yds, 17.8 Avg",Texas A&M,2015
Speedy Noil,speedy-noil-1,/cfb/players/speedy-noil-1.html,SO,WR,"21 Rec, 226 Yds, 10.8 Avg",Texas A&M,2015
Damion Ratley,damion-ratley-1,/cfb/players/damion-ratley-1.html,SO,WR,"15 Rec, 200 Yds, 13.3 Avg",Texas A&M,2015
Jeremy Tabuyo,jeremy-tabuyo-1,/cfb/players/jeremy-tabuyo-1.html,JR,WR,"9 Rec, 102 Yds, 11.3 Avg",Texas A&M,2015
Edward Pope,edward-pope-1,/cfb/players/edward-pope-1.html,JR,WR,"8 Rec, 65 Yds, 8.1 Avg",Texas A&M,2015
Sabian Holmes,sabian-holmes-1,/cfb/players/sabian-holmes-1.html,SR,WR,"2 Rec, 5 Yds, 2.5 Avg",Texas A&M,2015
Boone Niederhofer,boone-niederhofer-1,/cfb/players/boone-niederhofer-1.html,JR,WR,"2 Rec, 7 Yds, 3.5 Avg",Texas A&M,2015
Frank Iheanacho,frank-iheanacho-1,/cfb/players/frank-iheanacho-1.html,SO,WR,,Texas A&M,2015
Jalyn Judkins,jalyn-judkins-2,/cfb/players/jalyn-judkins-2.html,SO,WR,,Texas A&M,2015
Josch Motley,josch-motley-1,/cfb/players/josch-motley-1.html,SO,WR,,Texas A&M,2015
Dreagan Patterson,dreagan-patterson-1,/cfb/players/dreagan-patterson-1.html,JR,WR,,Texas A&M,2015
Bryce Reeves,bryce-reeves-1,/cfb/players/bryce-reeves-1.html,FR,WR,,Texas A&M,2015
Reggie Rusk,reggie-rusk-2,/cfb/players/reggie-rusk-2.html,FR,WR,,Texas A&M,2015
Kemah Siverand,kemah-siverand-1,/cfb/players/kemah-siverand-1.html,FR,WR,,Texas A&M,2015
Taylor Stump,taylor-stump-1,/cfb/players/taylor-stump-1.html,SO,WR,,Texas A&M,2015
Morgan Whatley,morgan-whatley-1,/cfb/players/morgan-whatley-1.html,FR,WR,,Texas A&M,2015
Kyle Whitley,kyle-whitley-1,/cfb/players/kyle-whitley-1.html,FR,WR,,Texas A&M,2015
Jordan Davis,jordan-davis-6,/cfb/players/jordan-davis-6.html,FR,TE,"2 Rec, 7 Yds, 3.5 Avg",Texas A&M,2015
Caden Smith,caden-smith-1,/cfb/players/caden-smith-1.html,SR,TE,"1 Rec, 3 Yds, 3.0 Avg",Texas A&M,2015
Brandon Alexander,brandon-alexander-3,/cfb/players/brandon-alexander-3.html,SR,TE,,Texas A&M,2015
Grant Gustafson,grant-gustafson-1,/cfb/players/grant-gustafson-1.html,FR,TE,,Texas A&M,2015
Greer Shetler,greer-shetler-1,/cfb/players/greer-shetler-1.html,FR,TE,,Texas A&M,2015
Erik McCoy,erik-mccoy-1,/cfb/players/erik-mccoy-1.html,FR,OL,,Texas A&M,2015
Drew Beakey,drew-beakey-1,/cfb/players/drew-beakey-1.html,FR,OL,,Texas A&M,2015
Joseph Cheek,joseph-cheek-1,/cfb/players/joseph-cheek-1.html,SR,OL,,Texas A&M,2015
Tank Davis,tank-davis-1,/cfb/players/tank-davis-1.html,FR,OL,,Texas A&M,2015
Justin Dworaczyk,justin-dworaczyk-1,/cfb/players/justin-dworaczyk-1.html,FR,OL,,Texas A&M,2015
Trevor Elbert,trevor-elbert-1,/cfb/players/trevor-elbert-1.html,FR,OL,,Texas A&M,2015
Jermaine Eluemunor,jermaine-eluemunor-1,/cfb/players/jermaine-eluemunor-1.html,JR,OL,,Texas A&M,2015
Avery Gennesy,avery-gennesy-1,/cfb/players/avery-gennesy-1.html,JR,OL,,Texas A&M,2015
J.J. Gustafson,jj-gustafson-1,/cfb/players/jj-gustafson-1.html,SO,OL,,Texas A&M,2015
Germain Ifedi,germain-ifedi-1,/cfb/players/germain-ifedi-1.html,JR,OL,,Texas A&M,2015
Nathan Kellman,nathan-kellman-1,/cfb/players/nathan-kellman-1.html,SR,OL,,Texas A&M,2015
Connor Lanfear,connor-lanfear-1,/cfb/players/connor-lanfear-1.html,FR,OL,,Texas A&M,2015
Ryan Lindblade,ryan-lindblade-1,/cfb/players/ryan-lindblade-1.html,JR,OL,,Texas A&M,2015
Chad Loitz,chad-loitz-1,/cfb/players/chad-loitz-1.html,SO,OL,,Texas A&M,2015
Koda Martin,koda-martin-1,/cfb/players/koda-martin-1.html,FR,OL,,Texas A&M,2015
Mike Matthews,mike-matthews-1,/cfb/players/mike-matthews-1.html,SR,OL,,Texas A&M,2015
Braden Meador,braden-meador-1,/cfb/players/braden-meador-1.html,JR,OL,,Texas A&M,2015
Jeremiah Stuckey,jeremiah-stuckey-1,/cfb/players/jeremiah-stuckey-1.html,JR,OL,,Texas A&M,2015
Keaton Sutherland,keaton-sutherland-1,/cfb/players/keaton-sutherland-1.html,FR,OL,,Texas A&M,2015
Brayden Talbert,brayden-talbert-1,/cfb/players/brayden-talbert-1.html,FR,OL,,Texas A&M,2015
Taylor Bertolet,taylor-bertolet-1,/cfb/players/taylor-bertolet-1.html,SR,K,,Texas A&M,2015
Daniel LaCamera,daniel-lacamera-1,/cfb/players/daniel-lacamera-1.html,FR,K,,Texas A&M,2015
Peter Grady,peter-grady-1,/cfb/players/peter-grady-1.html,JR,K,,Texas A&M,2015
Qualen Cunningham,qualen-cunningham-1,/cfb/players/qualen-cunningham-1.html,SO,DL,,Texas A&M,2015
Myles Garrett,myles-garrett-1,/cfb/players/myles-garrett-1.html,SO,DL,,Texas A&M,2015
Daeshon Hall,daeshon-hall-1,/cfb/players/daeshon-hall-1.html,JR,DL,,Texas A&M,2015
Zaycoven Henderson,zaycoven-henderson-1,/cfb/players/zaycoven-henderson-1.html,SO,DL,,Texas A&M,2015
Jarrett Johnson,jarrett-johnson-1,/cfb/players/jarrett-johnson-1.html,SO,DL,,Texas A&M,2015
Kingsley Keke,kingsley-keke-1,/cfb/players/kingsley-keke-1.html,FR,DL,,Texas A&M,2015
James Lockhart,james-lockhart-1,/cfb/players/james-lockhart-1.html,FR,DL,,Texas A&M,2015
Daylon Mack,daylon-mack-1,/cfb/players/daylon-mack-1.html,FR,DL,,Texas A&M,2015
Julien Obioha,julien-obioha-1,/cfb/players/julien-obioha-1.html,SR,DL,,Texas A&M,2015
Hardreck Walker,hardreck-walker-1,/cfb/players/hardreck-walker-1.html,JR,DL,,Texas A&M,2015
Alonzo Williams,alonzo-williams-1,/cfb/players/alonzo-williams-1.html,SR,DL,,Texas A&M,2015
Isaac Flores,isaac-flores-1,/cfb/players/isaac-flores-1.html,JR,DL,,Texas A&M,2015
Ben Huskinson,ben-huskinson-1,/cfb/players/ben-huskinson-1.html,SO,DL,,Texas A&M,2015
Darrell Jackson,darrell-jackson-2,/cfb/players/darrell-jackson-2.html,SO,DL,,Texas A&M,2015
Justin Manning,justin-manning-1,/cfb/players/justin-manning-1.html,SO,DL,,Texas A&M,2015
Tanner Schorp,tanner-schorp-1,/cfb/players/tanner-schorp-1.html,SO,DL,,Texas A&M,2015
Deshawn Washington,deshawn-washington-1,/cfb/players/deshawn-washington-1.html,FR,DL,,Texas A&M,2015
Otaro Alaka,otaro-alaka-1,/cfb/players/otaro-alaka-1.html,SO,LB,,Texas A&M,2015
Jake Blount,jake-blount-1,/cfb/players/jake-blount-1.html,JR,LB,,Texas A&M,2015
Reggie Chevis,reggie-chevis-1,/cfb/players/reggie-chevis-1.html,SO,LB,,Texas A&M,2015
Landis Durham,landis-durham-1,/cfb/players/landis-durham-1.html,FR,LB,,Texas A&M,2015
Riley Garner,riley-garner-1,/cfb/players/riley-garner-1.html,FR,LB,,Texas A&M,2015
Claude George,claude-george-1,/cfb/players/claude-george-1.html,JR,LB,,Texas A&M,2015
Cullen Gillaspia,cullen-gillaspia-1,/cfb/players/cullen-gillaspia-1.html,FR,LB,,Texas A&M,2015
A.J. Hilliard,aj-hilliard-2,/cfb/players/aj-hilliard-2.html,JR,LB,,Texas A&M,2015
Richard Moore,richard-moore-2,/cfb/players/richard-moore-2.html,FR,LB,,Texas A&M,2015
Dwaine Thomas,dwaine-thomas-1,/cfb/players/dwaine-thomas-1.html,FR,LB,,Texas A&M,2015
Josh Walker,josh-walker-3,/cfb/players/josh-walker-3.html,SO,LB,,Texas A&M,2015
Shaan Washington,shaan-washington-1,/cfb/players/shaan-washington-1.html,JR,LB,,Texas A&M,2015
Tristan Horton,tristan-horton-1,/cfb/players/tristan-horton-1.html,FR,LB,,Texas A&M,2015
Mac Labhart,mac-labhart-1,/cfb/players/mac-labhart-1.html,FR,LB,,Texas A&M,2015
