Player,Player_ID,Player_Link,class,pos,summary,School,Year
Josh Hoover,josh-hoover-1,/cfb/players/josh-hoover-1.html,JR,QB,"272 Cmp, 413 Att, 3472 Yds, 29 TD",Texas Christian,2025
Ken Seals,ken-seals-1,/cfb/players/ken-seals-1.html,SR,QB,"33 Cmp, 46 Att, 282 Yds, 1 TD",Texas Christian,2025
Jacob Porter,jacob-porter-2,/cfb/players/jacob-porter-2.html,JR,QB,,Texas Christian,2025
David Potter,david-potter-1,/cfb/players/david-potter-1.html,FR,QB,,Texas Christian,2025
Adam Schobel,adam-schobel-1,/cfb/players/adam-schobel-1.html,FR,QB,,Texas Christian,2025
Jeremy Payne,jeremy-payne-1,/cfb/players/jeremy-payne-1.html,SO,RB,"110 Att, 623 Yds, 5.7 Avg",Texas Christian,2025
Kevorian Barnes,kevorian-barnes-1,/cfb/players/kevorian-barnes-1.html,SR,RB,"97 Att, 443 Yds, 4.6 Avg",Texas Christian,2025
Trent Battle,trent-battle-1,/cfb/players/trent-battle-1.html,SR,RB,"64 Att, 349 Yds, 5.5 Avg",Texas Christian,2025
Jon Denman,jon-denman-1,/cfb/players/jon-denman-1.html,FR,RB,"50 Att, 178 Yds, 3.6 Avg",Texas Christian,2025
Nate Palmer,nate-palmer-2,/cfb/players/nate-palmer-2.html,FR,RB,"30 Att, 139 Yds, 4.6 Avg",Texas Christian,2025
Franklin Estrada,franklin-estrada-1,/cfb/players/franklin-estrada-1.html,SR,RB,"1 Att, 4 Yds, 4.0 Avg",Texas Christian,2025
Joe Pitchford,joe-pitchford-1,/cfb/players/joe-pitchford-1.html,FR,RB,,Texas Christian,2025
Derrick Carroll,derrick-carroll-1,/cfb/players/derrick-carroll-1.html,SO,RB,,Texas Christian,2025
Joseph Manjack IV,joseph-manjack-iv-1,/cfb/players/joseph-manjack-iv-1.html,SR,WR,"44 Rec, 579 Yds, 13.2 Avg",Texas Christian,2025
Major Everhart,major-everhart-1,/cfb/players/major-everhart-1.html,JR,WR,"14 Rec, 149 Yds, 10.6 Avg",Texas Christian,2025
Ed Small,ed-small-2,/cfb/players/ed-small-2.html,FR,WR,"16 Rec, 186 Yds, 11.6 Avg",Texas Christian,2025
Jordyn Bailey,jordyn-bailey-1,/cfb/players/jordyn-bailey-1.html,SO,WR,"4 Rec, 36 Yds, 9.0 Avg",Texas Christian,2025
Eric McAlister,eric-mcalister-1,/cfb/players/eric-mcalister-1.html,SR,WR,"72 Rec, 1190 Yds, 16.5 Avg",Texas Christian,2025
Jordan Dwyer,jordan-dwyer-1,/cfb/players/jordan-dwyer-1.html,JR,WR,"54 Rec, 730 Yds, 13.5 Avg",Texas Christian,2025
