Player,Player_ID,Player_Link,class,pos,summary,School,Year
Michael Julian,michael-julian-1,/cfb/players/michael-julian-1.html,SO,QB,"5 Cmp, 7 Att, 71 Yds, 1 TD",Toledo,2015
Quentin Gibson,quentin-gibson-1,/cfb/players/quentin-gibson-1.html,SO,QB,,Toledo,2015
Mitchell Guadagni,mitchell-guadagni-1,/cfb/players/mitchell-guadagni-1.html,FR,QB,,Toledo,2015
Jalen Reese,jalen-reese-1,/cfb/players/jalen-reese-1.html,FR,QB,,Toledo,2015
Logan Woodside,logan-woodside-1,/cfb/players/logan-woodside-1.html,JR,QB,,Toledo,2015
Phillip Ely,phillip-ely-1,/cfb/players/phillip-ely-1.html,SR,QB,"226 Cmp, 403 Att, 2965 Yds, 23 TD",Toledo,2015
Kareem Hunt,kareem-hunt-1,/cfb/players/kareem-hunt-1.html,JR,RB,"178 Att, 973 Yds, 5.5 Avg",Toledo,2015
Terry Swanson,terry-swanson-1,/cfb/players/terry-swanson-1.html,SO,RB,"143 Att, 923 Yds, 6.5 Avg",Toledo,2015
Damion Jones-Moore,damion-jones-moore-1,/cfb/players/damion-jones-moore-1.html,JR,RB,"83 Att, 410 Yds, 4.9 Avg",Toledo,2015
Marc Remy,marc-remy-1,/cfb/players/marc-remy-1.html,JR,RB,"30 Att, 179 Yds, 6.0 Avg",Toledo,2015
Brad Smith,brad-smith-8,/cfb/players/brad-smith-8.html,FR,RB,"4 Att, 14 Yds, 3.5 Avg",Toledo,2015
Roosevelt Griffin,roosevelt-griffin-1,/cfb/players/roosevelt-griffin-1.html,SO,RB,,Toledo,2015
Art Thompkins,art-thompkins-1,/cfb/players/art-thompkins-1.html,FR,RB,,Toledo,2015
Corey Jones,corey-jones-3,/cfb/players/corey-jones-3.html,JR,WR,"55 Rec, 577 Yds, 10.5 Avg",Toledo,2015
Jon'Vea Johnson,jonvea-johnson-1,/cfb/players/jonvea-johnson-1.html,FR,WR,"10 Rec, 142 Yds, 14.2 Avg",Toledo,2015
Cody Thompson,cody-thompson-1,/cfb/players/cody-thompson-1.html,SO,WR,"37 Rec, 825 Yds, 22.3 Avg",Toledo,2015
Alonzo Russell,alonzo-russell-1,/cfb/players/alonzo-russell-1.html,SR,WR,"36 Rec, 618 Yds, 17.2 Avg",Toledo,2015
Dionte Johnson,dionte-johnson-1,/cfb/players/dionte-johnson-1.html,FR,WR,"12 Rec, 196 Yds, 16.3 Avg",Toledo,2015
Kishon Wilcher,kishon-wilcher-1,/cfb/players/kishon-wilcher-1.html,SR,WR,"12 Rec, 125 Yds, 10.4 Avg",Toledo,2015
Darryl Richards,darryl-richards-1,/cfb/players/darryl-richards-1.html,SO,WR,"2 Rec, 40 Yds, 20.0 Avg",Toledo,2015
Andrew Davis,andrew-davis-3,/cfb/players/andrew-davis-3.html,FR,WR,"1 Rec, 25 Yds, 25.0 Avg",Toledo,2015
Zach Yousey,zach-yousey-1,/cfb/players/zach-yousey-1.html,JR,WR,"1 Rec, 14 Yds, 14.0 Avg",Toledo,2015
Marcus Whitfield,marcus-whitfield-2,/cfb/players/marcus-whitfield-2.html,FR,WR,,Toledo,2015
Liam Allen,liam-allen-1,/cfb/players/liam-allen-1.html,SO,WR,,Toledo,2015
Danzel Mckinley-Lewis,danzel-mckinley-lewis-1,/cfb/players/danzel-mckinley-lewis-1.html,FR,WR,,Toledo,2015
Elijah Morant,elijah-morant-1,/cfb/players/elijah-morant-1.html,SO,WR,,Toledo,2015
Reid Robinson,reid-robinson-1,/cfb/players/reid-robinson-1.html,FR,WR,,Toledo,2015
Zach Rogers,zach-rogers-2,/cfb/players/zach-rogers-2.html,SR,WR,,Toledo,2015
Travis Vuich,travis-vuich-1,/cfb/players/travis-vuich-1.html,FR,WR,,Toledo,2015
Michael Roberts,michael-roberts-3,/cfb/players/michael-roberts-3.html,JR,TE,"21 Rec, 234 Yds, 11.1 Avg",Toledo,2015
Alex Zmolik,alex-zmolik-1,/cfb/players/alex-zmolik-1.html,SR,TE,"6 Rec, 51 Yds, 8.5 Avg",Toledo,2015
Mike Berry,mike-berry-3,/cfb/players/mike-berry-3.html,FR,TE,,Toledo,2015
Jordan Fisher,jordan-fisher-1,/cfb/players/jordan-fisher-1.html,FR,TE,,Toledo,2015
Adam Kulon,adam-kulon-1,/cfb/players/adam-kulon-1.html,JR,TE,,Toledo,2015
Nicholas Potts,nicholas-potts-1,/cfb/players/nicholas-potts-1.html,FR,TE,,Toledo,2015
Elijah Wolf,elijah-wolf-1,/cfb/players/elijah-wolf-1.html,SO,TE,,Toledo,2015
Ruben Carter,ruben-carter-2,/cfb/players/ruben-carter-2.html,SR,OL,,Toledo,2015
Brant Weiss,brant-weiss-1,/cfb/players/brant-weiss-1.html,SO,OL,,Toledo,2015
Yazeed Atariwa,yazeed-atariwa-1,/cfb/players/yazeed-atariwa-1.html,FR,OL,,Toledo,2015
Darius Badford,darius-badford-1,/cfb/players/darius-badford-1.html,FR,OL,,Toledo,2015
Cameron Bell,cameron-bell-2,/cfb/players/cameron-bell-2.html,FR,OL,,Toledo,2015
Chandler Cotterman,chandler-cotterman-1,/cfb/players/chandler-cotterman-1.html,FR,OL,,Toledo,2015
Mike Ebert,mike-ebert-1,/cfb/players/mike-ebert-1.html,JR,OL,,Toledo,2015
Jordan Fair,jordan-fair-1,/cfb/players/jordan-fair-1.html,FR,OL,,Toledo,2015
Bryce Harris,bryce-harris-1,/cfb/players/bryce-harris-1.html,FR,OL,,Toledo,2015
Brandon Heidecker,brandon-heidecker-1,/cfb/players/brandon-heidecker-1.html,FR,OL,,Toledo,2015
Nate Jeppesen,nate-jeppesen-1,/cfb/players/nate-jeppesen-1.html,SO,OL,,Toledo,2015
Sami Kassem,sami-kassem-1,/cfb/players/sami-kassem-1.html,JR,OL,,Toledo,2015
Ramone Miles,ramone-miles-1,/cfb/players/ramone-miles-1.html,FR,OL,,Toledo,2015
Elijah Nkansah,elijah-nkansah-1,/cfb/players/elijah-nkansah-1.html,SO,OL,,Toledo,2015
Storm Norton,storm-norton-1,/cfb/players/storm-norton-1.html,JR,OL,,Toledo,2015
Paul Perschon,paul-perschon-1,/cfb/players/paul-perschon-1.html,JR,OL,,Toledo,2015
Alex Pfeiffer,alex-pfeiffer-1,/cfb/players/alex-pfeiffer-1.html,FR,OL,,Toledo,2015
Bill Weber,bill-weber-2,/cfb/players/bill-weber-2.html,FR,OL,,Toledo,2015
Josh Rode,josh-rode-1,/cfb/players/josh-rode-1.html,FR,K,,Toledo,2015
Jameson Vest,jameson-vest-1,/cfb/players/jameson-vest-1.html,FR,K,,Toledo,2015
Doug Pollard,doug-pollard-1,/cfb/players/doug-pollard-1.html,FR,K,,Toledo,2015
Sam Vucelich,sam-vucelich-1,/cfb/players/sam-vucelich-1.html,SO,K,,Toledo,2015
Nate Childress,nate-childress-1,/cfb/players/nate-childress-1.html,FR,DL,,Toledo,2015
Chad Coeling,chad-coeling-1,/cfb/players/chad-coeling-1.html,FR,DL,,Toledo,2015
Lamarr Davis,lamarr-davis-1,/cfb/players/lamarr-davis-1.html,FR,DL,,Toledo,2015
Jaylen Coleman,jaylen-coleman-1,/cfb/players/jaylen-coleman-1.html,JR,LB,,Toledo,2015
Anthony Davis,anthony-davis-11,/cfb/players/anthony-davis-11.html,FR,LB,,Toledo,2015
Josh High,josh-high-1,/cfb/players/josh-high-1.html,JR,LB,,Toledo,2015
Jack Linch,jack-linch-1,/cfb/players/jack-linch-1.html,SO,LB,,Toledo,2015
Chase Murdock,chase-murdock-1,/cfb/players/chase-murdock-1.html,SR,LB,,Toledo,2015
Richard Olekanma,richard-olekanma-1,/cfb/players/richard-olekanma-1.html,FR,LB,,Toledo,2015
Zach Quinn,zach-quinn-1,/cfb/players/zach-quinn-1.html,SO,LB,,Toledo,2015
Tyler Taafe,tyler-taafe-1,/cfb/players/tyler-taafe-1.html,FR,LB,,Toledo,2015
Jawuan Woodley,jawuan-woodley-1,/cfb/players/jawuan-woodley-1.html,SO,LB,,Toledo,2015
Devin Alexander,devin-alexander-1,/cfb/players/devin-alexander-1.html,FR,LB,,Toledo,2015
Chris Norwood,chris-norwood-2,/cfb/players/chris-norwood-2.html,FR,LB,,Toledo,2015
