Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tanner Lee,tanner-lee-1,/cfb/players/tanner-lee-1.html,SO,QB,"143 Cmp, 276 Att, 1639 Yds, 11 TD",Tulane,2015
Jordy Joseph,jordy-joseph-1,/cfb/players/jordy-joseph-1.html,SR,QB,"46 Cmp, 91 Att, 619 Yds, 6 TD",Tulane,2015
Devin Powell,devin-powell-1,/cfb/players/devin-powell-1.html,JR,QB,"16 Cmp, 36 Att, 157 Yds, 1 TD",Tulane,2015
Glen Cuiellette,glen-cuiellette-1,/cfb/players/glen-cuiellette-1.html,SO,QB,,Tulane,2015
Desmond McGovern,desmond-mcgovern-1,/cfb/players/desmond-mcgovern-1.html,FR,QB,,Tulane,2015
Dylan Richman,dylan-richman-1,/cfb/players/dylan-richman-1.html,SO,QB,,Tulane,2015
Dontrell Hilliard,dontrell-hilliard-1,/cfb/players/dontrell-hilliard-1.html,SO,RB,"115 Att, 646 Yds, 5.6 Avg",Tulane,2015
Sherman Badie,sherman-badie-1,/cfb/players/sherman-badie-1.html,SO,RB,"72 Att, 310 Yds, 4.3 Avg",Tulane,2015
Rob Kelley,rob-kelley-1,/cfb/players/rob-kelley-1.html,SR,RB,"65 Att, 232 Yds, 3.6 Avg",Tulane,2015
Lazedrick Thompson,lazedrick-thompson-1,/cfb/players/lazedrick-thompson-1.html,JR,RB,"45 Att, 162 Yds, 3.6 Avg",Tulane,2015
Josh Rounds,josh-rounds-1,/cfb/players/josh-rounds-1.html,JR,RB,"35 Att, 207 Yds, 5.9 Avg",Tulane,2015
Devin Glenn,devin-glenn-1,/cfb/players/devin-glenn-1.html,FR,RB,"4 Att, 18 Yds, 4.5 Avg",Tulane,2015
Marshall Wadleigh,marshall-wadleigh-1,/cfb/players/marshall-wadleigh-1.html,JR,RB,"2 Att, 26 Yds, 13.0 Avg",Tulane,2015
Nigel Anderson,nigel-anderson-1,/cfb/players/nigel-anderson-1.html,FR,RB,,Tulane,2015
Sergio Medina,sergio-medina-1,/cfb/players/sergio-medina-1.html,JR,RB,,Tulane,2015
Teddy Veal,teddy-veal-1,/cfb/players/teddy-veal-1.html,SO,WR,"48 Rec, 644 Yds, 13.4 Avg",Tulane,2015
Devon Breaux,devon-breaux-1,/cfb/players/devon-breaux-1.html,JR,WR,"25 Rec, 431 Yds, 17.2 Avg",Tulane,2015
