Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kirk Francis,kirk-francis-1,/cfb/players/kirk-francis-1.html,FR,QB,"149 Cmp, 253 Att, 1585 Yds, 9 TD",Tulsa,2024
Cooper Legas,cooper-legas-1,/cfb/players/cooper-legas-1.html,SR,QB,"87 Cmp, 162 Att, 1144 Yds, 12 TD",Tulsa,2024
Cardell Williams,cardell-williams-1,/cfb/players/cardell-williams-1.html,SO,QB,"5 Cmp, 11 Att, 37 Yds, 0 TD",Tulsa,2024
Tim Carpenter,tim-carpenter-2,/cfb/players/tim-carpenter-2.html,FR,QB,"4 Cmp, 8 Att, 46 Yds, 2 TD",Tulsa,2024
Stephen Kittleman,stephen-kittleman-1,/cfb/players/stephen-kittleman-1.html,JR,QB,"3 Cmp, 3 Att, 51 Yds, 0 TD",Tulsa,2024
Carson Horton,carson-horton-1,/cfb/players/carson-horton-1.html,FR,QB,,Tulsa,2024
Jack Johnson,jack-johnson-4,/cfb/players/jack-johnson-4.html,FR,QB,,Tulsa,2024
Nate Ratcliff,nate-ratcliff-1,/cfb/players/nate-ratcliff-1.html,SO,QB,,Tulsa,2024
Anthony Watkins,anthony-watkins-3,/cfb/players/anthony-watkins-3.html,SR,RB,"87 Att, 402 Yds, 4.6 Avg",Tulsa,2024
Lloyd Avant,lloyd-avant-1,/cfb/players/lloyd-avant-1.html,FR,RB,"76 Att, 259 Yds, 3.4 Avg",Tulsa,2024
Bill Jackson,bill-jackson-4,/cfb/players/bill-jackson-4.html,JR,RB,"67 Att, 319 Yds, 4.8 Avg",Tulsa,2024
Viron Ellison Jr.,viron-ellison-jr-1,/cfb/players/viron-ellison-jr-1.html,FR,RB,"62 Att, 353 Yds, 5.7 Avg",Tulsa,2024
Cam Crooks,cam-crooks-1,/cfb/players/cam-crooks-1.html,FR,RB,"2 Att, 47 Yds, 23.5 Avg",Tulsa,2024
Jayce Morgan,jayce-morgan-1,/cfb/players/jayce-morgan-1.html,SO,RB,,Tulsa,2024
Keigan Powers,keigan-powers-1,/cfb/players/keigan-powers-1.html,FR,RB,,Tulsa,2024
Kamdyn Benjamin,kamdyn-benjamin-1,/cfb/players/kamdyn-benjamin-1.html,SR,WR,"70 Rec, 822 Yds, 11.7 Avg",Tulsa,2024
Grayson Tempest,grayson-tempest-1,/cfb/players/grayson-tempest-1.html,SO,WR,"16 Rec, 138 Yds, 8.6 Avg",Tulsa,2024
Braylin Presley,braylin-presley-1,/cfb/players/braylin-presley-1.html,JR,WR,"9 Rec, 73 Yds, 8.1 Avg",Tulsa,2024
Jacob Emmers,jacob-emmers-1,/cfb/players/jacob-emmers-1.html,FR,WR,"5 Rec, 80 Yds, 16.0 Avg",Tulsa,2024
Joseph Williams,joseph-williams-3,/cfb/players/joseph-williams-3.html,FR,WR,"30 Rec, 588 Yds, 19.6 Avg",Tulsa,2024
Corey Smith,corey-smith-9,/cfb/players/corey-smith-9.html,FR,WR,"12 Rec, 179 Yds, 14.9 Avg",Tulsa,2024
Zion Steptoe,zion-steptoe-1,/cfb/players/zion-steptoe-1.html,SO,WR,"15 Rec, 203 Yds, 13.5 Avg",Tulsa,2024
Jeremiah Ballard,jeremiah-ballard-1,/cfb/players/jeremiah-ballard-1.html,JR,WR,"2 Rec, 37 Yds, 18.5 Avg",Tulsa,2024
Josh Smith,josh-smith-21,/cfb/players/josh-smith-21.html,FR,WR,"1 Rec, 3 Yds, 3.0 Avg",Tulsa,2024
Jack Wright,jack-wright-1,/cfb/players/jack-wright-1.html,SR,WR,"1 Rec, 18 Yds, 18.0 Avg",Tulsa,2024
Alex Green,alex-green-5,/cfb/players/alex-green-5.html,FR,WR,,Tulsa,2024
Eli Potts,eli-potts-1,/cfb/players/eli-potts-1.html,SO,WR,,Tulsa,2024
Cole Greene,cole-greene-1,/cfb/players/cole-greene-1.html,FR,WR,,Tulsa,2024
Matthew Ogunrin,matthew-ogunrin-1,/cfb/players/matthew-ogunrin-1.html,FR,WR,,Tulsa,2024
Mari Smith,mari-smith-1,/cfb/players/mari-smith-1.html,FR,WR,,Tulsa,2024
Ethan Hall,ethan-hall-1,/cfb/players/ethan-hall-1.html,SR,TE,"5 Rec, 34 Yds, 6.8 Avg",Tulsa,2024
Luke McGary,luke-mcgary-1,/cfb/players/luke-mcgary-1.html,SO,TE,"17 Rec, 231 Yds, 13.6 Avg",Tulsa,2024
Connor Vaughn,connor-vaughn-1,/cfb/players/connor-vaughn-1.html,SO,TE,"7 Rec, 59 Yds, 8.4 Avg",Tulsa,2024
Jackson Ford,jackson-ford-1,/cfb/players/jackson-ford-1.html,FR,TE,,Tulsa,2024
Jewlyen Roberts,jewlyen-roberts-1,/cfb/players/jewlyen-roberts-1.html,FR,TE,,Tulsa,2024
Daegan Jensen,daegan-jensen-1,/cfb/players/daegan-jensen-1.html,FR,TE,,Tulsa,2024
Camden Peck,camden-peck-1,/cfb/players/camden-peck-1.html,FR,TE,,Tulsa,2024
Ty Vinson,ty-vinson-1,/cfb/players/ty-vinson-1.html,FR,TE,,Tulsa,2024
Ender Aguilar,ender-aguilar-1,/cfb/players/ender-aguilar-1.html,JR,OL,,Tulsa,2024
Rey Burnett,rey-burnett-1,/cfb/players/rey-burnett-1.html,SR,OL,,Tulsa,2024
Kasen Carpenter,kasen-carpenter-1,/cfb/players/kasen-carpenter-1.html,FR,OL,,Tulsa,2024
Colten Christian,colten-christian-1,/cfb/players/colten-christian-1.html,FR,OL,,Tulsa,2024
Brody Duffel,brody-duffel-1,/cfb/players/brody-duffel-1.html,FR,OL,,Tulsa,2024
Ross Johnston,ross-johnston-1,/cfb/players/ross-johnston-1.html,FR,OL,,Tulsa,2024
