Player,Player_ID,Player_Link,class,pos,summary,School,Year
Dylan Hopkins,dylan-hopkins-1,/cfb/players/dylan-hopkins-1.html,SR,QB,"136 Cmp, 215 Att, 1913 Yds, 10 TD",UAB,2022
Jacob Zeno,jacob-zeno-1,/cfb/players/jacob-zeno-1.html,SR,QB,"58 Cmp, 102 Att, 721 Yds, 5 TD",UAB,2022
Bryson Lucero,bryson-lucero-1,/cfb/players/bryson-lucero-1.html,JR,QB,,UAB,2022
Dylan Mehrotra,dylan-mehrotra-1,/cfb/players/dylan-mehrotra-1.html,SO,QB,,UAB,2022
Damon Stewart,damon-stewart-1,/cfb/players/damon-stewart-1.html,SO,QB,,UAB,2022
DeWayne McBride,dewayne-mcbride-1,/cfb/players/dewayne-mcbride-1.html,JR,RB,"233 Att, 1713 Yds, 7.4 Avg",UAB,2022
Jermaine Brown Jr.,jermaine-brown-jr-1,/cfb/players/jermaine-brown-jr-1.html,SR,RB,"166 Att, 948 Yds, 5.7 Avg",UAB,2022
Lee Witherspoon,lee-witherspoon-1,/cfb/players/lee-witherspoon-1.html,JR,RB,"15 Att, 79 Yds, 5.3 Avg",UAB,2022
A.J. Gates,aj-gates-1,/cfb/players/aj-gates-1.html,SR,RB,"11 Att, 13 Yds, 1.2 Avg",UAB,2022
Taven Curry,taven-curry-1,/cfb/players/taven-curry-1.html,SO,RB,"10 Att, 45 Yds, 4.5 Avg",UAB,2022
Lee Beebe,lee-beebe-1,/cfb/players/lee-beebe-1.html,SO,RB,"3 Att, 32 Yds, 10.7 Avg",UAB,2022
Zeus Perryman,zeus-perryman-1,/cfb/players/zeus-perryman-1.html,JR,RB,,UAB,2022
Ryan Davis,ryan-davis-6,/cfb/players/ryan-davis-6.html,JR,WR,"6 Rec, 74 Yds, 12.3 Avg",UAB,2022
TJ Jones,tj-jones-7,/cfb/players/tj-jones-7.html,SR,WR,"29 Rec, 231 Yds, 8.0 Avg",UAB,2022
Trea Shropshire,trea-shropshire-1,/cfb/players/trea-shropshire-1.html,SR,WR,"41 Rec, 923 Yds, 22.5 Avg",UAB,2022
Tejhaun Palmer,tejhaun-palmer-1,/cfb/players/tejhaun-palmer-1.html,SR,WR,"30 Rec, 479 Yds, 16.0 Avg",UAB,2022
Samario Rudolph,samario-rudolph-1,/cfb/players/samario-rudolph-1.html,SR,WR,"14 Rec, 262 Yds, 18.7 Avg",UAB,2022
Dexter Boykin,dexter-boykin-1,/cfb/players/dexter-boykin-1.html,SR,WR,"13 Rec, 117 Yds, 9.0 Avg",UAB,2022
Fred Farrier II,fred-farrier-ii-1,/cfb/players/fred-farrier-ii-1.html,SO,WR,"11 Rec, 123 Yds, 11.2 Avg",UAB,2022
Iverson Hooks,iverson-hooks-1,/cfb/players/iverson-hooks-1.html,SO,WR,"1 Rec, 13 Yds, 13.0 Avg",UAB,2022
Jordan Palmer,jordan-palmer-3,/cfb/players/jordan-palmer-3.html,FR,WR,,UAB,2022
Luke Percer,luke-percer-1,/cfb/players/luke-percer-1.html,SO,WR,,UAB,2022
Teddy Davenport,teddy-davenport-1,/cfb/players/teddy-davenport-1.html,SO,WR,,UAB,2022
Savion Hadley,savion-hadley-1,/cfb/players/savion-hadley-1.html,SO,WR,,UAB,2022
Connor Harby,connor-harby-1,/cfb/players/connor-harby-1.html,SO,WR,,UAB,2022
Mustafa Hefner,mustafa-hefner-1,/cfb/players/mustafa-hefner-1.html,FR,WR,,UAB,2022
McCants Jalen,mccants-jalen-1,/cfb/players/mccants-jalen-1.html,SO,WR,,UAB,2022
