Player,Player_ID,Player_Link,class,pos,summary,School,Year
Justin Holman,justin-holman-1,/cfb/players/justin-holman-1.html,JR,QB,"127 Cmp, 250 Att, 1374 Yds, 7 TD",UCF,2015
Bo Schneider,bo-schneider-1,/cfb/players/bo-schneider-1.html,FR,QB,"54 Cmp, 105 Att, 534 Yds, 2 TD",UCF,2015
Tyler Harris,tyler-harris-2,/cfb/players/tyler-harris-2.html,FR,QB,"26 Cmp, 61 Att, 317 Yds, 4 TD",UCF,2015
Nick Patti,nick-patti-1,/cfb/players/nick-patti-1.html,JR,QB,"4 Cmp, 8 Att, 25 Yds, 0 TD",UCF,2015
William Solomon,william-solomon-1,/cfb/players/william-solomon-1.html,SO,QB,,UCF,2015
C.J. Jones,cj-jones-6,/cfb/players/cj-jones-6.html,FR,RB,"93 Att, 344 Yds, 3.7 Avg",UCF,2015
Taj McGowan,taj-mcgowan-1,/cfb/players/taj-mcgowan-1.html,FR,RB,"85 Att, 262 Yds, 3.1 Avg",UCF,2015
Dontravious Wilson,dontravious-wilson-1,/cfb/players/dontravious-wilson-1.html,JR,RB,"44 Att, 147 Yds, 3.3 Avg",UCF,2015
William Stanback,william-stanback-1,/cfb/players/william-stanback-1.html,JR,RB,"12 Att, 11 Yds, 0.9 Avg",UCF,2015
Cedric Thompson,cedric-thompson-3,/cfb/players/cedric-thompson-3.html,SR,RB,"7 Rec, 40 Yds, 5.7 Avg",UCF,2015
Joseph Puopolo,joseph-puopolo-1,/cfb/players/joseph-puopolo-1.html,SR,RB,,UCF,2015
Blake Tiralosi,blake-tiralosi-1,/cfb/players/blake-tiralosi-1.html,JR,RB,"8 Rec, 45 Yds, 5.6 Avg",UCF,2015
Gary Demarest,gary-demarest-1,/cfb/players/gary-demarest-1.html,FR,RB,,UCF,2015
Daron Humphrey,daron-humphrey-1,/cfb/players/daron-humphrey-1.html,JR,RB,,UCF,2015
Mario Mathis,mario-mathis-1,/cfb/players/mario-mathis-1.html,SO,RB,,UCF,2015
Justin Rae,justin-rae-1,/cfb/players/justin-rae-1.html,FR,RB,,UCF,2015
Tristan Payton,tristan-payton-1,/cfb/players/tristan-payton-1.html,FR,WR,"21 Rec, 264 Yds, 12.6 Avg",UCF,2015
Tre'Quan Smith,trequan-smith-1,/cfb/players/trequan-smith-1.html,FR,WR,"52 Rec, 724 Yds, 13.9 Avg",UCF,2015
Jordan Akins,jordan-akins-1,/cfb/players/jordan-akins-1.html,SO,WR,"14 Rec, 152 Yds, 10.9 Avg",UCF,2015
Cam Stewart,cam-stewart-1,/cfb/players/cam-stewart-1.html,FR,WR,"11 Rec, 90 Yds, 8.2 Avg",UCF,2015
Taylor Oldham,taylor-oldham-1,/cfb/players/taylor-oldham-1.html,JR,WR,"7 Rec, 42 Yds, 6.0 Avg",UCF,2015
Hayden Jones,hayden-jones-2,/cfb/players/hayden-jones-2.html,JR,WR,,UCF,2015
Kyle Coltrain,kyle-coltrain-1,/cfb/players/kyle-coltrain-1.html,SO,WR,,UCF,2015
Michael Colubiale,michael-colubiale-1,/cfb/players/michael-colubiale-1.html,SO,WR,,UCF,2015
Chris Davis Jr.,chris-davis-jr-1,/cfb/players/chris-davis-jr-1.html,FR,WR,,UCF,2015
Pete Dinovo,pete-dinovo-1,/cfb/players/pete-dinovo-1.html,SO,WR,,UCF,2015
Jamari Fye,jamari-fye-1,/cfb/players/jamari-fye-1.html,SO,WR,,UCF,2015
Adrian Gordon,adrian-gordon-1,/cfb/players/adrian-gordon-1.html,SO,WR,,UCF,2015
Tristan Reaves,tristan-reaves-1,/cfb/players/tristan-reaves-1.html,FR,WR,,UCF,2015
Trace Ryan,trace-ryan-1,/cfb/players/trace-ryan-1.html,FR,WR,,UCF,2015
Cal Bloom,cal-bloom-1,/cfb/players/cal-bloom-1.html,JR,TE,"3 Rec, 19 Yds, 6.3 Avg",UCF,2015
Michael Campbell,michael-campbell-3,/cfb/players/michael-campbell-3.html,JR,TE,,UCF,2015
Chris Larsen,chris-larsen-1,/cfb/players/chris-larsen-1.html,FR,TE,,UCF,2015
Zack Laurinaitis,zack-laurinaitis-1,/cfb/players/zack-laurinaitis-1.html,FR,TE,,UCF,2015
Kevin Miller,kevin-miller-4,/cfb/players/kevin-miller-4.html,SR,TE,,UCF,2015
Tarik Cook,tarik-cook-1,/cfb/players/tarik-cook-1.html,SR,OL,,UCF,2015
Aaron Evans,aaron-evans-2,/cfb/players/aaron-evans-2.html,SO,OL,,UCF,2015
Micah Anderson,micah-anderson-1,/cfb/players/micah-anderson-1.html,JR,OL,,UCF,2015
Chester Brown,chester-brown-1,/cfb/players/chester-brown-1.html,JR,OL,,UCF,2015
Chavis Dickey,chavis-dickey-1,/cfb/players/chavis-dickey-1.html,SO,OL,,UCF,2015
Joey Grant,joey-grant-1,/cfb/players/joey-grant-1.html,SR,OL,,UCF,2015
