Player,Player_ID,Player_Link,class,pos,summary,School,Year
JT Daniels,jt-daniels-1,/cfb/players/jt-daniels-1.html,FR,QB,"216 Cmp, 363 Att, 2672 Yds, 14 TD",USC,2018
Jack Sears,jack-sears-1,/cfb/players/jack-sears-1.html,FR,QB,"20 Cmp, 28 Att, 235 Yds, 2 TD",USC,2018
Matt Fink,matt-fink-1,/cfb/players/matt-fink-1.html,SO,QB,"7 Cmp, 9 Att, 46 Yds, 1 TD",USC,2018
Olaijah Griffin,olaijah-griffin-1,/cfb/players/olaijah-griffin-1.html,FR,QB,,USC,2018
Trevor Scully,trevor-scully-1,/cfb/players/trevor-scully-1.html,FR,QB,,USC,2018
Holden Thomas,holden-thomas-1,/cfb/players/holden-thomas-1.html,SO,QB,,USC,2018
Aca'Cedric Ware,acacedric-ware-1,/cfb/players/acacedric-ware-1.html,SR,RB,"125 Att, 825 Yds, 6.6 Avg",USC,2018
Vavae Malepeai,vavae-malepeai-1,/cfb/players/vavae-malepeai-1.html,SO,RB,"93 Att, 501 Yds, 5.4 Avg",USC,2018
Stephen Carr,stephen-carr-2,/cfb/players/stephen-carr-2.html,SO,RB,"81 Att, 384 Yds, 4.7 Avg",USC,2018
Markese Stepp,markese-stepp-1,/cfb/players/markese-stepp-1.html,FR,RB,"7 Att, 33 Yds, 4.7 Avg",USC,2018
Ben Easington,ben-easington-1,/cfb/players/ben-easington-1.html,FR,RB,,USC,2018
Chris Edmondson,chris-edmondson-1,/cfb/players/chris-edmondson-1.html,SO,RB,,USC,2018
Howard Felder Jr.,howard-felder-jr-1,/cfb/players/howard-felder-jr-1.html,FR,RB,,USC,2018
Quincy Jountti,quincy-jountti-1,/cfb/players/quincy-jountti-1.html,JR,RB,,USC,2018
Tyler Vaughns,tyler-vaughns-1,/cfb/players/tyler-vaughns-1.html,SO,WR,"58 Rec, 674 Yds, 11.6 Avg",USC,2018
Velus Jones Jr.,velus-jones-jr-1,/cfb/players/velus-jones-jr-1.html,SO,WR,"24 Rec, 266 Yds, 11.1 Avg",USC,2018
Amon-Ra St. Brown,amon-ra-st-brown-1,/cfb/players/amon-ra-st-brown-1.html,FR,WR,"60 Rec, 750 Yds, 12.5 Avg",USC,2018
Michael Pittman Jr.,michael-pittman-jr-1,/cfb/players/michael-pittman-jr-1.html,JR,WR,"41 Rec, 758 Yds, 18.5 Avg",USC,2018
Trevon Sidney,trevon-sidney-1,/cfb/players/trevon-sidney-1.html,SO,WR,"7 Rec, 104 Yds, 14.9 Avg",USC,2018
Devon Williams,devon-williams-2,/cfb/players/devon-williams-2.html,FR,WR,"4 Rec, 87 Yds, 21.8 Avg",USC,2018
Jake Russell,jake-russell-3,/cfb/players/jake-russell-3.html,JR,WR,,USC,2018
