Player,Player_ID,Player_Link,class,pos,summary,School,Year
Isaac Wilson,isaac-wilson-1,/cfb/players/isaac-wilson-1.html,FR,QB,"127 Cmp, 225 Att, 1510 Yds, 10 TD",Utah,2024
Cameron Rising,cameron-rising-1,/cfb/players/cameron-rising-1.html,SR,QB,"34 Cmp, 66 Att, 555 Yds, 7 TD",Utah,2024
Brandon Rose,brandon-rose-1,/cfb/players/brandon-rose-1.html,SO,QB,"19 Cmp, 36 Att, 157 Yds, 2 TD",Utah,2024
Luke Bottari,luke-bottari-1,/cfb/players/luke-bottari-1.html,SR,QB,"19 Cmp, 30 Att, 171 Yds, 1 TD",Utah,2024
Dallen Engemann,dallen-engemann-1,/cfb/players/dallen-engemann-1.html,JR,QB,,Utah,2024
Sam Huard,sam-huard-1,/cfb/players/sam-huard-1.html,JR,QB,,Utah,2024
Micah Bernard,micah-bernard-1,/cfb/players/micah-bernard-1.html,SR,RB,"197 Att, 1009 Yds, 5.1 Avg",Utah,2024
Mike Mitchell,mike-mitchell-8,/cfb/players/mike-mitchell-8.html,SO,RB,"47 Att, 158 Yds, 3.4 Avg",Utah,2024
Dijon Stanley,dijon-stanley-1,/cfb/players/dijon-stanley-1.html,SO,RB,"20 Att, 66 Yds, 3.3 Avg",Utah,2024
Charlie Vincent,charlie-vincent-1,/cfb/players/charlie-vincent-1.html,SR,RB,"14 Att, 44 Yds, 3.1 Avg",Utah,2024
Jaylon Glover,jaylon-glover-1,/cfb/players/jaylon-glover-1.html,JR,RB,"12 Att, 60 Yds, 5.0 Avg",Utah,2024
Omar Shah,omar-shah-1,/cfb/players/omar-shah-1.html,FR,RB,"1 Att, 0 Yds, 0.0 Avg",Utah,2024
Laython Biddle,laython-biddle-1,/cfb/players/laython-biddle-1.html,FR,RB,,Utah,2024
Anthony Woods,anthony-woods-1,/cfb/players/anthony-woods-1.html,SO,RB,,Utah,2024
Damien Alford,damien-alford-1,/cfb/players/damien-alford-1.html,SR,WR,,Utah,2024
Zach Williams,zach-williams-8,/cfb/players/zach-williams-8.html,FR,WR,"10 Rec, 101 Yds, 10.1 Avg",Utah,2024
Money Parks,money-parks-1,/cfb/players/money-parks-1.html,SR,WR,"21 Rec, 294 Yds, 14.0 Avg",Utah,2024
Dorian Singer,dorian-singer-1,/cfb/players/dorian-singer-1.html,SR,WR,"53 Rec, 702 Yds, 13.2 Avg",Utah,2024
Daidren Zipperer,daidren-zipperer-1,/cfb/players/daidren-zipperer-1.html,SO,WR,"8 Rec, 122 Yds, 15.3 Avg",Utah,2024
Mycah Pittman,mycah-pittman-1,/cfb/players/mycah-pittman-1.html,SR,WR,"6 Rec, 50 Yds, 8.3 Avg",Utah,2024
Landen King,landen-king-1,/cfb/players/landen-king-1.html,JR,WR,"3 Rec, 54 Yds, 18.0 Avg",Utah,2024
Munir McClain,munir-mcclain-1,/cfb/players/munir-mcclain-1.html,SR,WR,"3 Rec, 20 Yds, 6.7 Avg",Utah,2024
Luca Caldarella,luca-caldarella-1,/cfb/players/luca-caldarella-1.html,SR,WR,"2 Rec, 26 Yds, 13.0 Avg",Utah,2024
Taeshawn Lyons,taeshawn-lyons-1,/cfb/players/taeshawn-lyons-1.html,FR,WR,"1 Rec, 4 Yds, 4.0 Avg",Utah,2024
Rayshawn Glover,rayshawn-glover-1,/cfb/players/rayshawn-glover-1.html,SO,WR,,Utah,2024
Jett Meine,jett-meine-1,/cfb/players/jett-meine-1.html,SO,WR,,Utah,2024
David Washington,david-washington-5,/cfb/players/david-washington-5.html,FR,WR,,Utah,2024
Matt Clark,matt-clark-5,/cfb/players/matt-clark-5.html,FR,WR,,Utah,2024
Kaimana Hanohano,kaimana-hanohano-1,/cfb/players/kaimana-hanohano-1.html,SO,WR,,Utah,2024
Diezel Kamoku,diezel-kamoku-1,/cfb/players/diezel-kamoku-1.html,FR,WR,,Utah,2024
Cameron Mitchell,cameron-mitchell-4,/cfb/players/cameron-mitchell-4.html,FR,WR,,Utah,2024
Peyton Rice,peyton-rice-1,/cfb/players/peyton-rice-1.html,SO,WR,,Utah,2024
Brant Kuithe,brant-kuithe-1,/cfb/players/brant-kuithe-1.html,SR,TE,"35 Rec, 505 Yds, 14.4 Avg",Utah,2024
Carsen Ryan,carsen-ryan-1,/cfb/players/carsen-ryan-1.html,JR,TE,"10 Rec, 113 Yds, 11.3 Avg",Utah,2024
Caleb Lohner,caleb-lohner-1,/cfb/players/caleb-lohner-1.html,SR,TE,"4 Rec, 54 Yds, 13.5 Avg",Utah,2024
Dallen Bentley,dallen-bentley-1,/cfb/players/dallen-bentley-1.html,JR,TE,"2 Rec, 15 Yds, 7.5 Avg",Utah,2024
Miki Suguturaga,miki-suguturaga-1,/cfb/players/miki-suguturaga-1.html,SR,TE,"1 Rec, 3 Yds, 3.0 Avg",Utah,2024
Spencer Clegg,spencer-clegg-1,/cfb/players/spencer-clegg-1.html,SO,TE,,Utah,2024
Frankie Goodson,frankie-goodson-1,/cfb/players/frankie-goodson-1.html,SO,TE,,Utah,2024
CJ Jacobsen,cj-jacobsen-1,/cfb/players/cj-jacobsen-1.html,SO,TE,,Utah,2024
Spencer Fano,spencer-fano-1,/cfb/players/spencer-fano-1.html,SO,OL,,Utah,2024
Isaiah Garcia,isaiah-garcia-1,/cfb/players/isaiah-garcia-1.html,FR,OL,,Utah,2024
Falcon Kaumatule,falcon-kaumatule-1,/cfb/players/falcon-kaumatule-1.html,SR,OL,,Utah,2024
Jaren Kump,jaren-kump-1,/cfb/players/jaren-kump-1.html,JR,OL,,Utah,2024
Caleb Lomu,caleb-lomu-1,/cfb/players/caleb-lomu-1.html,SO,OL,,Utah,2024
Johnny Maea,johnny-maea-1,/cfb/players/johnny-maea-1.html,SR,OL,,Utah,2024
Shintaro Mann,shintaro-mann-1,/cfb/players/shintaro-mann-1.html,SR,OL,,Utah,2024
Solatoa Moea'i,solatoa-moeai-1,/cfb/players/solatoa-moeai-1.html,SO,OL,,Utah,2024
Michael Mokofisi,michael-mokofisi-1,/cfb/players/michael-mokofisi-1.html,JR,OL,,Utah,2024
Keith Olson,keith-olson-1,/cfb/players/keith-olson-1.html,SO,OL,,Utah,2024
Tanoa Togiai,tanoa-togiai-1,/cfb/players/tanoa-togiai-1.html,JR,OL,,Utah,2024
Zereoue Williams,zereoue-williams-1,/cfb/players/zereoue-williams-1.html,JR,OL,,Utah,2024
Roger Alderman,roger-alderman-1,/cfb/players/roger-alderman-1.html,SO,OL,,Utah,2024
Alex Harrison,alex-harrison-1,/cfb/players/alex-harrison-1.html,SR,OL,,Utah,2024
Lukas Jackson,lukas-jackson-1,/cfb/players/lukas-jackson-1.html,FR,OL,,Utah,2024
Brennan Molina,brennan-molina-1,/cfb/players/brennan-molina-1.html,FR,OL,,Utah,2024
Reece Parmenter,reece-parmenter-1,/cfb/players/reece-parmenter-1.html,FR,OL,,Utah,2024
Kamilo Raass,kamilo-raass-1,/cfb/players/kamilo-raass-1.html,FR,OL,,Utah,2024
