Player,Player_ID,Player_Link,class,pos,summary,School,Year
Diego Pavia,diego-pavia-1,/cfb/players/diego-pavia-1.html,SR,QB,"267 Cmp, 378 Att, 3539 Yds, 29 TD",Vanderbilt,2025
Blaze Berlowitz,blaze-berlowitz-1,/cfb/players/blaze-berlowitz-1.html,JR,QB,"9 Cmp, 17 Att, 131 Yds, 1 TD",Vanderbilt,2025
Whit Muschamp,whit-muschamp-1,/cfb/players/whit-muschamp-1.html,FR,QB,"2 Cmp, 3 Att, 40 Yds, 0 TD",Vanderbilt,2025
Drew Dickey,drew-dickey-1,/cfb/players/drew-dickey-1.html,SR,QB,"1 Cmp, 2 Att, 28 Yds, 0 TD",Vanderbilt,2025
Jack Elliott,jack-elliott-1,/cfb/players/jack-elliott-1.html,FR,QB,,Vanderbilt,2025
Jérémy St-Hilaire,jeremy-st-hilaire-1,/cfb/players/jeremy-st-hilaire-1.html,FR,QB,,Vanderbilt,2025
Sedrick Alexander,sedrick-alexander-1,/cfb/players/sedrick-alexander-1.html,JR,RB,"105 Att, 567 Yds, 5.4 Avg",Vanderbilt,2025
Makhilyn Young,makhilyn-young-1,/cfb/players/makhilyn-young-1.html,JR,RB,"46 Att, 414 Yds, 9.0 Avg",Vanderbilt,2025
AJ Newberry,aj-newberry-1,/cfb/players/aj-newberry-1.html,JR,RB,"18 Att, 57 Yds, 3.2 Avg",Vanderbilt,2025
Jamezell Lassiter,jamezell-lassiter-1,/cfb/players/jamezell-lassiter-1.html,FR,RB,"9 Att, 143 Yds, 15.9 Avg",Vanderbilt,2025
Gabe Fields,gabe-fields-1,/cfb/players/gabe-fields-1.html,FR,RB,"5 Att, 8 Yds, 1.6 Avg",Vanderbilt,2025
Dominic Rezac,dominic-rezac-1,/cfb/players/dominic-rezac-1.html,SR,RB,,Vanderbilt,2025
Chase Gillespie,chase-gillespie-1,/cfb/players/chase-gillespie-1.html,SR,RB,"1 Att, 2 Yds, 2.0 Avg",Vanderbilt,2025
Jake Balis,jake-balis-1,/cfb/players/jake-balis-1.html,SO,RB,,Vanderbilt,2025
Tre Richardson,tre-richardson-1,/cfb/players/tre-richardson-1.html,JR,WR,"46 Rec, 806 Yds, 17.5 Avg",Vanderbilt,2025
Kayleb Barnett,kayleb-barnett-1,/cfb/players/kayleb-barnett-1.html,FR,WR,"6 Rec, 53 Yds, 8.8 Avg",Vanderbilt,2025
Junior Sherrill,junior-sherrill-1,/cfb/players/junior-sherrill-1.html,JR,WR,"54 Rec, 784 Yds, 14.5 Avg",Vanderbilt,2025
Richie Hoskins,richie-hoskins-1,/cfb/players/richie-hoskins-1.html,SR,WR,"28 Rec, 321 Yds, 11.5 Avg",Vanderbilt,2025
