Player,Player_ID,Player_Link,class,pos,summary,School,Year
Bryce Perkins,bryce-perkins-1,/cfb/players/bryce-perkins-1.html,SR,QB,"319 Cmp, 495 Att, 3530 Yds, 22 TD",Virginia,2019
Brennan Armstrong,brennan-armstrong-1,/cfb/players/brennan-armstrong-1.html,FR,QB,"15 Cmp, 20 Att, 196 Yds, 1 TD",Virginia,2019
Lindell Stone,lindell-stone-1,/cfb/players/lindell-stone-1.html,SO,QB,"1 Cmp, 2 Att, 12 Yds, 0 TD",Virginia,2019
R.J. Harvey,rj-harvey-1,/cfb/players/rj-harvey-1.html,FR,QB,,Virginia,2019
Jared Rayman,jared-rayman-1,/cfb/players/jared-rayman-1.html,FR,QB,,Virginia,2019
Luke Wentz,luke-wentz-1,/cfb/players/luke-wentz-1.html,FR,QB,,Virginia,2019
Wayne Taulapapa,wayne-taulapapa-1,/cfb/players/wayne-taulapapa-1.html,SO,RB,"116 Att, 473 Yds, 4.1 Avg",Virginia,2019
PK Kier,pk-kier-1,/cfb/players/pk-kier-1.html,JR,RB,"32 Att, 174 Yds, 5.4 Avg",Virginia,2019
Mike Hollins,mike-hollins-1,/cfb/players/mike-hollins-1.html,FR,RB,"21 Att, 112 Yds, 5.3 Avg",Virginia,2019
Lamont Atkins,lamont-atkins-1,/cfb/players/lamont-atkins-1.html,JR,RB,"15 Att, 73 Yds, 4.9 Avg",Virginia,2019
Chris Sharp,chris-sharp-1,/cfb/players/chris-sharp-1.html,SR,RB,"4 Rec, 21 Yds, 5.3 Avg",Virginia,2019
Perris Jones,perris-jones-1,/cfb/players/perris-jones-1.html,FR,RB,,Virginia,2019
Seneca Milledge,seneca-milledge-1,/cfb/players/seneca-milledge-1.html,FR,RB,,Virginia,2019
Justin Zollar,justin-zollar-1,/cfb/players/justin-zollar-1.html,SR,RB,,Virginia,2019
Joe Reed,joe-reed-4,/cfb/players/joe-reed-4.html,SR,WR,"77 Rec, 679 Yds, 8.8 Avg",Virginia,2019
Tavares Kelly,tavares-kelly-1,/cfb/players/tavares-kelly-1.html,SO,WR,"14 Rec, 152 Yds, 10.9 Avg",Virginia,2019
Hasise Dubois,hasise-dubois-1,/cfb/players/hasise-dubois-1.html,SR,WR,"75 Rec, 1062 Yds, 14.2 Avg",Virginia,2019
Terrell Jana,terrell-jana-1,/cfb/players/terrell-jana-1.html,JR,WR,"73 Rec, 878 Yds, 12.0 Avg",Virginia,2019
Terrell Chatman,terrell-chatman-1,/cfb/players/terrell-chatman-1.html,SR,WR,"7 Rec, 104 Yds, 14.9 Avg",Virginia,2019
Hayden Mitchell,hayden-mitchell-1,/cfb/players/hayden-mitchell-1.html,SO,WR,"3 Rec, 51 Yds, 17.0 Avg",Virginia,2019
Dontayvion Wicks,dontayvion-wicks-1,/cfb/players/dontayvion-wicks-1.html,FR,WR,"3 Rec, 61 Yds, 20.3 Avg",Virginia,2019
Dejon Brissett,dejon-brissett-1,/cfb/players/dejon-brissett-1.html,SR,WR,"2 Rec, 18 Yds, 9.0 Avg",Virginia,2019
Chuck Davis,chuck-davis-3,/cfb/players/chuck-davis-3.html,JR,WR,,Virginia,2019
Nathaniel Beal III,nathaniel-beal-iii-1,/cfb/players/nathaniel-beal-iii-1.html,FR,WR,,Virginia,2019
Josh Clifford,josh-clifford-1,/cfb/players/josh-clifford-1.html,FR,WR,,Virginia,2019
Shane Eilers,shane-eilers-1,/cfb/players/shane-eilers-1.html,SO,WR,,Virginia,2019
Dorien Goddard,dorien-goddard-1,/cfb/players/dorien-goddard-1.html,FR,WR,,Virginia,2019
Jalen Harrison,jalen-harrison-1,/cfb/players/jalen-harrison-1.html,JR,WR,,Virginia,2019
Tristan Hillerich,tristan-hillerich-1,/cfb/players/tristan-hillerich-1.html,SO,WR,,Virginia,2019
Ben Hogg,ben-hogg-1,/cfb/players/ben-hogg-1.html,SR,WR,,Virginia,2019
