Player,Player_ID,Player_Link,class,pos,summary,School,Year
Cameron Ward,cameron-ward-1,/cfb/players/cameron-ward-1.html,JR,QB,"320 Cmp, 497 Att, 3232 Yds, 23 TD",Washington State,2022
John Mateer,john-mateer-1,/cfb/players/john-mateer-1.html,SO,QB,"2 Cmp, 2 Att, 32 Yds, 1 TD",Washington State,2022
Emmett Brown,emmett-brown-1,/cfb/players/emmett-brown-1.html,SO,QB,,Washington State,2022
Luke Holcomb,luke-holcomb-1,/cfb/players/luke-holcomb-1.html,SO,QB,,Washington State,2022
Xavier Ward,xavier-ward-1,/cfb/players/xavier-ward-1.html,SO,QB,,Washington State,2022
JP Zamora,jp-zamora-1,/cfb/players/jp-zamora-1.html,SO,QB,,Washington State,2022
Nakia Watson,nakia-watson-1,/cfb/players/nakia-watson-1.html,SR,RB,"144 Att, 769 Yds, 5.3 Avg",Washington State,2022
Jaylen Jenkins,jaylen-jenkins-1,/cfb/players/jaylen-jenkins-1.html,SO,RB,"68 Att, 396 Yds, 5.8 Avg",Washington State,2022
Dylan Paine,dylan-paine-1,/cfb/players/dylan-paine-1.html,SO,RB,"15 Att, 64 Yds, 4.3 Avg",Washington State,2022
Kannon Katzer,kannon-katzer-1,/cfb/players/kannon-katzer-1.html,SO,RB,"6 Att, 54 Yds, 9.0 Avg",Washington State,2022
Djouvensky Schlenbaker,djouvensky-schlenbaker-1,/cfb/players/djouvensky-schlenbaker-1.html,SO,RB,"4 Att, 50 Yds, 12.5 Avg",Washington State,2022
Javan Robinson,javan-robinson-1,/cfb/players/javan-robinson-1.html,SO,RB,,Washington State,2022
Jouvensly Bazil,jouvensly-bazil-1,/cfb/players/jouvensly-bazil-1.html,JR,RB,,Washington State,2022
Jacon Sawyer,jacon-sawyer-1,/cfb/players/jacon-sawyer-1.html,SO,RB,,Washington State,2022
Robert Ferrel,robert-ferrel-1,/cfb/players/robert-ferrel-1.html,SR,WR,"56 Rec, 582 Yds, 10.4 Avg",Washington State,2022
Leyton Smithson,leyton-smithson-1,/cfb/players/leyton-smithson-1.html,SO,WR,"30 Rec, 235 Yds, 7.8 Avg",Washington State,2022
Renard Bell,renard-bell-1,/cfb/players/renard-bell-1.html,SR,WR,"28 Rec, 310 Yds, 11.1 Avg",Washington State,2022
Lincoln Victor,lincoln-victor-1,/cfb/players/lincoln-victor-1.html,SR,WR,"26 Rec, 245 Yds, 9.4 Avg",Washington State,2022
De'Zhaun Stribling,dezhaun-stribling-1,/cfb/players/dezhaun-stribling-1.html,JR,WR,"51 Rec, 602 Yds, 11.8 Avg",Washington State,2022
Donovan Ollie,donovan-ollie-1,/cfb/players/donovan-ollie-1.html,JR,WR,"43 Rec, 491 Yds, 11.4 Avg",Washington State,2022
Orion Peters,orion-peters-1,/cfb/players/orion-peters-1.html,SO,WR,"13 Rec, 138 Yds, 10.6 Avg",Washington State,2022
Tsion Nunnally,tsion-nunnally-1,/cfb/players/tsion-nunnally-1.html,SO,WR,"7 Rec, 70 Yds, 10.0 Avg",Washington State,2022
Anderson Grover,anderson-grover-1,/cfb/players/anderson-grover-1.html,JR,WR,"5 Rec, 51 Yds, 10.2 Avg",Washington State,2022
Josh Meredith,josh-meredith-1,/cfb/players/josh-meredith-1.html,SO,WR,"1 Rec, 5 Yds, 5.0 Avg",Washington State,2022
