Player,Player_ID,Player_Link,class,pos,summary,School,Year
Maverick McIvor,maverick-mcivor-2,/cfb/players/maverick-mcivor-2.html,SR,QB,"183 Cmp, 273 Att, 2062 Yds, 12 TD",Western Kentucky,2025
Rodney Tisdale Jr.,rodney-tisdale-jr-1,/cfb/players/rodney-tisdale-jr-1.html,FR,QB,"139 Cmp, 212 Att, 1432 Yds, 9 TD",Western Kentucky,2025
Tucker Parks,tucker-parks-1,/cfb/players/tucker-parks-1.html,FR,QB,"0 Cmp, 2 Att, 0 Yds, 0 TD",Western Kentucky,2025
Owen Loy,owen-loy-1,/cfb/players/owen-loy-1.html,FR,QB,,Western Kentucky,2025
Caleb McMickle,caleb-mcmickle-1,/cfb/players/caleb-mcmickle-1.html,SO,QB,,Western Kentucky,2025
Marvis Parrish,marvis-parrish-1,/cfb/players/marvis-parrish-1.html,FR,RB,"106 Att, 576 Yds, 5.4 Avg",Western Kentucky,2025
La'Vell Wright,lavell-wright-1,/cfb/players/lavell-wright-1.html,SR,RB,"85 Att, 471 Yds, 5.5 Avg",Western Kentucky,2025
George Hart III,george-hart-iii-1,/cfb/players/george-hart-iii-1.html,SR,RB,"70 Att, 300 Yds, 4.3 Avg",Western Kentucky,2025
Jaden McGill,jaden-mcgill-1,/cfb/players/jaden-mcgill-1.html,SR,RB,"16 Att, 63 Yds, 3.9 Avg",Western Kentucky,2025
Jalen Hampton,jalen-hampton-1,/cfb/players/jalen-hampton-1.html,SR,RB,"11 Att, 27 Yds, 2.5 Avg",Western Kentucky,2025
Adrion Boyd,adrion-boyd-1,/cfb/players/adrion-boyd-1.html,JR,RB,,Western Kentucky,2025
Donovan Jones,donovan-jones-3,/cfb/players/donovan-jones-3.html,FR,RB,,Western Kentucky,2025
Corey Landers,corey-landers-1,/cfb/players/corey-landers-1.html,SO,RB,,Western Kentucky,2025
Javon McMahon,javon-mcmahon-1,/cfb/players/javon-mcmahon-1.html,FR,RB,,Western Kentucky,2025
Cameron Flowers,cameron-flowers-1,/cfb/players/cameron-flowers-1.html,FR,WR,"19 Rec, 204 Yds, 10.7 Avg",Western Kentucky,2025
K.D. Hutchinson,kd-hutchinson-1,/cfb/players/kd-hutchinson-1.html,JR,WR,"66 Rec, 618 Yds, 9.4 Avg",Western Kentucky,2025
Matthew Henry,matthew-henry-1,/cfb/players/matthew-henry-1.html,SR,WR,"55 Rec, 888 Yds, 16.1 Avg",Western Kentucky,2025
Jarius Mack,jarius-mack-1,/cfb/players/jarius-mack-1.html,SR,WR,"24 Rec, 223 Yds, 9.3 Avg",Western Kentucky,2025
Marvin Sims,marvin-sims-2,/cfb/players/marvin-sims-2.html,JR,WR,"2 Rec, 19 Yds, 9.5 Avg",Western Kentucky,2025
Moussa Barry,moussa-barry-1,/cfb/players/moussa-barry-1.html,JR,WR,"34 Rec, 488 Yds, 14.4 Avg",Western Kentucky,2025
Kelby Williams,kelby-williams-1,/cfb/players/kelby-williams-1.html,SR,WR,"11 Rec, 165 Yds, 15.0 Avg",Western Kentucky,2025
Quincy Burroughs,quincy-burroughs-1,/cfb/players/quincy-burroughs-1.html,JR,WR,"8 Rec, 77 Yds, 9.6 Avg",Western Kentucky,2025
Isaiah Myers,isaiah-myers-1,/cfb/players/isaiah-myers-1.html,JR,WR,"2 Rec, 43 Yds, 21.5 Avg",Western Kentucky,2025
Jaleel Walker,jaleel-walker-1,/cfb/players/jaleel-walker-1.html,SR,WR,"1 Rec, 20 Yds, 20.0 Avg",Western Kentucky,2025
Justin Brown,justin-brown-3,/cfb/players/justin-brown-3.html,SO,WR,,Western Kentucky,2025
Damari Jefferson,damari-jefferson-1,/cfb/players/damari-jefferson-1.html,FR,WR,,Western Kentucky,2025
Fonzy Smith,fonzy-smith-1,/cfb/players/fonzy-smith-1.html,FR,WR,,Western Kentucky,2025
Noah Meyers,noah-meyers-1,/cfb/players/noah-meyers-1.html,SO,TE,"32 Rec, 357 Yds, 11.2 Avg",Western Kentucky,2025
Jackson West,jackson-west-2,/cfb/players/jackson-west-2.html,SR,TE,"8 Rec, 80 Yds, 10.0 Avg",Western Kentucky,2025
Lofton Howard,lofton-howard-1,/cfb/players/lofton-howard-1.html,JR,TE,"3 Rec, 10 Yds, 3.3 Avg",Western Kentucky,2025
Justin Wolf,justin-wolf-1,/cfb/players/justin-wolf-1.html,SR,TE,"2 Rec, 19 Yds, 9.5 Avg",Western Kentucky,2025
Aiden Miller,aiden-miller-1,/cfb/players/aiden-miller-1.html,SO,TE,,Western Kentucky,2025
Cross Nimmo,cross-nimmo-1,/cfb/players/cross-nimmo-1.html,FR,TE,,Western Kentucky,2025
Gabe Claybrook,gabe-claybrook-1,/cfb/players/gabe-claybrook-1.html,FR,OL,,Western Kentucky,2025
Melvin Collins Jr.,melvin-collins-jr-1,/cfb/players/melvin-collins-jr-1.html,JR,OL,,Western Kentucky,2025
Branden Hollis,branden-hollis-1,/cfb/players/branden-hollis-1.html,JR,OL,,Western Kentucky,2025
Jemeil Jackson,jemeil-jackson-1,/cfb/players/jemeil-jackson-1.html,SR,OL,,Western Kentucky,2025
Marshall Jackson,marshall-jackson-1,/cfb/players/marshall-jackson-1.html,SR,OL,,Western Kentucky,2025
Quincy Jenkins,quincy-jenkins-2,/cfb/players/quincy-jenkins-2.html,SR,OL,,Western Kentucky,2025
Caleb Nitta,caleb-nitta-1,/cfb/players/caleb-nitta-1.html,SO,OL,,Western Kentucky,2025
Hackman Pierre,hackman-pierre-1,/cfb/players/hackman-pierre-1.html,FR,OL,,Western Kentucky,2025
Laurence Seymore,laurence-seymore-1,/cfb/players/laurence-seymore-1.html,SR,OL,,Western Kentucky,2025
Devon Smith,devon-smith-3,/cfb/players/devon-smith-3.html,SR,OL,,Western Kentucky,2025
Isiah Stoudemire,isiah-stoudemire-1,/cfb/players/isiah-stoudemire-1.html,FR,OL,,Western Kentucky,2025
Karsten Upchurch,karsten-upchurch-1,/cfb/players/karsten-upchurch-1.html,JR,OL,,Western Kentucky,2025
Elijah Williams,elijah-williams-5,/cfb/players/elijah-williams-5.html,FR,OL,,Western Kentucky,2025
Jackson Dialls,jackson-dialls-1,/cfb/players/jackson-dialls-1.html,FR,OL,,Western Kentucky,2025
Max Thurston,max-thurston-1,/cfb/players/max-thurston-1.html,SO,OL,,Western Kentucky,2025
John Cannon,john-cannon-2,/cfb/players/john-cannon-2.html,SR,K,,Western Kentucky,2025
Jack Cassidy,jack-cassidy-2,/cfb/players/jack-cassidy-2.html,JR,K,,Western Kentucky,2025
Michael Buck,michael-buck-1,/cfb/players/michael-buck-1.html,FR,K,,Western Kentucky,2025
Konner Olson,konner-olson-1,/cfb/players/konner-olson-1.html,FR,K,,Western Kentucky,2025
Jackson Smith,jackson-smith-2,/cfb/players/jackson-smith-2.html,JR,K,,Western Kentucky,2025
Jakeem Fletcher,jakeem-fletcher-1,/cfb/players/jakeem-fletcher-1.html,SR,DL,,Western Kentucky,2025
Jaden Hardy,jaden-hardy-1,/cfb/players/jaden-hardy-1.html,SR,DL,,Western Kentucky,2025
Robby Harrison,robby-harrison-1,/cfb/players/robby-harrison-1.html,JR,DL,,Western Kentucky,2025
Elin Jones,elin-jones-1,/cfb/players/elin-jones-1.html,SR,DL,,Western Kentucky,2025
Mackavelli Malotumau,mackavelli-malotumau-1,/cfb/players/mackavelli-malotumau-1.html,SR,DL,,Western Kentucky,2025
Kai Micatrotto,kai-micatrotto-1,/cfb/players/kai-micatrotto-1.html,FR,DL,,Western Kentucky,2025
Chuwunedu Okeke,chuwunedu-okeke-1,/cfb/players/chuwunedu-okeke-1.html,FR,DL,,Western Kentucky,2025
Sekou Peters,sekou-peters-1,/cfb/players/sekou-peters-1.html,FR,DL,,Western Kentucky,2025
Venson Sneed,venson-sneed-1,/cfb/players/venson-sneed-1.html,JR,DL,,Western Kentucky,2025
"Sharlandiin ""Zaqq"" Strange",sharlandiin-zaqq-strange-1,/cfb/players/sharlandiin-zaqq-strange-1.html,FR,DL,,Western Kentucky,2025
Brandon Tobias,brandon-tobias-1,/cfb/players/brandon-tobias-1.html,FR,DL,,Western Kentucky,2025
Anthony Brackenridge,anthony-brackenridge-1,/cfb/players/anthony-brackenridge-1.html,SR,LB,,Western Kentucky,2025
Jordan Donald,jordan-donald-2,/cfb/players/jordan-donald-2.html,FR,LB,,Western Kentucky,2025
Koron Hayward,koron-hayward-1,/cfb/players/koron-hayward-1.html,SO,LB,,Western Kentucky,2025
Eli Jones,eli-jones-1,/cfb/players/eli-jones-1.html,JR,LB,,Western Kentucky,2025
Josaiah Knight,josaiah-knight-1,/cfb/players/josaiah-knight-1.html,FR,LB,,Western Kentucky,2025
Kennon Loftin,kennon-loftin-1,/cfb/players/kennon-loftin-1.html,JR,LB,,Western Kentucky,2025
Miller Malone,miller-malone-1,/cfb/players/miller-malone-1.html,SO,LB,,Western Kentucky,2025
Joshua Mensah,joshua-mensah-1,/cfb/players/joshua-mensah-1.html,JR,LB,,Western Kentucky,2025
Zsacari Minnis,zsacari-minnis-1,/cfb/players/zsacari-minnis-1.html,FR,LB,,Western Kentucky,2025
Zach Smith,zach-smith-8,/cfb/players/zach-smith-8.html,FR,LB,,Western Kentucky,2025
Jaylen Wester,jaylen-wester-1,/cfb/players/jaylen-wester-1.html,SR,LB,,Western Kentucky,2025
Elijah Rumph,elijah-rumph-1,/cfb/players/elijah-rumph-1.html,FR,LB,,Western Kentucky,2025
Brandon Thomas,brandon-thomas-8,/cfb/players/brandon-thomas-8.html,FR,LB,,Western Kentucky,2025
