Player,Player_ID,Player_Link,class,pos,summary,School,Year
Joel Stave,joel-stave-1,/cfb/players/joel-stave-1.html,SR,QB,"225 Cmp, 370 Att, 2687 Yds, 11 TD",Wisconsin,2015
Bart Houston,bart-houston-1,/cfb/players/bart-houston-1.html,JR,QB,"27 Cmp, 47 Att, 281 Yds, 3 TD",Wisconsin,2015
Thad Armstrong,thad-armstrong-1,/cfb/players/thad-armstrong-1.html,JR,QB,,Wisconsin,2015
Alex Hornibrook,alex-hornibrook-1,/cfb/players/alex-hornibrook-1.html,FR,QB,,Wisconsin,2015
Dare Ogunbowale,dare-ogunbowale-1,/cfb/players/dare-ogunbowale-1.html,JR,RB,"194 Att, 819 Yds, 4.2 Avg",Wisconsin,2015
Taiwan Deal,taiwan-deal-1,/cfb/players/taiwan-deal-1.html,FR,RB,"117 Att, 503 Yds, 4.3 Avg",Wisconsin,2015
Alec Ingold,alec-ingold-1,/cfb/players/alec-ingold-1.html,FR,RB,"49 Att, 131 Yds, 2.7 Avg",Wisconsin,2015
Corey Clement,corey-clement-1,/cfb/players/corey-clement-1.html,JR,RB,"48 Att, 221 Yds, 4.6 Avg",Wisconsin,2015
Serge Trezy,serge-trezy-1,/cfb/players/serge-trezy-1.html,JR,RB,"6 Att, 18 Yds, 3.0 Avg",Wisconsin,2015
Mark Saari,mark-saari-1,/cfb/players/mark-saari-1.html,FR,RB,"3 Att, 0 Yds, 0.0 Avg",Wisconsin,2015
Troy Laufenberg,troy-laufenberg-1,/cfb/players/troy-laufenberg-1.html,FR,RB,,Wisconsin,2015
Bradrick Shaw,bradrick-shaw-1,/cfb/players/bradrick-shaw-1.html,FR,RB,,Wisconsin,2015
Alex Erickson,alex-erickson-1,/cfb/players/alex-erickson-1.html,SR,WR,"77 Rec, 978 Yds, 12.7 Avg",Wisconsin,2015
Reggie Love,reggie-love-2,/cfb/players/reggie-love-2.html,JR,WR,"4 Rec, 55 Yds, 13.8 Avg",Wisconsin,2015
George Rushing,george-rushing-2,/cfb/players/george-rushing-2.html,SO,WR,"1 Rec, 10 Yds, 10.0 Avg",Wisconsin,2015
Robert Wheelwright,robert-wheelwright-1,/cfb/players/robert-wheelwright-1.html,JR,WR,"32 Rec, 416 Yds, 13.0 Avg",Wisconsin,2015
Jazz Peavy,jazz-peavy-1,/cfb/players/jazz-peavy-1.html,SO,WR,"20 Rec, 268 Yds, 13.4 Avg",Wisconsin,2015
Jordan Fredrick,jordan-fredrick-1,/cfb/players/jordan-fredrick-1.html,SR,WR,"7 Rec, 81 Yds, 11.6 Avg",Wisconsin,2015
A.J. Jordan,aj-jordan-1,/cfb/players/aj-jordan-1.html,SR,WR,,Wisconsin,2015
D.J. Gillins,dj-gillins-1,/cfb/players/dj-gillins-1.html,FR,WR,,Wisconsin,2015
Henry Houden,henry-houden-1,/cfb/players/henry-houden-1.html,FR,WR,,Wisconsin,2015
Andrew James,andrew-james-1,/cfb/players/andrew-james-1.html,FR,WR,,Wisconsin,2015
Peter Roy,peter-roy-1,/cfb/players/peter-roy-1.html,FR,WR,,Wisconsin,2015
Krenwick Sanders,krenwick-sanders-1,/cfb/players/krenwick-sanders-1.html,SO,WR,,Wisconsin,2015
Jake Stengel,jake-stengel-1,/cfb/players/jake-stengel-1.html,SR,WR,,Wisconsin,2015
Noah Stengel,noah-stengel-1,/cfb/players/noah-stengel-1.html,FR,WR,,Wisconsin,2015
Troy Fumagalli,troy-fumagalli-2,/cfb/players/troy-fumagalli-2.html,SO,TE,"28 Rec, 313 Yds, 11.2 Avg",Wisconsin,2015
Austin Traylor,austin-traylor-1,/cfb/players/austin-traylor-1.html,SR,TE,"14 Rec, 210 Yds, 15.0 Avg",Wisconsin,2015
Eric Steffes,eric-steffes-1,/cfb/players/eric-steffes-1.html,JR,TE,"3 Rec, 50 Yds, 16.7 Avg",Wisconsin,2015
David Edwards,david-edwards-3,/cfb/players/david-edwards-3.html,FR,TE,,Wisconsin,2015
Mitchell Herl,mitchell-herl-1,/cfb/players/mitchell-herl-1.html,FR,TE,,Wisconsin,2015
Kyle Penniston,kyle-penniston-1,/cfb/players/kyle-penniston-1.html,FR,TE,,Wisconsin,2015
Beau Benzschawel,beau-benzschawel-1,/cfb/players/beau-benzschawel-1.html,FR,OL,,Wisconsin,2015
Hayden Biegel,hayden-biegel-1,/cfb/players/hayden-biegel-1.html,SO,OL,,Wisconsin,2015
Jacob Maxwell,jacob-maxwell-2,/cfb/players/jacob-maxwell-2.html,FR,OL,,Wisconsin,2015
Ray Ball,ray-ball-1,/cfb/players/ray-ball-1.html,SR,OL,,Wisconsin,2015
Brett Connors,brett-connors-1,/cfb/players/brett-connors-1.html,FR,OL,,Wisconsin,2015
Michael Deiter,michael-deiter-1,/cfb/players/michael-deiter-1.html,FR,OL,,Wisconsin,2015
Jon Dietzen,jon-dietzen-1,/cfb/players/jon-dietzen-1.html,FR,OL,,Wisconsin,2015
Ian Dretzka,ian-dretzka-1,/cfb/players/ian-dretzka-1.html,FR,OL,,Wisconsin,2015
Jason Erdmann,jason-erdmann-1,/cfb/players/jason-erdmann-1.html,FR,OL,,Wisconsin,2015
Kevin Estes,kevin-estes-1,/cfb/players/kevin-estes-1.html,FR,OL,,Wisconsin,2015
Ben Hemer,ben-hemer-2,/cfb/players/ben-hemer-2.html,SO,OL,,Wisconsin,2015
Micah Kapoi,micah-kapoi-1,/cfb/players/micah-kapoi-1.html,FR,OL,,Wisconsin,2015
Tyler Marz,tyler-marz-1,/cfb/players/tyler-marz-1.html,SO,OL,,Wisconsin,2015
Aidan McNamara,aidan-mcnamara-1,/cfb/players/aidan-mcnamara-1.html,SO,OL,,Wisconsin,2015
David Moorman,david-moorman-1,/cfb/players/david-moorman-1.html,FR,OL,,Wisconsin,2015
George Panos,george-panos-1,/cfb/players/george-panos-1.html,FR,OL,,Wisconsin,2015
Ryan Ramczyk,ryan-ramczyk-1,/cfb/players/ryan-ramczyk-1.html,JR,OL,,Wisconsin,2015
Logan Schmidt,logan-schmidt-1,/cfb/players/logan-schmidt-1.html,JR,OL,,Wisconsin,2015
Dan Voltz,dan-voltz-1,/cfb/players/dan-voltz-1.html,JR,OL,,Wisconsin,2015
Walker Williams,walker-williams-1,/cfb/players/walker-williams-1.html,JR,OL,,Wisconsin,2015
Andrew Endicott,andrew-endicott-1,/cfb/players/andrew-endicott-1.html,JR,K,,Wisconsin,2015
Rafael Gaglianone,rafael-gaglianone-1,/cfb/players/rafael-gaglianone-1.html,SO,K,,Wisconsin,2015
Jack Russell,jack-russell-1,/cfb/players/jack-russell-1.html,SR,K,,Wisconsin,2015
Zach Hintze,zach-hintze-1,/cfb/players/zach-hintze-1.html,FR,K,,Wisconsin,2015
Joe Schobert,joe-schobert-1,/cfb/players/joe-schobert-1.html,JR,LB,,Wisconsin,2015
Vince Biegel,vince-biegel-1,/cfb/players/vince-biegel-1.html,JR,LB,,Wisconsin,2015
Keelon Brookins,keelon-brookins-1,/cfb/players/keelon-brookins-1.html,SO,LB,,Wisconsin,2015
Jack Cichy,jack-cichy-1,/cfb/players/jack-cichy-1.html,SO,LB,,Wisconsin,2015
